File Name,Date of Petition,Date received,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request
FDA-2024-P-1788-0001_Suitability_Petition_from_Pharmobedient_Consulting.pdf,"April 10, 2024",,"Pharmobedient Consulting, LLC","Not representing another entity; the petitioner is Pharmobedient Consulting, LLC","505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 C.F.R. §§ 10.20, 10.30, 314.93, 25.31",Suitability of an ANDA submission for a different dosage strength of Carbinoxamine Maleate Tablets compared to the Reference Listed Drug (RLD),"Request that FDA determine that Carbinoxamine Maleate Tablets, 2 mg (unscored), is suitable for submission in an ANDA referencing CLISTIN (Carbinoxamine Maleate) 4 mg tablets","Petitioner argues that the change in dosage strength from 4 mg to 2 mg is consistent with dosing instructions for the RLD and does not raise questions of safety or efficacy. The proposed 2 mg strength provides greater dosing flexibility, particularly for pediatric use, and will be formulated to meet all quality and regulatory standards including bioequivalence to the RS."
FDA-2024-P-1810-0001_Suitability_Petition_from_Pharmobedient_Consulting.pdf,"April 10, 2024",,"Pharmobedient Consulting, LLC","Pharmobedient Consulting, LLC is submitting the petition on behalf of a client, but the represented entity is not named","505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 C.F.R. §§ 10.20, 10.30, 314.93; 21 C.F.R. § 25.31(a)",Approval of an ANDA for a new strength of Amphotericin B Liposome for Injection differing from the reference listed drug,"Request that FDA determine Amphotericin B Liposome for Injection, 100 mg/vial lyophilized powder, is suitable for submission in an ANDA referencing AmBisome (50 mg/vial)","Petitioner states that the only change from the reference listed drug is the total drug content (from 50 mg to 100 mg), with no change in concentration. This change would reduce the number of vials needed per dose, potentially lowering pharmaceutical waste and improving dosing efficiency, especially for larger patients. Reconstitution instructions are adjusted accordingly. No questions of safety or efficacy are raised by this change."
FDA-2024-P-1870-0001_Suitability_Petition_from_Newcastle_Bioscience__LL.pdf,"April 15, 2024",,Newcastle Bioscience LLC,Not representing another entity; submitted directly by Newcastle Bioscience LLC,"505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 C.F.R. §§ 10.30, 314.94(a)(8)(iv), 25.31",Suitability of an ANDA for a new dosage form (orally disintegrating tablets) and strength (15 mg) of escitalopram oxalate compared to the RLD Lexapro Tablets,"Request that the FDA declare escitalopram oxalate orally disintegrating tablets in 5 mg, 10 mg, 15 mg, and 20 mg strengths suitable for submission as an ANDA referencing Lexapro Tablets","The petitioner argues that the proposed dosage form (ODT) facilitates easier administration for patients with dysphagia and provides flexibility in dosing, particularly with the 15 mg strength which aligns with approved labeling but is not currently available. The change does not affect safety or efficacy, and similar changes have been previously approved by FDA. A full waiver of pediatric study requirements is also requested based on precedent and current data."
FDA-2024-P-1871-0001_Citizen_Petition_from_Advanced_Accelerator_Applica.pdf,"April 12, 2024",,"Advanced Accelerator Applications USA, Inc.",The petitioner is submitting on behalf of itself; it is identified as a Novartis Company.,21 USC 355; 21 CFR 10.30; 21 CFR 314.92(a)(1); 21 CFR 314.127(a)(4)(i); 21 USC 355(d); 21 USC 355(j)(4)(A); 21 CFR 314.54; 21 CFR 314.94(a)(9)(iii); 21 USC 505(b)(2); 21 USC 355(j)(2)(A)(iii)-(v); 21 CFR 320.22(b); 21 CFR 212.1,Approval of any ANDA under section 505(j) or NDA under section 505(b)(2) that references and relies on Lutathera (lutetium Lu 177 dotatate).,"FDA must require that any proposed generic or 505(b)(2) version of Lutathera demonstrate pharmaceutical equivalence—including same Specific Activity, Total Activity, Volumetric Activity, and total mass of ligand—as well as ensure individualized patient doses (fill volumes of 20.5–25.0 mL) and identical labeling.","Lutathera is a dynamic radioligand therapeutic whose clinical effect depends not only on radioactivity levels (Volumetric and Total Activity) but also on the Specific Activity and the mass ratio of labeled to unlabeled ligand. Differences in these variables may alter biodistribution and safety profiles, making simple equivalence claims insufficient without tailored analytical assessments. Therefore, FDA should refrain from approving any application unless these factors are demonstrated to be equivalent."
FDA-2024-P-1913-0001_Citizen_Petition_from_Amivas__Inc_.pdf,"April 17, 2024",,"Amivas, Inc.",Fast Track Drugs and Biologics LLC is acting as the sponsor’s representative,"505(j)(2)(C) of the FD&C Act; 21 C.F.R. §§ 10.20, 10.30, 314.93; 21 C.F.R. § 25.31(a)",Suitability of an ANDA for a methylene blue injection product with a different strength than the RLD ProvayBlue®,"Request that FDA permit submission of an ANDA for Methylene Blue Injection, USP (10 mg/mL, 50 mg/5 mL vial), differing in concentration from the RLD ProvayBlue® (5 mg/mL)","The petitioner argues that the proposed drug product has the same active ingredient, route of administration (IV), dosage form, excipient (water), dilution procedure, and therapeutic effect as the RLD. The only change is the concentration per mL, not the total dose per vial. The change does not raise concerns for safety, efficacy, or bioequivalence, and similar products have been authorized in other countries."
FDA-2024-P-1916-0001_Citizen_Petition_from_Association_for_Truth_in_Pet.pdf,"April 17, 2024",,Association for Truth in Pet Food,Susan Thixton submitted the petition on behalf of the Association for Truth in Pet Food and pet food consumers,21 C.F.R. §§ 10.20 and 10.30,Lack of public updates from FDA Center for Veterinary Medicine (CVM) on ongoing pet food-related illnesses and deaths,"Request FDA CVM to issue public updates regarding its investigation into pet food products associated with bloody vomiting, diarrhea, seizures, and pet deaths, including details such as number of reports, symptoms, testing conducted, and brands involved","Over 2,600 pet illness cases and 500+ pet deaths have been reported by consumers since December 2023, without FDA response or public updates; previous FDA actions on similar cases (e.g., applesauce, jerky treats, canine heart disease) included public notifications even without confirmed causes; transparency is needed to protect both animal and human health"
FDA-2024-P-1937-0001_Citizen_Petition_from_Kohl_Harrington_Redacted.pdf,"April 18, 2024",,Kohl Harrington,Not representing another entity; submitted as an individual,"5 U.S.C. § 552; 21 C.F.R. §§ 10.30(b), 25.30, and 25.34",Failure of FDA-CVM to publicly disclose calendar records requested under FOIA,Request FDA-CVM to publish in the FDA FOIA Reading Room all documents related to calendar records of FDA-CVM employee William T. Flynn for the period 01/01/2024 to 02/29/2024,"Petitioner asserts that the requested calendar records meet the legal threshold under FOIA (5 U.S.C. § 552(a)(2)(D)) for mandatory public disclosure because they have been requested three or more times. Therefore, FDA-CVM is legally obligated to make them available in the public FOIA Reading Room."
FDA-2024-P-1960-0001_Citizen_Petition_from_Kohl_Harrington_Redacted.pdf,"April 20, 2024",,Kohl Harrington,Not representing another entity; submitted as an individual,"5 U.S.C. § 552; 21 C.F.R. §§ 10.30(b), 25.30, 25.34","FDA-CVM's failure to publicly disclose inspection reports and documents related to Lystn, LLC (Answer Pet Food), despite multiple FOIA requests","FDA-CVM must publish in the FDA FOIA Reading Room all inspection reports and related documents for Lystn, LLC (Answer Pet Food), covering the period from January 1, 2023 to December 31, 2023","Under FOIA (5 U.S.C. § 552(a)(2)(D)), records that have been requested three or more times must be publicly disclosed. The petitioner asserts that the Lystn, LLC documents meet this threshold and therefore must be made publicly available by FDA-CVM"
FDA-2024-P-1988-0001_Citizen_Petition_from_HealthyWomen.pdf,"April 22, 2024",,HealthyWomen,Not Mentioned,"21 C.F.R. § 10.30, 21 C.F.R. §§ 200.5 and 201.56-57, 21 U.S.C. § 355(o)(4)",Labeling of fenofibrate drugs and communication of cardiovascular risk benefit misinformation,Revise fenofibrate labeling to clarify the lack of cardiovascular benefit and include new safety data; require DHCP letters and a Drug Safety Communication,"Due to persistent misperceptions among healthcare providers that fenofibrates reduce cardiovascular risk—despite multiple clinical trials (FIELD, ACCORD, PROMINENT) showing no such benefit—along with associated risks (e.g., VTE, rhabdomyolysis), the petitioner urges the FDA to revise labeling and issue communications to ensure patients are not improperly prescribed fenofibrates, forgo effective treatments, or face unnecessary risks and costs."
FDA-2024-P-2084-0001_Citizen_Petition_from_People_for_the_Ethical_Treat.pdf,"April 25, 2024",,People for the Ethical Treatment of Animals (PETA),"Ashely Monti, Legal Fellow, PETA Foundation; no indication of representing another entity","5 U.S.C. § 553(e); 21 C.F.R. § 10.30; 21 U.S.C. §§ 321(n), 343(a)(1), 371(a); 21 C.F.R. § 101.17",FDA labeling regulations for milk and other dairy products lacking cancer risk disclosures,"Linked to Increased Risk of Prostate, Breast, and Ovarian Cancer.'","Numerous scientific studies suggest a strong association between dairy consumption and increased risks of prostate, breast, and ovarian cancers, with mechanisms involving IGF-1 levels, estrogen content in milk, and galactose toxicity; such information is material for consumer health decisions and consistent with FDA precedent for labeling in the presence of serious health risks."
FDA-2024-P-2085-0001_Suitability_Petition_from_Hospira__Inc_.pdf,"April 2, 2024",,Hospira Inc.,Not Mentioned,"Section 505(j)(2)(C) of the Federal Food, Drug and Cosmetic Act; 21 C.F.R. §§ 314.93, 10.20, 10.30",Prior denial of a suitability petition (Docket No. FDA-2023-P-4334) based on the existence of an NDA-approved version of the proposed drug strength,"FDA approval to submit an ANDA for Vancomycin Hydrochloride for Injection, USP, ADD-Vantage® Vial, 1.25 grams (base)/vial as an additional strength","The proposed product is identical in all respects to the reference listed drug except for strength. It addresses dosing needs for patients requiring more than 1 gram per dose, and differs qualitatively from the NDA-approved 1.25 g version (Mylan NDA 209481) due to the inclusion of pH-adjusting excipients, thereby justifying a separate ANDA submission."
FDA-2024-P-2148-0001_Citizen_Petition_from_Neşe_Devenot_Redacted.pdf,4/28/24,,"Neşe Devenot, PhD, Senior Lecturer, Johns Hopkins University",Not Mentioned,21 CFR 14.29; 21 CFR 312.32(a); 45 CFR 46.103(a); 45 CFR 46.103(b)(5),FDA's planned advisory committee meeting on the Lykos Therapeutics MDMA-Assisted Therapy New Drug Application,Convene an advisory committee meeting on MDMA-Assisted Therapy with an extended Open Public Hearing prioritizing concerns about Lykos Therapeutics' application,"Petitioner argues that the MDMA-assisted therapy application is novel and precedent-setting, involves significant safety concerns, unresolved scientific issues, and high public interest. The petitioner also raises ethical and regulatory concerns over data reporting, protocol safety, and internal culture at Lykos/MAPS, calling for independent expert input and transparency."
FDA-2024-P-2150-0001_Envelope.pdf,04/25/2024,,"Parenteral Technologies, LLC","Michael A. Creaturo, submitting on behalf of Parenteral Technologies, LLC",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
FDA-2024-P-2151-0001_Citizen_Petition_from_UnidosUS.pdf,"May 7, 2024",,UnidosUS,"No, UnidosUS is not representing another entity but has co-signatories from other organizations","5 U.S.C. § 553(e), 21 C.F.R. § 10.30, Section 403(a) of the Food, Drug, and Cosmetic Act",Voluntary fortification policy and labeling practices for unfortified corn masa flour and products,Require a warning label on all unfortified corn masa flour and products made with corn masa to inform consumers of the lack of folic acid and associated risk of neural tube defects,"Voluntary fortification has failed to ensure adequate folic acid intake among Hispanic women, resulting in persistent health disparities; a warning label is needed to alert consumers and drive public health improvement"
FDA-2024-P-2215-0001_Citizen_Petition_from_Metaltronica_Spa.pdf,"May 2, 2024",,Metaltronica Spa,"No, the submitting entity is not representing another entity","21 CFR §10.25(a), 21 CFR §10.30, IEC 60601-1, IEC 60601-2, IEC 60601-2-28, IEC 60601-1-3, IEC 60601-2-45, IEC 62304, ISO 14971",FDA classification and premarket submission requirements for tomo digital mammography devices (product code OTE),"Reclassify tomo digital mammography devices (product code OTE) from Class III (PMA) to Class II (510(k)), aligning them with Full Field Digital Mammography (FFDM) devices (product code MUE)","The petitioner argues that risks and necessary evidence for OTE devices are similar to those for MUE devices, both of which use ionizing radiation and share hardware/software components. The technology is mature, widely adopted globally, and supported by harmonized standards. Market data and adverse event analysis show no significant safety differences, and reclassification would reduce costs for manufacturers, regulators, and users while maintaining safety and effectiveness."
FDA-2024-P-2220-0001_Citizen_Petition_from_Encube_Ethicals_Private_Limi.pdf,"May 6, 2024",,Encube Ethicals Private Limited,"No, the submitting entity is not representing another entity","21 C.F.R. § 10.25(a), 21 C.F.R. § 10.30, 21 C.F.R. § 314.161, 21 C.F.R. § 314.122, 21 C.F.R. § 25.31(a)",Determination of whether the Reference Listed Drug (RLD) PENNSAID (diclofenac sodium topical solution 2%) has been withdrawn for reasons of safety or effectiveness,"Determine whether PENNSAID (diclofenac sodium topical solution 2% w/w, NDA# N204623) has been withdrawn for reasons of safety or effectiveness",The petitioner believes the discontinuation was for commercial reasons and not related to safety or effectiveness. A determination from the FDA is required to allow referencing the RLD in an ANDA.
FDA-2024-P-2242-0001_Citizen_Petition_from_David_Behar_Redacted.pdf,"April 28, 2024",,"David Behar, M.D.","No, the submitting entity is not representing another entity","21 C.F.R. § 10.30, 21 C.F.R. § 10.40(e)(1), Administrative Procedure Act",FDA requirement for a prescription to obtain CPAP machines,"Make CPAP (Continuous Positive Airway Pressure) machines available over the counter without a prescription, and require sellers to provide instruction manuals at a 6th-grade reading level with illustrations","The petitioner argues that requiring prescriptions for CPAP machines results in high costs, delays, and limited access, contributing to untreated sleep apnea, increased healthcare costs, preventable accidents, and health disparities. The petitioner cites successful price drops following over-the-counter access to hearing aids, points to racial and economic inequities, and contends that self-diagnosis is feasible with support from sleep apps and partner observations. The petition invokes urgent public health and economic consequences to justify bypassing traditional rulemaking procedures."
FDA-2024-P-2272-0001_Citizen_Petition_from_Aurobindo_Pharma_USA__Inc_.pdf,"May 7, 2024",,Aurobindo Pharma Limited,"Blessy Johns, US Agent for Aurobindo Pharma Limited (Aurobindo Pharma USA, Inc.)","Section 505(j) of the FDCA, 21 CFR § 10.25(a), 21 CFR § 10.30, 21 CFR § 314.122, 21 CFR § 314.161, 21 CFR § 25.31(a), 21 CFR § 25.15(d), 21 CFR § 10.30(b)","Determination regarding whether INVEGA® (Paliperidone) Extended-Release Tablets 1.5 mg, NDA #021999, has been withdrawn for safety or effectiveness reasons",Request the FDA to determine whether INVEGA® (Paliperidone) Extended-Release Tablets 1.5 mg has been withdrawn for reasons of safety or effectiveness,The petitioner notes that the drug appears in the discontinued section of the Orange Book and seeks confirmation that the discontinuation was not due to safety or effectiveness concerns in order to support an Abbreviated New Drug Application (ANDA)
FDA-2024-P-2314-0001_Citizen_Petition_from_Aurobindo_Pharma_USA_Inc_.pdf,"May 9, 2024",,Aurobindo Pharma Limited,"Blessy Johns, US Agent for Aurobindo Pharma Limited (Aurobindo Pharma USA, Inc.)","Section 505(j) of the FDCA, 21 CFR § 10.25(a), 21 CFR § 10.30, 21 CFR § 314.122, 21 CFR § 314.161, 21 CFR § 314.162, 21 CFR § 25.31(a), 21 CFR § 25.15(d), 21 CFR § 10.30(b)","Determination regarding whether Augmentin XR (amoxicillin and clavulanate potassium) extended-release tablets, NDA 050785, has been withdrawn for reasons of safety or effectiveness","Request the FDA to determine whether Augmentin XR (amoxicillin and clavulanate potassium) extended-release tablets, NDA 050785, has been voluntarily withdrawn from sale for reasons of safety or effectiveness","The petitioner notes that Augmentin XR now appears in the discontinued section of the Orange Book and requests confirmation that the withdrawal was not due to safety or effectiveness concerns, in order to support an Abbreviated New Drug Application (ANDA)"
FDA-2024-P-2326-0001_Citizen_Petition_from_Hyman__Phelps___McNamara__P_.pdf,"May 10, 2024",,"Hyman, Phelps & McNamara, P.C.",United Therapeutics Corporation,"21 C.F.R. §§ 10.30 and 10.31, 21 U.S.C. §§ 355(b)(1)(A)(iv), 355(d)(3), 355(e), 351(a)(2)(B); 21 C.F.R. §§ 314.50(d), 314.105(a), 314.107(b)(4), 314.110(a), 314.125(a)(3)-(b)(1), (b)(4), (b)(13); 21 C.F.R. § 25.31(a)",FDA’s tentative approval of Liquidia’s section 505(b)(2) NDA for YUTREPIA,"Rescind tentative approval of Liquidia's NDA for YUTREPIA, issue a Complete Response Letter, and withhold any final approval until compliance with CGMP is ensured","The sole API supplier for YUTREPIA, LGM Pharma, has a history of severe and ongoing CGMP violations, and remains under a Consent Decree. These violations threaten the safety, quality, and compliance of YUTREPIA’s supply chain, and thus the product should not be approved or tentatively approved until all issues are remediated and FDA confirms compliance."
FDA-2024-P-2379-0001_Citizen_Petition_from_The_Humane_Society_of_the_Un.pdf,"May 15, 2024",,The Humane Society of the United States and the Humane Society Legislative Fund,Not representing another entity; the petition is submitted on behalf of HSUS and HSLF themselves,"21 U.S.C. § 301 et seq., 5 U.S.C. § 553(e), 21 C.F.R. § 10.30",FDA's regulatory policies and guidance that imply animal testing is required for drug approval,"Amend FDA regulations and guidance to clarify that animal testing is not required, issue a new guidance document detailing accepted non-animal methods (NAMs), and update all future guidance documents to reference the new NAMs guidance","Animal testing is often unnecessary, expensive, time-consuming, and not required by law. Non-animal methods (NAMs) are more efficient, reliable, and ethical. Current FDA language creates confusion and incentivizes unnecessary animal tests, hindering drug innovation and violating Congressional intent under FDORA"
FDA-2024-P-2461-0001_Citizen_Petition_from_Ho_Chunk__Inc__on_behalf_of_.pdf,"May 17, 2024",,"Ho-Chunk, Inc.","Yes, Ho-Chunk, Inc. is submitting on behalf of Rock River Manufacturing Company","21 U.S.C. § 301 et seq., 21 C.F.R. § 10.30, Executive Order 13175, HHS Tribal Consultation Policy","Requirements for Tobacco Product Manufacturing Practice (FDA-2013-N-0227), specifically part 1120",Amend the Proposed Rule to include an exemption from part 1120 for tribally-owned cigarette manufacturers such as Rock River Manufacturing,"The petitioner argues that the proposed rule imposes significant economic burdens on small tribal manufacturers like Rock River, threatening their viability. Rock River is one of only two tribally-owned tobacco manufacturers in the U.S., and it already operates under strict tribal regulation and high compliance standards. An exemption would allow the tribe to preserve jobs and economic activity on the Winnebago Reservation without materially affecting overall tobacco regulation."
FDA-2024-P-2482-0001_Citizen_Petition_from_Age_Reversal_Unity.pdf,"May 7, 2024",,Age Reversal Unity,"No, the submitting entity is not representing another entity","21 C.F.R. § 10.30, 21 C.F.R. § 25.32",Lack of regulation classifying aging as a disease,"Request the FDA to promulgate a new regulation classifying aging as a disease for purposes of research, treatment, and prevention","Aging is the primary risk factor for many chronic diseases and has identifiable biological hallmarks that are targetable. Recognizing aging as a disease could shift the healthcare paradigm to proactive aging management, increase research funding, and streamline regulatory pathways for relevant therapies."
FDA-2024-P-2513-0001_Citizen_Petition_from_Innogenix_LLC.pdf,"May 21, 2024",,Innogenix LLC,"No, the submitting entity is not representing another entity","21 C.F.R. §§ 10.25, 10.30, 314.122, 314.161; Sections 505(j) and 505(w) of the Federal Food, Drug, and Cosmetic Act","Determination of whether the Reference Listed Drug (RLD), Flagyl® (metronidazole) Tablets 250 mg and 500 mg (NDA N012623), has been withdrawn for safety or effectiveness reasons","Request that the FDA determine whether Flagyl® Tablets 250 mg and 500 mg, approved under NDA N012623, has been voluntarily withdrawn for safety or effectiveness reasons",The petitioner believes the discontinuation was due to commercial reasons and is not aware of any safety or effectiveness concerns. A determination by FDA is required to enable ANDA submissions referencing the RLD.
FDA-2024-P-2514-0001_Citizen_Petition_from_Zydus_Pharmaceuticals__USA__.pdf,"May 22, 2024",,Zydus Pharmaceuticals (USA) Inc.,"No, the submitting entity is not representing another entity","21 C.F.R. § 10.25(a), 21 C.F.R. § 10.30, 21 C.F.R. § 314.161, 21 C.F.R. § 314.122, 21 C.F.R. § 25.31(a), 21 C.F.R. § 10.30(b)","Determination of whether the Reference Listed Drug (RLD) NUPLAZID® (pimavanserin) tablets, 17 mg (NDA# N207318) has been withdrawn for reasons of safety or effectiveness","Request that the FDA determine whether NUPLAZID® (pimavanserin) tablets, 17 mg (NDA# N207318) has been withdrawn from commercial sale for reasons of safety or effectiveness",The petitioner states that NUPLAZID® 17 mg appears in the Discontinued Section of the Orange Book but is unaware of any safety or effectiveness issues. They believe the discontinuation was for commercial reasons and seek FDA’s confirmation to support an ANDA referencing the drug
FDA-2024-P-2515-0001_Citizen_Petition_from_Encube_Ethicals_Private_Limi.pdf,"May 22, 2024",,Encube Ethicals Private Limited,"No, the submitting entity is not representing another entity","21 C.F.R. § 10.25(a), 21 C.F.R. § 10.30, 21 C.F.R. § 314.161, 21 C.F.R. § 314.122, 21 C.F.R. § 25.31(a), 21 C.F.R. § 10.30(b)","Determination of whether the Reference Listed Drug (RLD), Fortesta (testosterone) Gel (10 mg/0.5 gm Actuation, NDA# 021463), has been withdrawn for reasons of safety or effectiveness","Request the FDA to determine whether Fortesta (testosterone) Gel (10 mg/0.5 gm Actuation, NDA# 021463) has been voluntarily withdrawn from commercial sale for safety or effectiveness reasons","The petitioner states that Fortesta appears in the Discontinued Section of the Orange Book but is unaware of any safety or effectiveness concerns. Believing the withdrawal was due to commercial reasons, the petitioner seeks FDA confirmation to enable an ANDA referencing the drug"
FDA-2024-P-2538-0001_Suitability_Petition_from_Hyman__Phelps___McNamara.pdf,"May 23, 2024",,"Hyman, Phelps & McNamara, P.C.","Yes, the law firm is submitting the petition on behalf of a client (not named)","Section 505(j)(2)(C) of the FDC Act, 21 C.F.R. § 314.93, 21 C.F.R. §§ 10.20 and 10.30, 21 C.F.R. § 25.31, 21 C.F.R. § 10.30(b), FDC Act § 505B(a)(1)(A)(i)",Suitability of a new dosage form for Cetrorelix Acetate (pre-filled syringe solution) as an ANDA based on RLD CETROTIDE® (powder for reconstitution),Request that FDA declare Cetrorelix Acetate Injection 0.25 mg/mL pre-filled syringe suitable for submission as an ANDA,"The proposed product is a ready-to-use form with the same active ingredient, strength, route of administration, and indications as the RLD, reducing the risk of medication error and improving ease of use. The change in dosage form does not affect safety or efficacy, and the product is not intended for pediatric patients, supporting a PREA waiver."
FDA-2024-P-2730-0001_Citizen_Petition_from_Kenneth_D__Eichenbaum.pdf,"June 2, 2024",,"Kenneth D. Eichenbaum, MD, MSE","No, the submitting entity is not representing another entity","21 C.F.R. § 10.20, 21 C.F.R. § 10.30, Section 351 of the Public Health Service Act, 21 C.F.R. § 25.30, 21 C.F.R. § 25.31, 21 C.F.R. § 10.30(b)","FDA’s potential action to expand the label for SRP-9001 (Elvidys, delandistrogene moxeparvovec-rokl)",Request that the FDA refrain from authorizing an expanded label for SRP-9001 (Elvidys) and re-evaluate its limited benefit relative to associated risks,"The petition argues that both Phase 2 and Phase 3 trials failed to meet their primary endpoints, with weak evidence of benefit and significant safety risks including liver injury, myocarditis, and immune-mediated myositis. Expanding the label may hinder the development of more promising therapies, waste resources, and damage FDA's credibility. Additional studies and alternative therapies should be prioritized."
FDA-2024-P-2752-0001_Suitability_Petition_from_Hyman__Phelps___McNamara.pdf,"June 6, 2024",,"Hyman, Phelps & McNamara, P.C.","Yes, the submitting entity is representing an unnamed client","Section 505(j)(2)(C) of the FDC Act, 21 C.F.R. § 314.93, 21 C.F.R. §§ 10.20 and 10.30, 21 C.F.R. § 25.31, 21 C.F.R. § 10.30(b)","Suitability determination for Bupivacaine Hydrochloride Injection, USP (pharmacy bulk package) as an ANDA referencing MARCAINE (NDA 016964)","Request that FDA declare Bupivacaine Hydrochloride Injection, USP in pharmacy bulk packages (100 mL, 500 mL, 1L, 2L) of 0.25% and 0.5% strengths suitable for submission as an ANDA","The petitioner asserts that the proposed bulk packaging has the same concentration and dosage form as the RLD but offers operational advantages such as reduced waste and increased supply to mitigate drug shortages. The labeling includes necessary safety instructions and does not raise new questions of safety or efficacy, so no clinical investigations are required. The PREA requirements do not apply."
FDA-2024-P-2753-0001_Suitability_Petition_from_Hyman__Phelps___McNamara.pdf,"June 6, 2024",,"Hyman, Phelps & McNamara, P.C.","Yes, the submitting entity is representing an unnamed client","Section 505(j)(2)(C) of the FDC Act, 21 C.F.R. § 314.93, 21 C.F.R. §§ 10.20 and 10.30, 21 C.F.R. § 25.31, 21 C.F.R. § 10.30(b), FDC Act § 505B(a)(1)(A)(i)","Suitability determination for submission of an ANDA for a new presentation of Fentanyl Citrate Injection, USP","Request that FDA declare Fentanyl Citrate Injection, USP, 50 mcg/mL in pharmacy bulk packages (100 mL, 500 mL, 1L, and 2L) suitable for submission as an ANDA","The petitioner argues that while the proposed drug differs from the RLD only in total fill volume/total drug content, the concentration and therapeutic use remain the same. Bulk packaging will reduce waste, support operational efficiencies, and help mitigate ongoing drug shortages. PREA requirements do not apply, and no clinical investigations are necessary to demonstrate safety or efficacy."
FDA-2024-P-2757-0001_Suitability_Petition_from_Hyman__Phelps___McNamara.pdf,"June 6, 2024",,"Hyman, Phelps & McNamara, P.C.","Yes, the submitting entity is representing an unnamed client","Section 505(j)(2)(C) of the FDC Act, 21 C.F.R. § 314.93, 21 C.F.R. §§ 10.20 and 10.30, 21 C.F.R. § 25.31, 21 C.F.R. § 10.30(b), FDC Act § 505B(a)(1)(A)(i)","Suitability determination for Oxytocin Injection, USP (synthetic), 10 USP Units/mL, for submission as an ANDA in pharmacy bulk package sizes","Request that FDA declare Oxytocin Injection, USP (synthetic), 10 USP Units/mL, in pharmacy bulk packages (100 mL, 500 mL, 1L, and 2L) suitable for submission as an ANDA","The proposed product has the same concentration and intended therapeutic use as the RLD, but differs in total fill volume/total drug content. The larger volume pharmacy bulk packaging aims to reduce waste, improve operational efficiency, and help prevent potential drug shortages. No new safety or efficacy issues are raised. PREA does not apply, and FDA has approved similar petitions in the past."
FDA-2024-P-2758-0001_Suitability_Petition_from_Hyman__Phelps___McNamara.pdf,"June 6, 2024 :contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}",,"Hyman, Phelps & McNamara, P.C. :contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3}",Petition submitted by the law firm on behalf of an unnamed client (entity not disclosed) :contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5},"Section 505(j)(2)(C) FDC Act; 21 C.F.R. § 314.93; 21 C.F.R. §§ 10.20, 10.30; Section 505(j)(2)(A)(iii) FDC Act; 21 C.F.R. § 314.3; Section 505B(a)(1)(A)(i) FDC Act (PREA); 21 C.F.R. § 25.31; 21 C.F.R. § 10.30(b) :contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7}",FDA’s determination of suitability for an ANDA for Ropivacaine Hydrochloride Injection in pharmacy bulk package sizes :contentReference[oaicite:8]{index=8}:contentReference[oaicite:9]{index=9},"Declare that pharmacy bulk packages (100 mL, 500 mL, 1 L, 2 L) of Ropivacaine Hydrochloride Injection (0.2 %, 0.5 %, 1 %) are suitable for submission as an ANDA :contentReference[oaicite:10]{index=10}:contentReference[oaicite:11]{index=11}","Change is limited to total fill volume/drug content while concentration, dosage, route, and labeling remain consistent with the RLD; larger bulk packages reduce waste, improve operational efficiency, lower costs, and help mitigate an ongoing drug shortage; prior FDA precedents for similar petitions; no new safety or efficacy questions; PREA not applicable; categorical environmental exclusion claimed :contentReference[oaicite:12]{index=12}:contentReference[oaicite:13]{index=13}"
FDA-2024-P-2778-0001_Suitability_Petition_from_Pharmobedient_Consulting.pdf,"June 7, 2024 :contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}",,"Pharmobedient Consulting, LLC :contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3}","Pharmobedient Consulting, LLC submitting on behalf of Pharmobedient Pharmaceuticals, LLC (product sponsor) :contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5}",Section 505(j)(2)(C) FDC Act; Section 505(j)(2)(C)(iii) FDC Act; 21 C.F.R. § 10.20; 21 C.F.R. § 10.30; 21 C.F.R. § 314.93; 21 C.F.R. § 25.31; Pediatric Research Equity Act (PREA) Section 505B :contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7},FDA’s determination of suitability for an ANDA for Chlorzoxazone Orally Disintegrating Tablets (ODT) 250 mg and 500 mg differing in dosage form from the RLD :contentReference[oaicite:8]{index=8}:contentReference[oaicite:9]{index=9},Declare that Chlorzoxazone ODT 250 mg and 500 mg are suitable for submission in an ANDA under Section 505(j)(2)(C) :contentReference[oaicite:10]{index=10}:contentReference[oaicite:11]{index=11},"ODT provides rapid onset without water, improves compliance for patients with swallowing difficulties, offers dosage flexibility with added 250 mg strength, aligns with existing labeling and bioequivalence to RS, raises no new safety or efficacy questions, environmental exclusion claimed, and pediatric studies waiver requested under PREA :contentReference[oaicite:12]{index=12}:contentReference[oaicite:13]{index=13}"
