File Name,Date of Petition,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request
FDA-2020-P-1072-0001_Citizen_Petition_from_Yiling_Pharmaceutical__LTD_.pdf,"March 10, 2020",Yiling Pharmaceutical Ltd.,The petition was submitted on behalf of Yiling Pharmaceutical Ltd. by Kwok Hang Wu and does not indicate representation of another entity,"21 C.F.R. §§ 10.25(a), 10.30, 314.161, 314.162","FDA’s listing of ZOVIRAX® (acyclovir) Oral Capsule 200 mg, NDA 018828, in the discontinued section of the Orange Book",Request that the FDA determine whether ZOVIRAX® (acyclovir) Oral Capsule 200 mg was withdrawn for reasons of safety or effectiveness,The petitioner believes the drug was likely withdrawn from sale by Mylan for commercial reasons rather than safety or effectiveness. A determination is necessary for the approval of an ANDA referring to ZOVIRAX® as the Reference Listed Drug (RLD). The petitioner notes that the product currently has no evidence of active marketing and seeks FDA clarification
FDA-2020-P-1073-0001_Citizen_Petition_from_David_Behar__M_D__Redacted.pdf,"March 9, 2020","David Behar, M.D.",The petition was submitted personally by Dr. David Behar and does not represent another entity,"21 C.F.R. § 10.30; Section 505-1 of the FD&C Act; 21 C.F.R. §§ 25.30, 25.31, 25.32, 25.33, 25.34; 21 C.F.R. § 10.40(e)(1); 5 U.S.C. § 553(b)(B)",FDA’s Risk Evaluation and Mitigation Strategy (REMS) program for clozapine and related mandatory blood monitoring requirements,1) Decommission the Clozapine REMS program; 2) Remove the certification requirement for healthcare providers prescribing clozapine; 3) Modify clozapine’s labeling to defer monitoring decisions to clinical judgment,"The petitioner argues that the REMS program is based on outdated safety concerns and imposes undue burdens on patients and providers. Clozapine is highly effective for treatment-resistant schizophrenia and suicide prevention, yet its usage is limited by REMS-related barriers. Comparable or riskier medications are not subject to such stringent oversight. The petition also raises constitutional concerns about discrimination and undue burden, asserting that mandatory blood monitoring deters use and negatively affects public health outcomes. Decommissioning REMS would improve access to care and align with regulatory fairness and clinical practice standards"
FDA-2020-P-1074-0001_Citizen_Petition_from_Akorn_Animal_Health_Inc.pdf,"March 10, 2020",Akorn Animal Health Inc.,The petition was submitted directly by Akorn Animal Health Inc. and does not represent another entity,"21 U.S.C. § 360b(n)(3) [Section 512(n)(3) of the FD&C Act]; 21 C.F.R. §§ 10.20, 10.30, 25.31",FDA’s regulation regarding the approval of Abbreviated New Animal Drug Applications (ANADAs) where the proposed generic differs in strength from the Reference Listed New Animal Drug (RLNAD),"Grant permission for Akorn to pursue an ANADA for a generic version of Corticosporin® Veterinary Ophthalmic Ointment with a different strength of Polymixin B sulfate (increased from 5,000 units/g to 10,000 units/g)","The change in strength is supported by the approval and marketing of a therapeutically equivalent veterinary product (Vetropolycin® HC) with the same active ingredients and dosage. The proposed change does not impact safety or effectiveness and is consistent with regulatory allowances under Section 512(n)(3), which permits applications with differences in strength"
FDA-2020-P-1236-0001_Citizen_Petition_from_Foley___Lardner_LLP.pdf,"March 30, 2020",Foley & Lardner LLP,Submitted on behalf of Fresenius Kabi USA LLC,"21 C.F.R. § 10.30; 21 C.F.R. § 25.1(g); Section 505(j) of the Federal Food, Drug, and Cosmetic Act",FDA’s current designation of NDA N021539 (ACETADOTE) as the reference listed drug for Acetylcysteine Injection 6gm/30mL in the Orange Book,"Designate ANDA 200644, Acetylcysteine Injection 6gm/30mL by Fresenius Kabi USA LLC, as a reference standard and reference listed drug in the FDA’s Orange Book","All currently approved ANDAs for Acetylcysteine Injection 6gm/30mL contain edetate disodium, while the reference product ACETADOTE no longer does. The petitioner argues that the change does not reflect a safety or efficacy withdrawal, and that ANDA 200644 is representative of the marketed formulations and should serve as the standard for ANDA submissions"
FDA-2020-P-1237-0001_Citizen_Petition_from_Wiley_Rein__LLP.pdf,"March 30, 2020",Wiley Rein LLP,"Submitted on behalf of an unspecified petitioner, but regarding the OTC labeling of Voltaren Arthritis Pain (GSK's NDA 22122)","21 C.F.R. § 10.30; 21 C.F.R. §§ 25.30, 25.31, 25.32, 25.33, 25.34","FDA’s approval of the Rx-to-OTC switch for Voltaren Arthritis Pain (diclofenac sodium topical gel 1%), NDA 22122/S-14","Withdraw or rescind FDA’s approval of NDA 22122/S-14 for OTC Voltaren Arthritis Pain, or alternatively revise its OTC labeling to incorporate safety warnings from the prior prescription labeling","The petitioner argues that essential safety information from the prescription labeling—such as risks of concomitant NSAID use, anaphylaxis, hematologic toxicity, sun exposure sensitivity, drug interactions (e.g., digoxin), fertility warnings, and infection masking—was omitted from the OTC labeling. This may mislead consumers and jeopardize safe use, particularly during the COVID-19 pandemic where masking fever and inflammation could delay diagnosis"
FDA-2020-P-1243-0001_Citizen_Petition_from_Varun_Varada_Redacted.pdf,"April 2, 2020",Varun Varada,The petition was submitted personally by Varun Varada and does not represent another entity,"21 U.S.C. § 343(q); 21 C.F.R. § 10.30; 21 C.F.R. §§ 25.30, 25.32; proposed amendment to 21 C.F.R. § 101.9(d)(7)(i)","FDA’s nutrition labeling regulation that omits a space between numeric values and unit symbols (e.g., '2mg' instead of '2 mg') on Nutrition Facts labels","Amend 21 C.F.R. § 101.9(d)(7)(i) to require a space character between the numerical quantity and the unit symbol (e.g., '2 mg', '3 g')","The petitioner argues that SI units must be formatted with a space between the value and the unit symbol per international standards such as the SI Brochure, IEEE/ASTM SI 10-2016, and NIST SP 330. Current FDA formatting contradicts proper metric usage and could cause confusion, whereas FDA labeling formats already accommodate such spacing per 21 C.F.R. § 101.9(d)(12)"
FDA-2020-P-1246-0001_Citizen_Petition_from_Fresenius_KabiUSA__LLC.pdf,"April 2, 2020","Fresenius Kabi USA, LLC","The petition was submitted directly by Fresenius Kabi USA, LLC and does not represent another entity","Section 505(b)(2) of the Federal Food, Drug, and Cosmetic Act; 21 C.F.R. §§ 10.30, 25.31",FDA’s therapeutic equivalence designation for acetaminophen injection products listed in the Orange Book,"Designate Fresenius Kabi’s Acetaminophen Injection 10 mg/mL (NDA 204767) as therapeutically equivalent to Ofirmev® (NDA 022450), with an ‘AP’ rating","Fresenius Kabi’s product is pharmaceutically equivalent to Ofirmev® in terms of strength, dosage form, route of administration, active ingredient, and indications for use. The only difference is in buffer composition, which is permitted under 21 C.F.R. § 314.94(a)(9)(iii) and does not affect safety or efficacy. The product meets all standards for therapeutic equivalence and relied on the RLD’s safety and efficacy data for approval"
FDA-2020-P-1247-0001_Citizen_Petition_from_Belcher_Pharmaceuticals__LLC.pdf,"March 31, 2020","Belcher Pharmaceuticals, LLC","The petition was submitted directly by Belcher Pharmaceuticals, LLC and does not represent another entity","21 U.S.C. § 355(j); 21 C.F.R. §§ 10.20, 10.30, Part 320, 25.31","FDA’s therapeutic equivalence evaluations in the Orange Book for tacrolimus oral capsule ANDAs, specifically regarding bioequivalence testing requirements introduced in the December 2012 Tacrolimus Guidance",1) Require pre-December 2012 tacrolimus ANDA sponsors to conduct bioequivalence studies using the 2012 Tacrolimus Guidance; 2) Reclassify any noncompliant products from 'AB' to 'BX' in the Orange Book if they fail to meet updated standards,"Belcher argues that tacrolimus was reclassified by FDA in 2012 as a narrow therapeutic index (NTI) drug, requiring more rigorous bioequivalence testing, including four-way fully-replicated crossover studies. Earlier ANDAs were approved using less stringent methods, creating a potential safety risk if considered interchangeable. Updating their TE rating to BX would reflect these differences and inform clinical decision-making"
FDA-2020-P-1248-0001_Citizen_Petition_from_Mark_Miles_Redacted.pdf,"March 16, 2020",Mark Miles,No representation is explicitly stated. The petition appears to be submitted by Mark Miles independently as a concerned citizen and medical professional.,"21 C.F.R. 10.30, 21 C.F.R. 201.57 (a)(10), 201.57 (a)(11), 505 of the Federal Food, Drug, and Cosmetic Act","FDA labeling and approval process for drugs—especially statements of safety, efficacy, and causational mechanisms in nephrotic syndrome",Issue corrective warnings and labeling changes to identify podocytopathy (not immune-mediated mechanisms) as the cause of nephrotic syndrome for a wide list of drugs; revoke or deny approval to drugs found to have been approved on false or misleading evidence; and halt promotion of such drugs until corrections are made,"The petitioner argues that many FDA-approved drugs list false or misleading information regarding nephrotic syndrome as being immune-mediated when federal courts and medical experts have established that the true mechanism is podocytopathy. Continued mislabeling misinforms healthcare providers and patients, undermines informed consent, and poses risks of inappropriate treatment. The FDA is urged to act based on scientific accuracy and legal precedent to correct these misstatements"
FDA-2020-P-1251-0001_Citizen_Petition_from_Varun_Verada_Redacted.pdf,"April 4, 2020",Varun Varada,The petition was submitted personally by Varun Varada and does not represent another entity,"21 U.S.C. § 343(q); 21 C.F.R. § 10.30; 21 C.F.R. §§ 25.30, 25.32","FDA’s labeling practices across all areas (not just drug labeling), specifically the requirement to use 'mcg' as the abbreviation for micrograms on product labels such as Nutrition Facts and Supplement Facts","Amend all parts of 21 C.F.R. that require the abbreviation 'mcg' for micrograms to instead require the official SI symbol 'μg'; for contexts involving handwriting (e.g., prescriptions), recommend writing 'micrograms' in full or using 'ug' as an alternative","The petitioner argues that 'mcg' is not a valid SI symbol and contradicts international standards (e.g., SI Brochure, IEEE/ASTM SI 10, NIST SP 330). The use of 'mcg' arose from medical field concerns about handwritten errors but is misapplied to printed labeling in nutrition and other non-medical contexts. This inconsistency causes public confusion, educational inefficiencies, and inter-agency discord, as other government entities (e.g., USDA, NIST) use 'μg'. Standardizing on 'μg' aligns with global norms and enhances communication"
FDA-2020-P-1260-0001_Citizen_Petition_from_Foley___Lardner_LLP.pdf,"April 6, 2020",Foley & Lardner LLP,Submitted on behalf of a client developing an ANDA for Proparacaine Hydrochloride Ophthalmic Solution 0.5%. The specific client name is not disclosed in the document.,"Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 C.F.R. §§ 314.93, 10.25(a), 10.30, 25.31",FDA’s Orange Book reference standard (RS) designation for Proparacaine Hydrochloride Ophthalmic Solution 0.5%,"Designate ALCAINE (Proparacaine Hydrochloride) Ophthalmic Solution 0.5%, ANDA #A080027 held by Alcon Laboratories Inc., as an additional reference standard (RS)","The current RS (ANDA #A040277 by Akorn Inc.) is on backorder and unavailable in the U.S. market. The proposed product (ALCAINE, ANDA #A080027) is available and was previously listed as an RS before being delisted. Designating it again as an RS would facilitate comparative studies for ANDA development, as permitted by FDA’s 2017 draft guidance on referencing approved drug products"
FDA-2020-P-1297-0001_Citizen_Petition_from_Joe_DiNardo_Redacted.pdf,"April 9, 2020",Joe DiNardo,The petition was submitted personally by Joe DiNardo and does not represent another entity,"21 C.F.R. § 10.30; 21 C.F.R. §§ 25.30, 25.31, 25.32, 25.33, 25.34; 21 U.S.C. § 393(b)(1), (b)(2), and (b)(3)","FDA’s regulation of benzene contamination in consumer products, especially hand sanitizers, sunscreens, and aerosol body sprays",1) Set a maximum daily allowable limit for benzene exposure of 0.1 ppm in all FDA-regulated drug and cosmetic products; 2) Require warning labels for any product containing detectable benzene; 3) Mandate benzene testing for high-risk product categories; 4) Ban the use of contaminated ingredients from suppliers previously associated with benzene-tainted products,The petitioner argues that benzene is a known human carcinogen with no safe level of exposure and that FDA has not adequately protected public health despite evidence of benzene contamination in numerous consumer products. Current limits based on inhalation exposure and outdated thresholds fail to consider cumulative dermal absorption and product misuse. Stronger regulations are needed to fulfill FDA’s mission to ensure safety and public health
FDA-2020-P-1305-0001_Citizen_Petition_from_Dr__Albert_Edwards___Redacte.pdf,"April 13, 2020",Dr. Albert Edwards,The petition was submitted personally by Dr. Albert Edwards and does not represent another entity,"21 C.F.R. § 10.30; 21 C.F.R. §§ 25.30, 25.31, 25.32, 25.33, 25.34; Federal Food, Drug, and Cosmetic Act § 502(a), (f), and (j); 5 U.S.C. § 553(e)","FDA’s labeling and regulatory policies for compounded drugs, particularly the lack of adequate warnings on the use of non-sterile compounded pharmaceuticals for intravitreal (intra-eye) injections","Amend labeling requirements to include a black box warning on compounded drugs that are not tested for sterility or ophthalmic safety but are administered intravitreally; additionally, require prescribers to obtain informed consent acknowledging risks of using non-FDA approved, non-sterile products for intravitreal injection","The petitioner raises concerns about patient safety, citing instances of blindness and serious eye infections caused by the use of non-sterile compounded drugs for intravitreal injection. He argues that FDA’s current policies fail to adequately protect patients, as many physicians are unaware of the risks. A black box warning and informed consent requirement would increase transparency and potentially prevent harm"
FDA-2020-P-1312-0001_Citizen_Petition_from_Foley___Lardner_LLP_on_behal.pdf,"April 28, 2020",Foley & Lardner LLP,"Foley & Lardner LLP submitted the petition on behalf of Taiho Oncology, Inc.","Section 505(b) of the Federal Food, Drug, and Cosmetic Act; 21 C.F.R. §§ 10.30, 314.50, 314.52, 314.54, 314.107, and 314.108",FDA's policy allowing ANDA or 505(b)(2) applicants to carve out patented labeling language from the approved labeling of Lonsurf® (specifically regarding dose adjustments for patients with severe renal impairment),1) Refrain from filing or approving any ANDA or 505(b)(2) NDA for generic versions of Lonsurf that omit labeling related to dose reductions in severely renally impaired patients; 2) Require generic versions to include all safety information present in the Lonsurf label,"The petitioner argues that excluding information about dose adjustments for severely renally impaired patients would make the generic version of Lonsurf less safe and potentially harmful. This information was added to the label following an FDA-mandated post-marketing study. Severe renal impairment significantly increases drug exposure, leading to a higher incidence of adverse reactions. Removing this information would deprive prescribers of critical guidance and put patients—especially those relying on Lonsurf as a last-line treatment—at increased risk"
FDA-2020-P-1334-0001_Citizen_Petition_from_Therapeutics_MD__Inc.pdf,"May 1, 2020","TherapeuticsMD, Inc.",No other entity is represented; TherapeuticsMD is submitting on its own behalf.,"21 C.F.R. §§ 10.30, 10.31; 21 U.S.C. § 355(j)(2)(A)(v); 21 C.F.R. § 314.94(a)(8)(iv); 21 U.S.C. § 355(b)(2); 21 C.F.R. § 314.3(b)","FDA's approval or receipt of any marketing application that references Imvexxy®, particularly ANDAs that do not meet certain equivalency criteria","TherapeuticsMD requests that the FDA refrain from receiving or approving any ANDA that references Imvexxy unless it matches the product in shape (teardrop), labeling (including IFU), and Q3 macro and microstructure. Alternatively, any such application should be submitted under the 505(b)(2) pathway. Additionally, the petitioner requests that the FDA issue product-specific guidance on these requirements.","The petitioner argues that the shape, formulation, and manufacturing quality attributes of Imvexxy are essential for therapeutic equivalence. Since Imvexxy acts locally and does not exhibit systemic absorption, standard bioequivalence testing via pharmacokinetics is not adequate. Therefore, to ensure therapeutic equivalence and patient safety, Q3 equivalence and identical IFUs must be required."
FDA-2020-P-1344-0001_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,"May 5, 2020","Lachman Consultant Services, Inc.",Submitted on behalf of an undisclosed client,"21 C.F.R. §§ 10.30, 314.161, 314.122, 25.31","FDA’s Orange Book listing and regulatory treatment of Cytoxan® (cyclophosphamide) Injection, NDA 012142, particularly regarding whether discontinued formulations were withdrawn for safety or effectiveness reasons","Determine that all discontinued formulations and strengths of Cytoxan® (cyclophosphamide) Injection under NDA 012142, including the dry powder excipient-free formulation, were not withdrawn for reasons of safety or effectiveness","The petitioner states that while FDA has made such determinations for several strengths and formulations of Cytoxan in the past, no such determination exists for all formulations. No evidence suggests any were withdrawn for safety or efficacy reasons. This determination is necessary to support ANDA filings referencing those discontinued products"
FDA-2020-P-1369-0001_Citizen_Petition_from_Hyman__Phelps___McNamara__P_.pdf,"May 8, 2020","Hyman, Phelps & McNamara, P.C.","Submitted on behalf of Cerovene, Inc.","21 C.F.R. §§ 10.25(a), 10.30; Federal Food, Drug, and Cosmetic Act § 505(j); 21 C.F.R. § 314.3","FDA’s designation of DARAPRIM (NDA 008578) as the sole Reference Standard (RS) for Pyrimethamine Tablets, 25 mg, despite its commercial unavailability due to a restricted distribution program","Designate ANDA 207127 (Pyrimethamine Tablets, 25 mg), held by Cerovene, Inc., as a new or additional RS for the purposes of ANDA submission and testing; amend the Orange Book accordingly","The current RS, DARAPRIM, is inaccessible due to a restricted distribution program, blocking generic competition. The approved generic under ANDA 207127 is the only listed alternative and should serve as a new RS. This designation would facilitate ANDA submissions and ensure market access, aligning with FDA’s intent to prevent 'gaming' tactics used to delay generics, as acknowledged in FDA’s own statements and guidance"
FDA-2020-P-1390-0001_Citizen_Petition_from_Varun_Varada_Redacted.pdf,"May 14, 2020",Varun Varada,The petition was submitted personally by Varun Varada and does not represent another entity,"21 U.S.C. § 343(q); 21 C.F.R. § 10.30; 21 C.F.R. §§ 25.30, 25.32",FDA’s current use of the 'calorie' as the unit of food energy on Nutrition Facts and Supplement Facts labels,"Amend all parts of 21 C.F.R. that mention 'calorie' to instead use the official SI unit of energy, the joule (specifically kilojoules for food energy). Labels should display 'Energy <n> kJ' and may optionally include '<n> kcal' for backward compatibility","The calorie is a deprecated pre-SI unit, and its continued use causes confusion, violates international and national SI standards (such as those by BIPM and NIST), and imposes unnecessary educational and economic burdens. Transitioning to kilojoules aligns U.S. regulations with global standards, reduces complexity for students, simplifies international trade, and improves regulatory clarity. The proposed change supports modernization and harmonization with major global partners like the EU and UK"
FDA-2020-P-1403-0001_Citizen_Petition_from_Hyman__Phelps___McNamara__P_.pdf,"May 19, 2020","Hyman, Phelps & McNamara, P.C.",Submitted on behalf of an undisclosed petitioner (implied to be a pharmaceutical company developing a generic doxycycline product),"21 C.F.R. §§ 10.25(a), 10.30, 314.94(a)(9)(iii), 314.127(a)(8)(ii)(B); Federal Food, Drug, and Cosmetic Act § 505(j)","FDA’s designation of VIBRAMYCIN (doxycycline hyclate) Injection, NDA 050442, as the sole Reference Listed Drug (RLD) for Doxycycline Hyclate for Injection, despite its market withdrawal and formulation differences","Designate ANDA 062475 (Doxycycline Hyclate for Injection, 100 mg and 200 mg Base/Vial) as additional RLDs in the Orange Book to allow generic applicants to rely on it for ANDA submissions","VIBRAMYCIN (NDA 050442) was withdrawn from the market and differs in formulation from ANDA 062475 due to the absence of mannitol, a necessary bulking agent. Past ANDAs (091406 and 207757) were approved using ANDA 062475 as the RLD, despite its use of a non-exception excipient. Failing to relist it as an RLD would unfairly force new applicants down the 505(b)(2) pathway with higher regulatory burdens and fees, violating principles of consistency under the Administrative Procedure Act"
FDA-2020-P-1405-0001_Citizen_Petition_from__bioMerieux.pdf,"April 1, 2020","bioMérieux (specifically through Hyglos GmbH, a bioMérieux company)",No law firm or other entity is representing bioMérieux; the petition was submitted directly by the company,21 C.F.R. § 10.30; 21 C.F.R. § 211.165; Executive Orders 13771 and 13777,"FDA’s policy regarding bacterial endotoxin testing methods, specifically the acceptance of recombinant Factor C (rFC) as equivalent to LAL and TAL methods under current compendial standards",Questions and Answers'; support rFC through the Emergency Use Authorization framework for COVID-19 diagnostics and therapeutics,"rFC is a scientifically validated, synthetic, and environmentally sustainable alternative to LAL and TAL, which rely on horseshoe crab blood. The petition cites regulatory precedents, international pharmacopeial acceptance, and recent FDA approvals of rFC-tested drugs. It argues that rFC avoids ethical and environmental harms associated with animal-based testing and offers a more reliable and cost-effective solution, especially during urgent public health situations like the COVID-19 pandemic"
FDA-2020-P-1416-0001_Citizen_Petition_from_Sidley_Austin__LLP__on_behal.pdf,"May 20, 2020",Sidley Austin LLP,"Yes, representing Cell2in Inc.",21 C.F.R. § 600.3(s); 21 C.F.R. 610.10; 21 C.F.R. 211.165(e); 21 C.F.R. 211.194; 21 C.F.R. 210.3(b)(16)(ii); 21 C.F.R. 610.1; 21 C.F.R. 210.3(b)(20); 21 C.F.R. 210.3(b)(7); 21 C.F.R. 600.3(l); 21 C.F.R. 610.53(a); 21 C.F.R. 610.61(g)(3); 21 C.F.R. 610.61(r); Section 351 of the Public Health Service Act,"FDA guidance documents related to potency assays for biologics, specifically those regarding human somatic cell therapy INDs, potency tests for cellular and gene therapy products, and BLA applications for cord blood products",Update FDA guidance documents to recognize real-time glutathione (GSH) monitoring methods—like Cell2in’s FreSHtracer—as acceptable potency assays for cell-based therapies including stem cell therapies,"Because real-time GSH monitoring accurately measures antioxidant capacity and 'stemness' of stem cells, both key indicators of therapeutic potency. These assays are reversible, ratiometric, and correlate with cell functionality, self-renewal, and differentiation ability. The petitioner provides in vitro and in vivo evidence that higher intracellular GSH levels correlate with better therapeutic performance, making such assays viable and meaningful tools for quality and potency assessment"
FDA-2020-P-1421-0001_Citizen_Petition_from_Encore_Dermatology__Inc_.pdf,"May 22, 2020","Encore Dermatology, Inc.","No, the petition was submitted directly by Encore Dermatology, Inc. without representation.","505(q), 21 C.F.R. 10.30, 314.94, 314.127",The petition comments on the FDA’s potential approval of Glenmark Pharmaceuticals’ ANDA 214191 for a generic version of Impoyz® cream.,"Refuse approval of Glenmark’s ANDA 214191 and require any similarly formulated generics to file a new drug application with adequate safety and efficacy data. If FDA allows ANDA pathway, require bioequivalence, systemic exposure, HPA axis suppression, and local safety data.","Encore argues that Glenmark’s generic formulation contains significant changes, including over 10% propylene glycol and exclusion of Transcutol, leading to potentially increased systemic absorption of clobetasol propionate. These changes raise serious safety and efficacy concerns not addressed by standard bioequivalence measures like the vasoconstrictor assay. Encore claims such differences exceed what is permissible under FDA’s regulations for ANDAs and necessitate new drug applications with full clinical data."
FDA-2020-P-1423-0001_Citizen_Petition_from_North_American_Olive_Oil_Ass.pdf,5/22/20,North American Olive Oil Association (NAOOA),Not representing another entity,"21 C.F.R. § 10.30, 21 C.F.R. § 130.6, 21 U.S.C. § 341",Establishment of a standard of identity (SOI) for olive oil and olive-pomace oil,"Request for the FDA to adopt a U.S. standard of identity for olive oil and olive-pomace oil, based on the Codex Standard, with specified deviations","The petitioner argues that a standard of identity (SOI) is needed to empower consumers to make informed health decisions, promote honesty and fair dealing, ensure product authenticity, protect against fraud, support a competitive industry, and align with international standards. This is supported by increased olive oil consumption, consumer confusion about oil types, and consumer studies showing trust issues due to fraud concerns."
FDA-2020-P-1427-0001_Citizen_Petition_from_Aurobindo_Pharma_USA__Inc_.pdf,"May 27, 2020","Aurobindo Pharma USA, Inc.","The petition was submitted by Aurobindo Pharma USA, Inc. and signed by their U.S. agent, Blessy Johns. It does not indicate representation by an external law firm or entity.","505(j) of the Federal Food, Drug, and Cosmetic Act; 21 C.F.R. §§ 10.25(a), 10.30, 314.93, 25.31(a), 25.15(d)","FDA’s designation of the Reference Standard (RS) for Dicloxacillin Sodium Capsules USP 125 mg, 250 mg, and 500 mg in the Orange Book",Request FDA to designate 'Dicloxacillin Sodium Capsules 500 mg (ANDA #062286) of Teva Pharmaceuticals USA Inc.' as the new Reference Standard (RS) for the purposes of in vivo bioequivalence testing to support ANDA submissions,"The currently listed RS (ANDA #061454 of Sandoz Inc.) is not practically available in the market despite being technically active in the Orange Book, making it infeasible for generic applicants to obtain necessary samples. Teva’s product (ANDA #062286) is the most widely marketed dicloxacillin capsule product in the U.S. and should be designated as RS to facilitate ANDA submissions. FDA precedent supports RS changes when existing RS availability is limited"
FDA-2020-P-1443-0002_Citizen_Petition_from_Elanco_Animal_Health.pdf,"May 28, 2020",Elanco Animal Health,No law firm is representing Elanco; it submitted the petition on its own behalf.,"Section 512 of the Federal Food, Drug, and Cosmetic Act (FDCA); 21 C.F.R. § 10.115(d)(3); Administrative Procedure Act (APA); Section 701(h) of the FDCA; GFI #35","FDA's approval of Huvepharma's ANADA for Monovet 90, a generic version of Elanco’s Rumensin® (monensin) Type A medicated article",Withdraw approval of Huvepharma’s ANADA for Monovet and refrain from approving future ANADAs for generic monensin unless specific conditions are met,"Elanco argues that Huvepharma’s Monovet was approved based on insufficient evidence of bioequivalence to Rumensin, including inadequate clinical trials and unreliable in vitro dissolution studies. Elanco also provides its own comparative study, which suggests Monovet may not be bioequivalent. The petition cites FDA guidance and legal precedents requiring rigorous bioequivalence demonstrations for generic animal drugs."
FDA-2020-P-1478-0001_Citizen_Petition_from_The_Sugar_Association.pdf,"June 3, 2020",The Sugar Association,No representation of another entity is mentioned; The Sugar Association submitted the petition on its own behalf.,"5 U.S.C. §553, 21 C.F.R. §§10.25 and 10.30, Section 201(n) of the FD&C Act, Section 403(a)(1) of the FD&C Act","Labeling regulations related to 'No Added Sugar', 'Reduced Sugar', and similar claims, and the use of alternative sweeteners in food and beverage products",1) Require ingredient labels to clearly disclose all alternative sweeteners; 2) Require front-of-package disclosures about sweetener types and quantities in children’s products; 3) Disclose gastrointestinal effects of sweeteners at minimum thresholds; 4) Issue guidance ensuring that no/reduced sugar claims are not misleading; 5) Take enforcement action against misleading labeling,"Petitioner argues that the current labeling misleads consumers, particularly in how alternative sweeteners are disclosed or omitted. Many consumers are unaware of sweeteners like sucralose or allulose due to lack of labeling clarity. Misleading claims (e.g., 'No Added Sugar') may hide the presence of nonnutritive sweeteners or give the impression that a product is healthier or lower in calories, even when it is not. The petition emphasizes the need for transparency to support informed consumer choices, especially for children."
FDA-2020-P-1506-0001_Citizen_Petition_from_Animal_Legal_Defense_Fund.pdf,"May 29, 2020",Animal Legal Defense Fund,"Animal Legal Defense Fund, representing itself, Food Animal Concerns Trust, and the Center for Biological Diversity","5 U.S.C. § 553(e), 21 U.S.C. § 360b, 21 C.F.R. §§ 10.20, 10.30, 21 C.F.R. § 558.500",Approval of ractopamine for use in pig and cattle feed under 21 C.F.R. § 558.500,Immediately suspend and/or withdraw the approval of ractopamine for use in pig and cow feed,"Due to COVID-19-related disruptions in meatpacking, animals are receiving ractopamine for longer durations, increasing animal suffering, risk of human exposure to residues, environmental contamination, and public health threats. Scientific evidence and FDA records highlight severe risks associated with ractopamine usage to animal welfare, human health, and environmental safety."
FDA-2020-P-1540-0001_Citizen_Petition_from_Alliance_For_Natural_Health_.pdf,"May 29, 2020",Alliance for Natural Health USA,"No, the Alliance for Natural Health USA submitted the petition on its own behalf without representing another entity.",21 U.S.C. § 355(e)(3); 5 U.S.C. § 553(e); 21 C.F.R. § 10.30,Current labeling regulations and approval framework for proton pump inhibitor (PPI) medications used in humans,Issue a regulation requiring all manufacturers of proton pump inhibitor (PPI) medications to expand their product labeling to include a warning about the increased risk of pneumonia,"Emerging research and meta-analyses have shown that the use of PPIs is associated with increased risk of both community-acquired and hospital-acquired pneumonia due to reduced gastric acidity, impaired immunity, and microbiota disruption. Multiple clinical studies and adverse event reports indicate statistically significant increased pneumonia incidence among PPI users. The petition argues that the FDA must act to ensure consumers are informed of these risks through clear labeling"
FDA-2020-P-1549-0001_Citizen_Petition_from_Windels_Marx_Lane___Mittendo.pdf,"June 10, 2020","Windels Marx Lane & Mittendorf, LLP","Yes, submitted on behalf of a client (identity not disclosed)","21 C.F.R. §§ 10.25(a), 10.30(b), 314.161, 314.122(a), 314.162; Federal Food, Drug, and Cosmetic Act (FD&C Act)","FDA's designation of Nymalize® (Nimodipine) Oral Solution, 3 mg/mL strength, under NDA 203340, as discontinued in the Orange Book","Request the FDA to determine whether Nymalize® (Nimodipine) Oral Solution, 3 mg/mL strength, was withdrawn from sale for safety or effectiveness reasons",The petitioner argues that the 3 mg/mL formulation of Nymalize® was discontinued due to commercial considerations following FDA approval of a new 6 mg/mL concentration. There is no evidence suggesting the 3 mg/mL formulation was withdrawn for safety or effectiveness reasons. This determination is essential for any applicant seeking to reference this formulation in an ANDA
FDA-2020-P-1575-0001_Citizen_Petition_from_Francis_E__O_Donnell__Redact.pdf,"June 8, 2020","Francis E. O'Donnell, Jr., M.D.","No representation is mentioned; the petition was submitted personally by Dr. Francis E. O'Donnell, Jr.",21 C.F.R. § 10.30; 21 C.F.R. § 330.10(a); 21 U.S.C. § 321(g)(1)(C); 21 U.S.C. § 352(f)(1); 21 U.S.C. § 355,FDA’s policy regarding over-the-counter (OTC) ocular products using benzalkonium chloride (BAK) and other preservatives in non-sterile formulations,Immediately remove OTC ophthalmic drug products from the market that contain benzalkonium chloride or similar preservatives in non-sterile formulations until clinical safety data are submitted and evaluated,"The petitioner cites clinical research and safety data suggesting that BAK and other preservatives in non-sterile OTC eye drops can damage the ocular surface and are associated with adverse effects, including allergy, toxicity, and exacerbation of dry eye symptoms. FDA is urged to act due to risks to public health, particularly among the elderly, contact lens wearers, and individuals with preexisting ocular surface disease"
