File Name,Date of Petition,Date Comments,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,Comments by RA
FDA-2019-P-1643-0001_Citizen_Petition_from_Public_Citizen_s_Health_Rese.pdf,"April 5, 2019",,Public Citizen’s Health Research Group,"Not Represented by Another Entity – The petition was signed by Dr. Michael Carome, Director of the Health Research Group, without legal or third-party representation","21 C.F.R. § 10.30 (Citizen petitions)
- 21 C.F.R. § 25.31(a) (Environmental assessment exclusion)
- 21 C.F.R. § 10.30(b) (Economic impact disclosure)
- Federal Food, Drug, and Cosmetic Act § 505(e) (Withdrawal of drug approval)","The petition challenges the FDA’s continued approval of mefloquine hydrochloride (Lariam) for malaria prophylaxis and treatment, and calls attention to the lack of regulatory action despite serious neurological and psychiatric adverse effects","Public Citizen requests that FDA immediately remove approval of mefloquine hydrochloride for all uses due to its severe and potentially permanent neuropsychiatric effects, under the authority of § 505€","Mefloquine has been linked to long-lasting and potentially irreversible neurological and psychiatric side effects, including anxiety, paranoia, depression, hallucinations, and suicidal thoughts.
- The FDA’s own 2013 safety labeling changes acknowledged these risks, but the drug remains approved.
- Alternatives (e.g., atovaquone/proguanil, doxycycline) are safer and effective.
- The petition cites numerous studies, WHO reports, military surveillance data, and manufacturer warnings supporting withdrawal of approval",
FDA-2019-P-3903-0001_Citizen_Petition_from_Hyman__Phelps___McNamara_P_C.pdf,"August 16, 2019",,"Hyman, Phelps & McNamara, P.C.","The law firm Hyman, Phelps & McNamara, P.C. is not explicitly stated to be representing another company, but the petition specifically proposes ANDA 040014 held by Hi-Tech Pharmaceuticals as the preferred Reference Standard. This suggests the firm may be acting on their behalf, though it is not definitively confirmed in the document","21 C.F.R. § 10.25(a) (Submission of petitions)
- 21 C.F.R. § 10.30 (Citizen petitions)
- 21 C.F.R. § 25.31 (Environmental impact exclusions)
- 21 C.F.R. § 10.30(b) (Economic impact submission)
- FDC Act § 505(j) (ANDA provisions)
- 21 C.F.R. § 314.3 (Definition of listed drug and reference standard)","The petitioner is addressing the lack of an accessible Reference Standard (RS) for Lidocaine Hydrochloride Oral Solution, 2%, specifically that the current RS (ANDA 040708) is commercially unavailable","	Petitioner requests that FDA designate a new RS, preferably ANDA 040014 (Hi-Tech Pharmaceuticals), for Lidocaine Hydrochloride Oral Solution, 2%, and update the Orange Book to reflect this designation","The current RS (ANDA 040708) is not commercially available, impeding ANDA submissions.
- Without a viable RS, the drug is effectively shielded from generic competition.
- ANDA 040014 (Hi-Tech Pharmaceuticals) is widely available and leads the U.S. market in sales volume (per IMS data), making it a suitable candidate for RS designation.
- FDA precedent supports designating a new RS via citizen petition when the existing RS is unavailable",
FDA-2019-P-1783-0001_Citizen_Petition_from_Public_Citizen.pdf,"April 10, 2019",,"Public Citizen, specifically the Health Research Group","Not Represented by Another Entity
The petition was submitted by Dr. Michael Carome, Director of the Health Research Group at Public Citizen","21 C.F.R. § 10.30 (Citizen petitions)
- 21 C.F.R. § 25.31(a) (Environmental assessment exclusions)
- 21 C.F.R. § 10.30(b) (Economic impact statement)
- 21 U.S.C. § 355(e) (Section 505 of the FD&C Act – withdrawal of drug approval)","The petition challenges the FDA's continued Over-the-Counter (OTC) approval of oral phenylephrine as a nasal decongestant, alleging it is ineffective at marketed dosages and should no longer be considered Generally Recognized As Safe and Effective (GRASE)","Revoke the GRASE designation for oral phenylephrine when used as a nasal decongestant.
- Remove all OTC products containing oral phenylephrine for that purpose from the market.
- Require reformulation, relabeling, or withdrawal of affected drugs","Public Citizen cites numerous clinical trials showing oral phenylephrine to be no more effective than placebo at standard OTC dosages.
- Points to FDA's 2007 advisory committee discussion questioning its effectiveness.
- Notes a lack of new evidence justifying the drug’s continued availability.
- Expresses concern about consumers being misled into purchasing ineffective treatments, creating public health and financial risks",
FDA-2019-P-1566-0006_Attachment_1_re_Amendment_from_Noble_Pharma_LLC.pdf,"July 23, 2019",,"Noble Pharma, LLC",Not Represented by Another Entity,21 CFR § 10.33(e) — Referenced regarding elaboration of differences without introducing new data,"The FDA's June 25, 2019 decision to deny Noble Pharma’s suitability petition (FDA-2019-P-1566) for submitting an Abbreviated New Animal Drug Application (ANADA) for a scored, poultry-flavored chewable tablet combining ivermectin and pyrantel (as pamoate salt) .","Noble Pharma requests that the Commissioner reconsider the June 25, 2019 denial and approve the revised suitability petition with the scoring removed from the proposed chewable .","Noble Pharma’s proposed product is a chicken liver-flavored soft chewable formulated for dogs, distinct from the pioneer beef-flavored chewable (Heartgard® Plus).
- Differences include texture, excipients, scoring, and tablet dimensions (see comparison images and table on pages 2–3).
- Their product is intended to be softer, more palatable, and safer (smaller size may reduce choking risk).
- The firm cites precedent: FDA's approval of a similar change in Provetica’s petition (FDA-2018-P-1185) in 2018.
- They argue that changes do not require a full new application and are consistent with agency precedent",
FDA-2019-P-1678-0001_Citizen_Petition_from_Exela_Pharma_Sciences__LLC_.pdf,"April 5, 2019",,"Exela Pharma Sciences, LLC",Not Represented by Another Entity,"21 C.F.R. § 10.25(a) — General filing requirements for petitions
- 21 C.F.R. § 10.30 — Citizen petition procedures
- 21 C.F.R. § 25.31 — Categorical environmental exclusions
- 21 C.F.R. § 10.30(b) — Economic impact statement requirements
- 21 C.F.R. § 314.3(b) — Definition of therapeutic equivalents
- 21 C.F.R. § 320.22 — Bioequivalence waiver provisions
- Section 505(b)(2) of the FDC Act — New drug application pathway
- Section 736 of the FDC Act — Prescription Drug User Fee Act (PDUFA) exemptions","The petition addresses the FDA’s Orange Book TE Code assignment process, requesting that Exela’s NDA-approved product GLYRX-PF be assigned an ""AP"" Therapeutic Equivalence (TE) Code, similar to Somerset Therapeutics' ANDA product (ANDA 207639) and the discontinued reference drug Robinul®","Exela requests that FDA assign a TE Code of “AP” (injectable aqueous solution) to GLYRX-PF (NDA 210997), with respect to:
- Robinul® (NDA 017558) by West-Ward Pharmaceuticals
- ANDA 207639 by Somerset Therapeutics","GLYRX-PF and Somerset's product are pharmaceutical and therapeutic equivalents (same active ingredient, strength, dosage form, and route of administration).
- GLYRX-PF was approved via NDA 210997 and designated Robinul® as its RLD.
- GLYRX-PF qualified for a bioequivalence waiver under 21 C.F.R. § 320.22.
- The Somerset ANDA Product already has an “AP” rating, so FDA should apply the same rationale to Exela’s product.
- Assigning a TE code is important for Exela to qualify for a user fee exemption under PDUFA, and to receive retroactive refunds for fees already assessed",
FDA-2019-P-2124-0001_Petition_for_Administrative_Reconsideration_from_C.pdf,"April 28, 2018",,"Celltrion, Inc.",Not Represented by Another Entity,"42 U.S.C. § 262(k)(7) — Exclusivity provision of the Public Health Service Act (PHSA)
- 21 C.F.R. § 10.33 — Procedures for reconsideration of FDA decisions
- 21 C.F.R. § 10.35(e) — Stay of action provisions
- Section 351(k) of the PHSA
- Section 351(a) of the PHSA
- References to FDA’s Final Guidance on Exclusivity Determination of Biosimilars","The petition challenges FDA’s interpretation of “first licensure” under section 351(k)(7) of the PHSA, particularly regarding its application to Amgen’s biologic product EPOGEN®/Epogen (epoetin alfa).","Reconsider the FDA’s determination that Amgen’s biologic product Epogen qualified for 12 years of exclusivity starting in 2018 based on a new BLA.
- Find that Amgen’s previous approval history under 351(a) disqualifies it from new exclusivity under the cited provision.
- Stay approval of any BLAs relying on this exclusivity interpretation until FDA makes a revised determination.","Celltrion argues that FDA improperly granted a new 12-year exclusivity period for Amgen’s Epogen even though it was previously licensed under a full BLA before.
- This undermines the balance Congress struck between innovation and biosimilar competition under the Biologics Price Competition and Innovation Act (BPCIA).
- The petition emphasizes that Amgen’s “first licensure” occurred decades earlier, and the new BLA should not reset the exclusivity clock.
- Cites precedent, statutory interpretation, legislative intent, and regulatory guidance inconsistencies to support their position.",from 2018?
FDA-2019-P-3855-0026_Amendment_to_Citizen_Petition_from_Latham___Watkin.pdf,"December 4, 2019",,"Genus Lifesciences, Inc.","Submitted by Latham & Watkins LLP on behalf of Genus Lifesciences, Inc.","21 U.S.C. § 355 (sections 505(e) and 505(q))
- 21 C.F.R. § 10.30(g)
- 5 U.S.C. § 706(2)(A)
- 21 C.F.R. § 314.101(d)(9)","FDA’s acceptance for filing of Lannett Company, Inc.’s 505(b)(2) application for cocaine hydrochloride, despite incomplete renal and hepatic toxicity studies, and during Genus’s NCE exclusivity period.","FDA must accept any new NDA submission from Lannett only after it completes the required renal and hepatic toxicity studies.
- FDA must refuse to approve any NDA for cocaine hydrochloride product unless QT, renal, hepatic, and leachable studies (similar to those conducted by Genus) are completed.
- FDA must rescind acceptance of any 505(b)(2) application for cocaine hydrochloride product submitted by Lannett that circumvents Genus’s NCE exclusivity.","FDA required Genus to complete rigorous QT, renal, and hepatic toxicity studies and to include specific labeling precautions based on those results before approving its product (Goprelto).
- Lannett's application allegedly bypassed these requirements and was still accepted by FDA, resulting in an unfair regulatory advantage.
- FDA’s action is claimed to be arbitrary, capricious, and contrary to law (violation of APA), and prejudicial to Genus’s NCE exclusivity rights which extend to December 14, 2022.
- FDA must apply equal standards and ensure safety and efficacy through equivalent studies.",
FDA-2019-P-2070-0001_Citizen_Petition_from_TechReg_Services__Inc_.pdf,"April 19, 2019",,"TechReg Services, Inc.","Not Represented by Another Entity
— Petition was signed and submitted directly by Steven Pikulin, President of TechReg Services, Inc.","21 CFR § 10.20
- 21 CFR § 10.30
- 21 CFR § 314.93
- Section 505(j)(2)(C) of the FD&C Act
- 21 CFR § 314.94(a)(6)
- 21 CFR § 25.31(a) (Environmental Impact)
- 21 CFR § 10.30(b) (Economic Impact)
- Referenced FDA Guidance Documents:
- ANDA Submissions – Refuse-to-Receive Standards (Dec 2016)
- Allowable Excess Volume and Labeled Vial Fill Size in Injectable Drug and Biological Products (June 2015)","The petitioner seeks a determination from FDA on whether proposed 8 mL and 16 mL vial fill volumes for Norepinephrine Bitartrate Injection, USP are suitable for inclusion in an ANDA. This indirectly addresses FDA’s restrictive interpretation of fill volume differences as strength deviations requiring prior suitability petition approval.","Petitioner requests that FDA determine the suitability of 8 mL and 16 mL per vial fill volumes of Norepinephrine Bitartrate Injection, USP, for inclusion in an Abbreviated New Drug Application (ANDA), in addition to the currently approved 4 mL per vial reference listed drug (RLD) LEVOPHED.","FDA guidance defines drug ""strength"" as a combination of concentration and fill volume; deviations in fill volume alone may still require a suitability petition.
- The proposed product is compositionally identical to the RLD in concentration and formulation.
- Higher fill volumes would reduce the number of vials needed for dilution, lowering contamination risks and simplifying preparation.
- Proposed labeling would only differ in the “How Supplied” section, maintaining consistency in indications, warnings, and directions for use.
- Visual and packaging differences will clearly differentiate vial sizes, reducing dosing errors",
FDA-2019-P-5237-0001_Citizen_Petition_from_Aurobindo_Pharma_USA__Inc__R.pdf,"November 5, 2019",,Aurobindo Pharma Limited,"Filed through its U.S. agent Aurobindo Pharma USA, Inc. – signed by Blessy Johns (US Agent). No outside law-firm representation noted.","Federal Food, Drug & Cosmetic Act § 505(j) (generic-drug provisions)
* 21 C.F.R. § 10.25(a) (general petitions)
* 21 C.F.R. § 10.30 (citizen petitions)
* 21 C.F.R. § 314.93 (suitability/reference-standard petitions)
* 21 C.F.R. § 25.31(a) (categorical environmental exclusion)
* 21 C.F.R. § 10.30(b) (economic-impact statement)","Reference-standard designation policy for Amoxicillin & Clavulanate Potassium ER 1000 mg / 62.5 mg tablets – the current Orange-Book RS (Augmentin XR®, NDA 050785) is “so limited” in distribution that it cannot be obtained for in-vivo bio-equivalence testing.","Ask FDA to designate the marketed generic product (ANDA 090227, Sandoz Inc.) as the new Reference Standard (RS) for this strength, so ANDA applicants can rely on it for bio-equivalence studies.","Current RS unavailable: distributors report no samples of Augmentin XR® (NDA 050785).
* Guidance support: FDA draft guidance (Referencing Approved Drug Products in ANDA Submissions, Section III.C.2-3) allows FDA to select a new RS when supply is insufficient.
* Market leader & AB-rated: Sandoz’s ANDA 090227 is the only product actively marketed, meets TE code AB, and therefore fits FDA selection criteria.
* Timely access: Without a usable RS, potential ANDA applicants cannot perform required in-vivo studies, delaying generic competition.",
FDA-2019-P-1366-0001_Citizen_Petition_from_Cardinal_Health_Regulatory_S.pdf,"January 31, 2019",Header on page two of letter,Cardinal Health Regulatory Sciences,Not Representing Another Entity,"21 CFR § 10.30 — Citizen petition procedures
- 21 CFR § 314.161 — Determination of withdrawal from sale
- 21 CFR § 314.122, 314.162 — Additional references to drug withdrawal evaluation
- 21 CFR § 25.31 — Environmental impact (categorical exclusion)
- 21 CFR § 10.30(b) — Economic impact provision","The FDA’s continued listing of CLAFORAN® (Cefotaxime Sodium for Injection, NDA 050547) in the Orange Book as a reference listed drug (RLD), despite it being discontinued in all strengths. The petitioner is asking for clarification on whether the drug was withdrawn for safety or efficacy reasons","Cardinal Health requests that the FDA determine whether CLAFORAN® (Cefotaxime Sodium for Injection, 500 mg, 1 g, 2 g, 10 g/vial) has been withdrawn for reasons of safety or effectiveness, as required before allowing an ANDA or 505(b)(2) application to reference a discontinued product","The Orange Book lists all strengths of CLAFORAN® (NDA 050547) as discontinued as of January 30, 2019.
- If a product is no longer marketed, FDA must assess whether it was withdrawn for safety or efficacy reasons before it can be used as a reference product.
- This determination impacts the eligibility of future ANDAs or 505(b)(2) applications referencing the discontinued product",
FDA-2019-P-1594-0001_QHC_Petition___Petition_for_the_Authorization_of_a.pdf,"December 18, 2018",,"QHC Petition, LLC",Not Mentioned,"21 CFR § 101.14 — Health claim general requirements
- 21 CFR § 101.70 — Submission procedures for health claims
- FDA Modernization Act of 1997 (FDAMA) — Regarding qualified health claims
- Pearson v. Shalala — Court case cited in support of 1st Amendment rights related to health claims",The petition addresses FDA’s current policy requiring significant scientific agreement (SSA) for authorized health claims and seeks permission for a qualified health claim regarding magnesium intake and reduced risk of high blood pressure.,"The petitioner asks FDA to:
1. Authorize a qualified health claim linking magnesium consumption to reduced risk of high blood pressure.
2. Allow five different versions of this qualified claim, with varying qualifiers and disclaimers, including proposed claim language such as:
- “Some scientific evidence suggests that diets with adequate magnesium may reduce the risk of high blood pressure…”
- “Magnesium may reduce the risk of high blood pressure. FDA has concluded that the evidence is inconsistent and not conclusive.”","The petition cites meta-analyses, randomized controlled trials (RCTs), and cohort studies showing an association between magnesium intake and lower blood pressure.
- Argues that while the evidence may not meet the FDA’s “significant scientific agreement” threshold, it meets the standard for a qualified health claim.
- Asserts that consumers benefit from access to truthful, non-misleading health information, consistent with constitutional protections established in Pearson v. Shalala.
- Proposes that allowing qualified claims helps avoid public misinformation and allows market-driven health promotion.",
FDA-2019-P-1525-0001_Revised_Citizen_Petition_from_Baxter_Healthcare_Co.pdf,"March 29, 2019",,Baxter Healthcare Corporation,"Not Represented by a Third Party — The petition was signed and submitted directly by Mitul Chatterjee, Vice President – Regulatory Affairs at Baxter. No external law firm or representative is mentioned","Section 505(j) of the Federal Food, Drug, and Cosmetic Act
- 21 CFR § 10.25(a)
- 21 CFR § 10.30
- 21 CFR § 314.161(a)(1)
- 21 CFR § 314.162
- 21 CFR § 25.31 (environmental impact exclusion)
- 21 CFR § 10.30(b) (economic impact)",FDA's listing of CARDENE® (Nicardipine Hydrochloride Injection) 25 mg/10 mL as discontinued in the Orange Book without a public determination as to whether the drug was withdrawn for reasons of safety or effectiveness,"Baxter requests that FDA:
1. Determine whether CHIESI USA Inc.’s CARDENE® (NDA 019734) was withdrawn for safety or effectiveness reasons.
2. Designate an additional Reference Listed Drug (RLD) if applicable","CARDENE® 25 mg/10 mL is listed as discontinued in the Orange Book, and Baxter seeks to use it for ANDA referencing.
- FDA regulations require a formal determination before a discontinued product can be used in an ANDA submission.
- Baxter had previously submitted a Controlled Correspondence on this topic, and FDA directed them to submit a Citizen Petition.
- FDA guidance (“Referencing Approved Drug Products in ANDA Submissions”) requires such petitions for drugs listed as discontinued without a safety/effectiveness determination",
FDA-2019-P-5268-0016_Supplement_from_Public_Citizen.pdf,"May 28, 2020",,Public Citizen’s Health Research Group,Not Representing Another Entity,"Controlled Substances Act (CSA) — Petition requests scheduling action under this statute.
FDA labeling requirements and pharmacogenomic guidance implied but no CFR references explicitly listed in the supplement.","The supplement comments on the lack of action taken on the original petition (submitted Nov. 6, 2019), which requested reclassification of tramadol from Schedule IV to Schedule II under the Controlled Substances Act.","The petitioner reaffirms the original request: Reschedule tramadol (and all related salts, isomers) from Schedule IV to Schedule II of the Controlled Substances Act.","Public Citizen provides multiple layers of justification:
1. Labeling parity: Tramadol's boxed warnings match those of Schedule II opioids (e.g., oxycodone) on addiction, misuse, and respiratory depression.
2. Pharmacogenetic risk: Individuals with the CYP2D6 ultra-rapid metabolizer genotype face significantly higher risks of fatal overdose — yet testing is not routinely done before prescribing.
3. High prescribing volume: Tramadol became one of the most prescribed opioids in the U.S. after hydrocodone’s 2014 rescheduling.
4. Misuse data: National Survey data show more people misuse tramadol than many Schedule II drugs, including morphine and fentanyl.
5. Increased mortality: Post-2014 studies show elevated mortality risks tied to tramadol use.
6. Post-op addiction risk: Tramadol has been shown to result in greater long-term opioid use after surgery than other Schedule II opioids.
7. Adverse event data: FDA’s FAERS database (2004–2016) lists tramadol as the 4th most frequent opioid associated with adverse events and 5th in deaths, nearly equaling fentanyl in number of reported adverse events (see Table 1 on page 3).",
FDA-2019-P-4002-0001_Citizen_Petition_from_Otsuka_Pharmaceutical_Develo.pdf,"August 22, 2019",,"Otsuka Pharmaceutical Co., Ltd.","Petition was submitted by William H. Carson, M.D., President & CEO of Otsuka Pharmaceutical Development & Commercialization, Inc., on behalf of Otsuka Pharmaceutical Co., Ltd","505(j) and 505(q) of the FDCA
- 21 C.F.R. §§ 10.30 and 314.161
- 21 C.F.R. § 314.127
- 21 C.F.R. § 25.31
- 21 C.F.R. §§ 314.150, 314.151, 314.153
- FDCA § 505(w)","The petition comments on FDA’s allowance of Abbreviated New Drug Applications (ANDAs) citing SAMSCA (tolvaptan) 60 mg as the Reference Listed Drug (RLD), especially in light of the approval of JYNARQUE for a different indication with a REMS program. ","Otsuka requests that the FDA:
1. Determine that SAMSCA 60 mg should not be approved and can no longer serve as an RLD for ANDAs.
2. Refuse to approve any pending ANDA for a generic version of SAMSCA 60 mg.
3. Suspend and withdraw the approval of any ANDA for a generic version of SAMSCA 60 mg.","Otsuka argues that:
- SAMSCA 60 mg tablets have never been marketed.
- Their existence could allow off-label use as a substitute for JYNARQUE, undermining the REMS program.
- Off-label use increases risk of serious, potentially fatal liver injury due to lack of monitoring requirements outside the REMS.
- FDA has previously taken similar actions based on off-label risks (e.g., Palladone and OxyContin).
- No clinical need exists for the 60 mg SAMSCA tablet in treating hyponatremia. ",
FDA-2019-P-3855-0025_Amendment_to_Citizen_Petition_from_Latham___Watkin.pdf,"November 27, 2019",,Latham & Watkins LLP,"Representing Genus Lifesciences, Inc.","21 C.F.R. § 10.30(g)
- 21 C.F.R. § 314.101(d)(9)
- 21 U.S.C. § 355(c)(3)(E)(ii)
- 5 U.S.C. § 706(2)(A)","Acceptance and review of Lannett Company, Inc.’s 505(b)(2) application for a cocaine hydrochloride product without the required toxicity studies that FDA mandated for Genus.","Rescind FDA’s acceptance of Lannett’s 505(b)(2) NDA application
- Refuse future filings for Lannett’s product before Genus's NCE exclusivity expires
- Refuse approval of any NDA for cocaine hydrochloride products without comparable QT, renal, hepatic, and leachable studies","FDA required Genus to conduct QT, renal, and hepatic toxicity studies prior to NDA filing.
- FDA accepted Lannett’s NDA without equivalent studies, creating an unequal standard.
- FDA’s action was arbitrary, capricious, and contrary to law.
- Genus’s NCE exclusivity should prevent FDA from accepting or approving Lannett’s application.
- Approval of Lannett’s product without equivalent safety data could pose public health risks.",
FDA-2019-P-1800-0001_Citizen_Petition_from_Boditech_Med_Inc_.pdf,"April 12, 2018",,Boditech Med Inc.,"Not representing another entity. Petition was submitted directly by Dr. Parag Bhurhandi, Senior Research Scientist (Regulatory Affairs), on behalf of Boditech Med Inc.","Section 513(f)(1) of the FD&C Act (automatic Class III classification)
- Section 513(f)(3) of the FD&C Act (petition for reclassification)
- Section 513(e) of the FD&C Act (FDA-initiated reclassification)
- 21 C.F.R. 10.30 (citizen petition procedure)
- 21 C.F.R. 860 (medical device classification)
- 21 C.F.R. 25.34(b), 25.40, 25.42 (environmental impact)","The automatic classification of Mycobacterium tuberculosis IVD devices under Product Code NCD into Class III requiring PMA (Premarket Approval), rather than permitting Class II classification under special controls and 510(k) process.","1. Reclassify all medical devices under Product Code NCD from Class III to Class II with 510(k) notification.
2. Establish special controls and issue appropriate guidance.
3. Take any additional administrative actions necessary to effectuate the above","All FDA-approved NCD devices are serial modifications of a single original device (QuantiFERON®-TB).
- No other similar devices have been reviewed under 510(k) or De Novo classification.
- The devices are not high-risk: they are not life-supporting or sustaining, and false positive/negative risks are manageable with general and special controls.
- CDC (2016) and WHO (2018) guidelines support the use of IGRA-based TB diagnostics (including QuantiFERON).
- FDA itself reclassified similar nucleic acid-based TB diagnostics to Class II in 2014 under 21 CFR 866.3372.
- Reclassification would facilitate access, reduce regulatory burden, and maintain patient safety.
- The petition cites valid scientific evidence and international use and acceptance of the devices to demonstrate safety/effectiveness",from 2018?
FDA-2019-P-6048-0001_Suitability_Petition_from_Fresenius_Kabi_USA__LLC.pdf,"December 20, 2019",,"Fresenius Kabi USA, LLC","The petition is submitted directly by Fresenius Kabi USA, LLC. There is no external representative (e.g., law firm); the signatory is Jennifer Gross, Regulatory Specialist","Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act (FD&C Act)
- 21 C.F.R. 10.30 (citizen petition procedure)
- 21 C.F.R. 25.31 (categorical exclusion for environmental assessment)
- 21 C.F.R. 10.30(b) (economic impact provision)
- Section 505(j)(2)(A) and 505(j) of FD&C Act (ANDA requirements)",Determination of suitability for submission of an Abbreviated New Drug Application (ANDA) for Sodium Chloride 0.9% Irrigation USP in new container sizes (250 mL and 1500 mL) differing from the currently approved sizes of the Reference Listed Drug (RLD),"FDA should determine that Sodium Chloride 0.9% Irrigation USP in 250 mL and 1500 mL fill sizes is suitable for submission in an ANDA.
- Confirm that these size modifications do not raise questions of safety or effectiveness, and permit the change in total drug content per container","The proposed changes are limited to container fill sizes (250 mL and 1500 mL) and represent a change in strength (total drug content) but not in formulation or usage.
- The product remains a sterile, nonpyrogenic isotonic solution identical to the RLD in composition and use.
- Labeling, indications, and administration are unchanged except for fill volume.
- The change will help reduce drug waste and accommodate different clinical needs.
- There are no safety or effectiveness concerns, and the submission meets the statutory and regulatory requirements for ANDA under the FD&C Act",
FDA-2019-P-4481-0008_Withdrawal_from_Macleods_Pharmaceuticals_Limited.pdf,"November 20, 2020",,Macleods Pharmaceuticals Limited,"No representation by a third party; the letter was submitted directly by the company. The signatory is Nayan R. Patel, Senior Director, Regulatory Affairs",Not Mentioned in the withdrawal letter. The document is a simple withdrawal notice without legal citations.,"Withdrawal of a previously submitted Citizen Petition (Docket No. FDA-2019-P-4481) submitted by Macleods Pharmaceuticals on October 10, 2019",The petitioner requests that the FDA consider the petition withdrawn and cease any further review of it.,No justification provided. The letter simply states the petition is being withdrawn without elaborating on the reason .,
FDA-2019-P-0777-0001_Citizen_Petition_from_National_Milk_Producers_Fede.pdf,"February 21, 2019",,National Milk Producers Federation (NMPF),"Submitted directly by Clay Hough, Senior Vice President and General Counsel, NMPF. No external representation involved .","Section 403(a)(1) of the FD&C Act (misbranding)
- Section 201(g) (definition of drugs)
- 21 C.F.R. § 101.3(d) (use of standardized common or usual names for foods)
- 21 C.F.R. § 130.10 (nutritional equivalency requirement for modified standardized foods)","FDA’s enforcement discretion regarding labeling of plant-based products as “milk”, which NMPF argues misbrands non-dairy beverages by allowing use of dairy terms inconsistent with federal standards of identity.","NMPF requests FDA to:
- Enforce existing standards of identity for milk and dairy products.
- Take regulatory action against plant-based products labeled with dairy terms such as “milk,” “cheese,” and “yogurt” when they do not meet dairy definitions.
- Publish guidance to clarify these labeling restrictions.","Use of dairy terms on plant-based products is misleading and violates FD&C Act Section 403(a)(1).
- Plant-based “milks” are nutritionally inferior to real dairy milk and often contain additives, creating consumer confusion.
- Existing FDA standards define milk as the lacteal secretion of cows, and NMPF argues enforcement is necessary to protect both consumers and dairy producers.
- Cites FDA’s own guidance and court rulings supporting regulation of standardized food labeling.",
FDA-2019-P-4281-0001_Citizen_Petition_from_Valisure__LLC.pdf,"September 9, 2019",,"Valisure, LLC","The petition was submitted directly by Valisure, LLC. The signatory is David Light, CEO of Valisure. No external representation or law firm is listed .","21 C.F.R. § 10.30 (citizen petition process)
- 21 C.F.R. § 314.70 (supplements and other changes to approved NDA or ANDA)
- 21 U.S.C. § 355 (NDA provisions of the FD&C Act)
- 21 C.F.R. § 211.84 (testing and approval or rejection of components, drug product containers, and closures)
- 21 C.F.R. § 211.165 (testing and release for distribution)","Lack of FDA enforcement and regulatory oversight in requiring routine independent batch-level chemical analysis of drug products—especially regarding contamination by N,N-Dimethylformamide (DMF) in ranitidine products.","Valisure requests the FDA to:
- Recall all lots of ranitidine containing unacceptable levels of NDMA and/or DMF.
- Suspend sale of ranitidine products until appropriate analytical methods and safety levels are established.
- Reform FDA regulations to require validated independent chemical batch-level testing by companies such as Valisure.
- Mandate revisions to ANDAs and NDAs to include proper nitrosamine contamination safeguards.","Valisure’s own analytical testing found extremely high levels of NDMA and DMF, probable human carcinogens, in ranitidine products.
- FDA-accepted testing methods are inadequate for detecting NDMA in ranitidine due to heating artifacts.
- Public health risks are severe due to chronic use of contaminated ranitidine products.
- Existing FDA rules do not ensure that final products are independently batch tested, leaving a critical quality control gap.
- Requiring independent chemical analysis could prevent future contamination crises and improve transparency and accountability.",
FDA-2019-P-0372-0001_Citizen_Petition_from_Hyman_Phelps___McNamara__P_C.pdf,"January 23, 2019",,"Hyman, Phelps & McNamara, P.C.","The firm Hyman, Phelps & McNamara, P.C. submitted the petition on behalf of an unnamed client or stakeholder. However, no specific represented entity is disclosed. The signatory is Deborah L. Livornese, Attorney at Law","21 C.F.R. §§ 10.25 and 10.30 (general citizen petition procedures)
- 21 C.F.R. §§ 314.122 and 314.161 (withdrawal determinations)
- 21 C.F.R. § 314.162 (Orange Book removal for safety/effectiveness)
- 21 C.F.R. § 25.31 (categorical exclusion for environmental impact)
- 21 C.F.R. § 10.30(b) (economic impact statement)
- FD&C Act §§ 505(j) and 505(w)","The petition addresses whether MIOCHOL® (acetylcholine chloride) for intraocular solution, previously approved under NDA 016211 and discontinued, was withdrawn for reasons of safety or effectiveness, which would impact its status as a Reference Listed Drug (RLD).","The petitioner requests that FDA determine that MIOCHOL® was not withdrawn for reasons of safety or effectiveness, so it may remain listed in the Orange Book and be eligible as an RLD for ANDA submission","MIOCHOL® was moved to the Orange Book’s “Discontinued Drug Product List” in 2009.
- FDA acknowledged in a July 12, 2018 Federal Register notice that the withdrawal was at the request of the NDA holder (Novartis).
- The petitioner is not aware of any evidence suggesting the withdrawal was related to safety or effectiveness.
- Believes the discontinuation was based solely on commercial reasons.",
