File Name,Date of Response,Date Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,Status of Review,Review Comments
FDA-2014-P-0263-0022_Petition_Denial_Letter_from_FDA_CFSAN_to_Ferrero_U.pdf,3/14/2018,,Center for Food Safety and Applied Nutrition (CFSAN),Denied,"- 21 C.F.R. § 10.30(e)(3)
- 21 C.F.R. § 101.12(b), Table 2
- 58 FR 2229 (January 6, 1993)
- 79 FR 11990 (March 3, 2014)
- 81 FR 34000 (May 27, 2016)
- 81 FR 76323 (November 2, 2016)
- 82 FR 1344 (January 5, 2017)
- 83 FR 9000 (March 2, 2018)","- The FDA concluded the data provided was not sufficient to determine a new Reference Amount Customarily Consumed (RACC) of 1 tablespoon for Nutella®.
- Sample sizes from NHANES data (2003–2014) were deemed inadequate to produce reliable median consumption estimates under FDA’s validated methodology.
- Supplemental comment data lacked necessary analysis of variability and margin of error.
- FDA evaluation found Nutella® and similar flavored nut butter spreads are generally grouped with “nuts and seed butters, pastes, or creams” with an existing RACC of 2 tbsp.
- Final guidance issued in 2018 confirmed Nutella® as a “flavored nut butter spread” under the 2 tbsp RACC category. ",FALSE,
FDA-2014-P-0283-0003_Citizen_Petition_Denial_Response_from_FDA_CDRH_to_.pdf,5/16/2014,,"Center for Devices and Radiological Health (CDRH)
",Denied,"- 21 CFR 860.123(a)(4) – Pertaining to the classification process for medical devices
- 79 FR 16260 – FDA’s March 25, 2014 proposed rule regarding device classification procedures","- FDA removed the third column of Form FDA 3429 in 2012 to improve clarity and eliminate extraneous, opinion-based information that could confuse readers.
- FDA concluded that the removed content described only one of many possible approaches to classification and was not essential for regulatory decisions.
- The agency emphasized that classification decisions are based on valid scientific evidence, risks, and appropriate regulatory controls.
- FDA cited a 2014 proposed rule to eliminate the need for Form FDA 3429 altogether in classification change procedures, supporting the petition's denial.",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0284-0003_Memorandum_of_Suitability_Voluntarily_Withdrawn_Wi.pdf,6/13/2023,,Center for Drug Evaluation and Research (CDER),Withdrawn,Not applicable. ,"- Petition dated March 6, 2014, remained unresolved for over 9 years
- FDA sent certified letter on March 16, 2023, asking if petitioner was still interested
- No response was received within 30 days
- Petition deemed voluntarily withdrawn due to lack of response, consistent with GDUFA III commitments",FALSE,
FDA-2014-P-0290-0003_Citizen_Petition_Approval_Response_from_FDA_CDRH_t.pdf,5/16/2014,,"Center for Devices and Radiological Health (CDRH)
",Approved,"- 21 CFR Parts 862–892 – Medical Device Classification Regulation Panels
","- FDA agreed that including product codes in Federal Register notices about device-specific actions would improve clarity, reduce confusion, and assist in information searches.
- Product codes help accurately identify and track medical devices, improve regulatory oversight, and are used in reporting to Congress, GAO, and the public.
- However, FDA noted that product codes may change (merged, retired, etc.) and are not always established during proposed rules, so they will include codes only when deemed appropriate.
- FDA encouraged stakeholders to use the Regulation Number search tool in the Product Classification Database for the most current device classification status.",FALSE,
FDA-2014-P-0304-0042_Partial_Petition_Approval_and_Denial_from_FDA_CDER.pdf,11/20/2014,,"Center for Drug Evaluation and Research (CDER)
",Partially Approved / Partially Denied,"- Section 505(j)(2)(A)(ii) and 505(j)(8)(B)(i) of the FD&C Act
- 21 CFR 314.94(a)(9)(ii)
- 21 CFR 320.21(b), 320.24(b)
- 21 CFR 320.22(e), 320.23(b), 320.25, 320.26, 320.27
- 21 CFR 10.115","- Scientific Support for In Vitro Testing: FDA concluded that in vitro testing for cyclosporine ophthalmic emulsions (e.g., Restasis) is scientifically sound and provides a reliable means of demonstrating bioequivalence, particularly for Q1/Q2 formulations (pages 11–20).
- Flexibility Under the FD&C Act: FDA stated it has the legal authority under section 505(j)(8)(C) to accept alternative, scientifically valid bioequivalence methods (page 27).
- Comparative Clinical Endpoints Not Always Necessary: Comparative clinical endpoint studies are not the only acceptable form of evidence and may lack sensitivity and feasibility (pages 26, 33).
- No Requirement for Rulemaking: The agency rejected the argument that changes to guidance must undergo notice-and-comment rulemaking (pages 27–30).
- Dr. Kompella’s Research Not Determinative: FDA dismissed the petition’s reliance on ongoing research, noting that current data and scientific consensus sufficiently support its position (pages 23–24, 37).",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0315-0004_Response_Letter_From_FDA_CDER_to_Lachman_Consultan.pdf,8/22/2014,,"Center for Drug Evaluation and Research (CDER)
",Approved (Determination Issued),"- 21 U.S.C. § 355(j)(7) (Federal Food, Drug, and Cosmetic Act)
- 21 CFR § 314.161
- 21 CFR § 314.162
- 21 CFR § 10.30","- FDA determined that FUSILEV (levoleucovorin calcium) Injection, 175 mg/17.5 mL and 250 mg/25 mL, were not withdrawn from sale for reasons of safety or effectiveness.
- The products are listed in the Discontinued Drug Product List of the Orange Book, which includes drugs discontinued for reasons other than safety or effectiveness.
- Spectrum Pharmaceuticals never marketed the 175 mg/17.5 mL version, but the FDA considers non-marketing equivalent to withdrawal for administrative purposes—not safety or efficacy.
- No data were presented suggesting any safety or efficacy concerns; FDA reviewed internal records and postmarketing adverse event data and found no cause for concern.
",FALSE,
FDA-2014-P-0318-0003_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,7/10/2014,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- 21 U.S.C. 355(b)(2) and 355(j) (FD&C Act Sections 505(b)(2) and 505(j))
- 21 CFR 314.94(a)(3)
- 21 CFR 10.20, 10.30, and 314.93
- 21 CFR 314.101 (subsections (d), (e), and (b)(2))
- 21 CFR 314.53(e)
- 21 CFR 314.101(d)(9)","- Medac submitted its NDA for Rasuvo on September 10, 2013, before FDA approved Antares’ Otrexup on October 11, 2013, so Medac was not required to reference Otrexup as the listed drug.
- FDA policy does not mandate applicants to resubmit NDAs if a pharmaceutically equivalent drug is approved after submission but before approval.
- FDA concluded that Medac appropriately referenced previously approved listed drugs in its application.
- The FDA will not impose a blanket requirement for all subcutaneous methotrexate products to reference Otrexup, as equivalence must be assessed on a case-by-case basis.
- It would be premature and inappropriate to conclude that all future methotrexate injections administered subcutaneously must reference Otrexup.",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0328-0003_Interim_Response_from_FDA_CDER_to_Hyman_Phelps_and.pdf,9/4/2014,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"21 CFR 10.30(e)(2) — The interim response was issued in accordance with FDA regulations on citizen petitions
","- The petition requested designation of K-Tab (potassium chloride extended-release tablets, USP, 20 mEq) as a Reference Listed Drug (RLD) in the Orange Book.
- FDA stated it had not yet resolved the issues due to the need to address other priorities and indicated that a full response would follow when possible.",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0328-0004_Citizens_Petition_Letter_for_Approval_from_Robert_.pdf,11/13/2014,"Date was incorrectly identified by ChatGPT, but date has been manually adjusted.","Center for Drug Evaluation and Research (CDER)
",Approved,"- Section 505(j) of the Federal Food, Drug, and Cosmetic Act (21 U.S.C. 355(j))
- 21 CFR 314.3(b)
- 1992 Final Rule on ANDA Requirements (57 FR 17950)","- K-Tab was previously not designated as an RLD and listed as ""BC-rated,"" meaning bioequivalence data had not been submitted.
- Without RLD status, K-Tab could not be referenced in an ANDA, effectively preventing generic competition.
- FDA determined that there were valid grounds to designate K-Tab as an RLD and this would permit ANDA submission under proper regulatory criteria.
- The agency acknowledged potential confusion from having multiple RLDs, but clarified therapeutic equivalence ratings would address that issue",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0367-0003_Interim_Response_Letter_from_FDA_CDER_to_Hyman_Phe.pdf,9/16/2014,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"- 21 CFR 10.30(e)(2)
- Sections 503A and 503B of the Federal Food, Drug, and Cosmetic Act","- The petition requested that the FDA exclude cantharidin from the list of bulk drug substances allowed in compounding and instead include it among drugs demonstrably difficult to compound.
- FDA indicated that the petition raises complex issues that require extensive review and analysis.
- Therefore, a final decision has not yet been made, and the response serves as an interim update in accordance with FDA procedures.",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0367-0004_Letter_from_FDA_CDER_to_Hyman___Phelps___McNamara_.pdf,6/4/2019,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- 21 U.S.C. § 353a (Section 503A of the FD&C Act)
- 21 U.S.C. § 353b (Section 503B of the FD&C Act)
- 21 U.S.C. § 355 (Section 505)
- 21 U.S.C. § 352(f)(1) (Section 502(f)(1))
- 21 U.S.C. § 351(a)(2)(B) (Section 501(a)(2)(B))
- 21 U.S.C. § 360eee-1 (Section 582)
- 21 U.S.C. § 356e (Section 506E)
- 21 CFR § 216.23(a)(2)","- The FDA denied the petition to exclude cantharidin from use as a bulk drug substance under Section 503B.
- The petition failed to demonstrate that cantharidin met the statutory criteria to be classified as presenting “demonstrable difficulties for compounding.”
- Cantharidin has been nominated for inclusion on the 503B Bulks List and identified as a drug product presenting demonstrable difficulties, but the final determination is pending further input and rulemaking.
- FDA established public dockets for continued submission of evidence and views concerning bulk substances like cantharidin.
- The denial does not constitute a final decision on whether cantharidin should or should not be included on the 503B Bulks List.",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0377-0003_Interim_Response_Letter_from_FDA_CDER_to_Hyman_Phe.pdf,9/24/2014,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"21 CFR 10.30(e)(2)
","The petition raises complex issues requiring extensive review and analysis by FDA officials. As such, the agency has not yet reached a decision and will respond once a determination is made. 

",FALSE,
FDA-2014-P-0404-0004_Response_from_FDA_CDER_Partial_Approval_and_Denial.pdf,8/29/2014,,"Center for Drug Evaluation and Research (CDER)
",Partially Approved / Partially Denied,"- Section 505(b)(1), 505(b)(2), and 505(j) of the Federal Food, Drug, and Cosmetic Act (FD&C Act) (21 U.S.C. § 355)
- 21 CFR Part 314 (New Drug Applications and Abbreviated New Drug Applications)
- Section 503(g)(1) and 503(g)(4)(H), and 563 (21 U.S.C. §§ 353(g)(1), 353(g)(4)(H), 360bbb-2)
- 21 CFR Part 3 and Part 4 (Combination Products)
- 21 CFR § 314.50, § 314.54(a), § 314.94(a)(8)(iv), § 314.108(b)(5)","- FDA agreed that in vitro and in-use studies are sufficient to support the functionality of dose counters and do not universally require clinical use studies.
- On actuator clogging, FDA does not mandate in vivo testing but expects in vitro testing per labeling instructions.
- Labeling for inhalers is evaluated case-by-case; existing label standards are typically sufficient.
- FDA declined to mandate integrated dose counters for all rescue inhalers to preserve patient therapeutic options.
- FDA is still evaluating whether 3-year exclusivity applies to ProAir HFA with a dose counter, but if so, it would block ANDA approvals until March 7, 2015
",FALSE,
FDA-2014-P-0405-0003_Interim_Response_from_FDA_CDER_to_Ken_Surprenant_R.pdf,10/3/2014,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"21 CFR 10.30(e)(2)
","The FDA has not yet resolved the issues because the petitions raise complex matters requiring extensive review and analysis by Agency officials. The response was issued in accordance with FDA regulations on citizen petitions and assures that a final decision will be made as soon as possible. 

",FALSE,
FDA-2014-P-0405-0012_Partial_Approval_Final_Response.pdf,7/29/2016,,"Center for Drug Evaluation and Research (CDER)
",Partially Approved / Partially Denied,"- 21 CFR 201.56
- 21 CFR 201.57 (especially subsections (c)(5) and (c)(6)(i))
- 21 CFR 201.80
- 21 CFR 606.122
- 21 CFR 610.61
Additionally, FDA’s ""Labeling Guidance: Warnings and Precautions, Contraindications, and Boxed Warning Sections of Labeling for Human Prescription Drug and Biological Products"" is heavily referenced.","- The FDA agreed that the existing labeling language describing toxicity in DPD-deficient patients needed clarification. Updated language was added to the Warnings and Precautions sections of both drugs to reflect the risk more clearly, including removal of the terms “rare” and “unexpected.”
- The petition to add a Contraindication was denied because not all patients with impaired DPD activity are at sufficient risk to outweigh potential therapeutic benefit.
- The FDA did not endorse prescreening or pharmacokinetic dose management because current tests for DPD deficiency lack reliability, predictive accuracy, and regulatory approval. They also noted the potential for harm in withholding treatment based on unreliable testing.
- The revised labels emphasize the need for clinical assessment to determine whether to withhold or discontinue therapy in patients exhibiting signs of severe toxicity.",FALSE,
FDA-2014-P-0407-0007_Interim_Response_from_FDA_CDER_to_Almatica_Pharma_.pdf,10/3/2014,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"21 CFR 10.30(e)(2)
","The petition raises complex issues requiring extensive review and analysis by Agency officials. Therefore, a final decision has not yet been made.

",FALSE,
FDA-2014-P-0407-0008_Citizen_Petition_Denial_Response_Letter_from_FDA_C.pdf,11/25/2015,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- FD&C Act:
• Section 505(j) [21 U.S.C. § 355(j)]
• Sections 505(j)(2)(A), (j)(2)(C), (j)(4)
• Sections 505(j)(8)(B)(i), 505(j)(8)(C)

- FDA Regulations:
• 21 CFR § 314.94(a)
• 21 CFR § 314.127(a)(6)(i)
• 21 CFR § 320.1(e)
• 21 CFR § 320.23(b)
• 21 CFR § 320.24(b), including (b)(6)

- FDA Guidances:
• Bioavailability and Bioequivalence for Orally Administered Drug Products (Draft)
• Bioequivalence Studies with Pharmacokinetic Endpoints for Drugs Submitted Under an ANDA (Draft)
• Statistical Approaches to Establishing Bioequivalence","- FDA determined that existing PK metrics (AUC, Cmax, Tmax) are sufficient to detect differences between Naprelan and proposed generics.
- Petitioner's simulations reviewed and additional FDA analysis showed Tmax detects same PK differences as partial AUCs.
- Naprelan’s clinical effect is not proven to be timing-sensitive like Ambien CR or Concerta.
- Therefore, no added value from requiring partial AUCs.",FALSE,
FDA-2014-P-0417-0003_Citizen_Petition_Denial_Response_Letter_from_FDA_C.pdf,9/5/2014,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- 21 U.S.C. § 355(q) (FD&C Act section 505(q))
- 21 CFR § 314.3(b)
- 21 CFR § 314.94(a)(3), (a)(9)(ii), (a)(9)(iii)
- 21 CFR § 314.127(a)(8)(ii)(B)
- 21 CFR § 320.1(e)
- Section 505(j)(8)(B)(i), (C) of the FD&C Act
- Executive Order 13588 ","- The Sun product was selected as the reference standard due to the unavailability of Doxil during a shortage.
- FDA had the authority and discretion under existing regulations to select the Sun product, especially in light of public health need and market conditions.
- FDA determined that bioequivalence requirements—including in vivo and in vitro testing with stringent parameters—were sufficient to ensure safety and efficacy.
- FDA rejected the concept of “bio-drift” and the need for statistically enhanced bioequivalence requirements, asserting that existing standards are robust and scientifically valid.
- Petition lacked substantive evidence that current bioequivalence guidance or the reference standard selection process was flawed",FALSE,
FDA-2014-P-0445-0003_Citizen_Petition_Interim_Response_from_FDA_CDRH_to.pdf,5/30/2014,,"Center for Devices and Radiological Health (CDRH)
",Interim Response,"21 CFR 10.30(e)(2)
","The petition raises issues that require further review and analysis by agency officials. Therefore, a final decision has not yet been made. The interim response is issued in accordance with FDA regulations on citizen petitions. 
",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0445-0004_Letter_from_CDRH_to_Robert_Lytle_Redacted.pdf,11/15/2016,"Date was incorrectly identified by ChatGPT, but date has been manually adjusted.",Center for Devices and Radiological Health (CDRH),Denied,"- Federal Food, Drug, and Cosmetic Act (FD&C Act), including:
- Section 201(h), 21 U.S.C. § 321(h)
- Sections 501, 502, 510, 513, 515, 516, 519, 520, 704 (e.g., 21 U.S.C. §§ 351, 352, 360, 360c, 360e, 360f, 360i, 360j, 374)
- 21 C.F.R. Parts 807, 814, 820, 1000-1050
- 21 C.F.R. § 807.87","- FDA denied all four requests made in the citizen petition.
- FDA reaffirmed that private membership associations (PMAs) are not exempt from FDA oversight and cannot be used to evade regulations under the FD&C Act.
- FDA referenced repeated legal proceedings and court rulings (including permanent injunctions and appellate decisions) that concluded the petitioner and their PMAs must comply with FDA laws.
- FDA's actions, including record collection during inspections, were supported by lawful inspection authority under section 704 of the FD&C Act.
- FDA emphasized that petition requests asking the agency to cease enforcement or direct personnel are outside the proper scope of a citizen petition",FALSE,
FDA-2014-P-0446-0003_Final_Response_Letter_from_FDA_to_Pisani___Roll_LL.pdf,10/2/2017,,Center for Food Safety and Applied Nutrition (CFSAN),Denied,"- 21 CFR 101.3 (Statement of identity)
- 21 CFR 102.5 (Common or usual name for nonstandardized foods)
- 21 CFR 161 (Common or usual names for some seafood species)
- 21 CFR Part 123 (HACCP requirements for fish and fishery products)
- FD&C Act Sections 403(a), 403(g), 403(i)(1) (21 U.S.C. 343)","- The proposed use of the term “sardine” for Engraulis ringens (E. ringens) may mislead U.S. consumers due to distinguishable physical and taxonomical differences between E. ringens and species traditionally identified as sardines.
- The FDA has not established a common or usual name for E. ringens by regulation or law.
- Existing FDA guidance classifies E. ringens within the Engraulidae family as “anchovy,” not “sardine.”
- The proposed market names do not comply with the FDA’s Seafood List Guidance principles, particularly Principles 1–3.
- Allowing the term “sardines” could lead to consumer confusion and undermine efforts to ensure accurate seafood labeling.
- Codex standards cited by the petitioner do not override U.S. laws and labeling practices.
- The FDA concluded that allowing the requested terms is not necessary to fulfill U.S. obligations under the TBT (Technical Barriers to Trade) agreement.",FALSE,
FDA-2014-P-0496-0004_Citizen_Petition_Interim_Response_from_FDA_CDER_to.pdf,10/6/2014,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"21 CFR 10.30(e)(2)
","The petition raises significant issues that require extensive review and analysis by FDA officials. The interim response is issued in accordance with FDA regulations.

",FALSE,
FDA-2014-P-0496-0005_Petition_Denial_Letter_from_FDA_CDER_to_Pharmacist.pdf,3/31/2015,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- Section 503(b)(1) of the Federal Food, Drug, and Cosmetic Act (FD&C Act) (21 U.S.C. 353(b)(1))
- Section 503(b)(3) of the FD&C Act
- 21 CFR 310.200
- Combat Methamphetamine Epidemic Act of 2005 (CMEA) (21 U.S.C. 830)","- The FDA has not established a regulatory framework for a ""Behind the Counter"" (BTC) category as proposed in the petition.
- The petitioner did not provide adequate evidence (e.g., studies or scientific data) to show that Lipitor, Narcan, Chantix, and Viagra are safe and effective for use without the supervision of a licensed healthcare practitioner.
- FDA cannot conclude that ""the prescription-dispensing requirements are not necessary for the protection of the public health"" or that the drugs are ""safe and effective for use in self-medication"" under 21 CFR 310.200.
- Comparisons to drugs like pseudoephedrine are not appropriate because those were placed behind the counter due to specific congressional mandates under CMEA.",FALSE,
FDA-2014-P-0497-0003_Interim_Response_from_FDA_CDER_to_Ken_Surprenant_R.pdf,10/3/2014,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"21 CFR 10.30(e)(2)
","The petition raises complex issues requiring extensive review and analysis by FDA officials. Therefore, a final decision has not yet been reached. The interim response complies with FDA regulations on citizen petitions. 

",FALSE,
FDA-2014-P-0497-0009_Partial_Approval_Final_Response.pdf,7/29/2016,,"Center for Drug Evaluation and Research (CDER)
",Partially Approved / Partially Denied,"- 21 CFR 201.56
- 21 CFR 201.57
- 21 CFR 201.80
- 21 CFR 606.122
- 21 CFR 610.61","- Clarification of Toxicity Risks: The FDA acknowledged the petitioner’s concerns and updated the prescribing information for both Fluorouracil and Xeloda to more clearly describe the risk of severe toxic reactions in patients with DPD (dihydropyrimidine dehydrogenase) deficiency. The updates replaced vague or potentially misleading terms (like ""rare"" and ""unexpected"") with more specific and accurate descriptions.

- Contraindication Rejected: The FDA did not add a contraindication for patients with DPD deficiency, stating that the risk-benefit ratio does not justify an absolute contraindication. Some patients may still benefit from treatment, and contraindication based on unreliable DPD screening could inappropriately withhold treatment.

- Screening Recommendation Rejected: The FDA declined to include recommendations for prescreening for DPD deficiency or for dose management based on such screening, due to current limitations in the sensitivity, specificity, and interpretability of available tests. There is also insufficient clinical data to support routine prescreening or to recommend specific dosage adjustments based on screening results.

- Updated Labeling: The agency included language in the prescribing information to inform healthcare professionals about potential risks and to guide decisions to withhold or discontinue therapy based on observed toxicity. They noted that no safe dose has been established for patients with complete DPD deficiency and that there is insufficient data for dosing in patients with partial deficiency.",FALSE,
FDA-2014-P-0511-0003_Interim_Response_from_FDA_CDER_to_Agila_Specialtie.pdf,10/2/2014,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"21 CFR 10.30(e)(2)
","FDA stated it has not yet resolved the issues raised in the petition due to the need to address other agency priorities. The response was issued per 21 CFR 10.30(e)(2), which allows for an interim response when a final decision is pending due to resource constraints. 


",FALSE,
FDA-2014-P-0511-0004_Gablofen_Baclofen_Petition_Close_out_Memorandum_fr.pdf,4/18/2016,,"Center for Drug Evaluation and Research (CDER)
",Partially Approved / Partially Denied,"- 21 U.S.C. § 355(j) (Section 505(j) of the FD&C Act)
- 21 CFR 314.3(b)
- 21 CFR 314.93
- 21 U.S.C. § 355c (PREA - Pediatric Research Equity Act)
- 57 FR 17950 (April 28, 1992), Final Rule for ANDAs","- Gablofen 1,000 mcg/mL was not designated as an RLD and was the only approved product of its strength, shielding it from competition; thus, designation as RLD is warranted.
- The other strengths (50, 500, 2000 mcg/mL) already have designated RLDs (Medtronic’s Lioresal) and are AP-rated, so additional RLD designation is unnecessary.
- PREA waiver was denied because PREA was not triggered—the proposed product did not have a new active ingredient, indication, dosage form, dosing regimen, or route of administration.",FALSE,
FDA-2014-P-0513-0003_Citizen_Petition_Approval_Response_Letter_from_FDA.pdf,6/30/2015,,"Center for Drug Evaluation and Research (CDER)
",Approved,"- Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act (FDCA)
- 21 CFR 314.93
- 21 CFR 314.93(e)(1)
- 21 CFR 314.94(a)(3)(iii)
- Section 505(j)(2)(A) and (B)
- Section 505(j)(2)(A)(iv) of the Act","- The requested change in drug strength (from 4–33.1 mCi/mL to 4–100 mCi/mL) is permissible under § 505(j)(2)(C).
- FDA determined that this change does not pose safety or efficacy concerns.
- The use, dosage form, and administration route remain the same.
- The proposed change aligns with the listed drug’s labeling.
- No significant labeling changes or new investigations are needed.
- If bioequivalence is demonstrated, the drug is expected to have the same therapeutic effect as the reference product.",FALSE,
FDA-2014-P-0549-0004_Response_Letter_From_FDA_CDER_to_Emcure_Pharmaceut.pdf,8/25/2014,,"Center for Drug Evaluation and Research (CDER)
",Approved (Determination Issued),"- 21 U.S.C. § 355(j)(7) (Federal Food, Drug, and Cosmetic Act)
- 21 CFR § 314.161
- 21 CFR § 314.162
- 21 CFR § 10.30","- FDA reviewed its records and concluded that SULAR (nisoldipine) extended-release tablets (25.5 mg and other strengths) were not withdrawn for reasons of safety or effectiveness.
- No data from the petitioner or FDA records indicated safety or effectiveness concerns.
- The product remains listed in the Discontinued Drug Product List section of the Orange Book, which is designated for products discontinued for reasons other than safety or effectiveness.",FALSE,
FDA-2014-P-0585-0003_Interim_Response_Letter_from_FDA_CFSAN_to_Capstone.pdf,12/22/2014,,Center for Food Safety and Applied Nutrition (CFSAN),Interim Response,"21 C.F.R. § 101.14; 21 C.F.R. § 10.30(e)(2)
","- The FDA cited competing agency priorities and the limited availability of resources as reasons for not being able to complete the petition review within the 180-day timeframe.
- The agency expressed its intent to complete the review and respond in the near future.",FALSE,
FDA-2014-P-0585-0004_Citizen_Petition_Denial_Response_from_FDA_CFSAN_to.pdf,9/25/2015,Stamp reflects September 25 while another reflects October 5.,Center for Food Safety and Applied Nutrition (CFSAN),Denied,"- 21 CFR § 101.14
- 21 CFR § 10.30(k)
- 21 CFR § 10.115(b)(1) and (b)(3)
- 21 CFR § 10.25(a)
- 21 CFR § 10.3(a)
- 21 U.S.C. § 321(k) and (m)","- FDA cannot issue a ""determination"" that a specific product is adulterated or misbranded, as requested.
- The request to initiate enforcement action is outside the scope of the citizen petition process under 21 CFR § 10.30(k).
- The request for ""guidance"" does not meet the FDA's regulatory definition of guidance documents under 21 CFR § 10.115(b).
- The petition essentially sought a public opinion and enforcement action, which does not qualify as an ""administrative action"" under 21 CFR § 10.3(a).
- Therefore, the petition was denied on procedural grounds.
- FDA clarified that such concerns may still be used as a consumer complaint and may inform potential future enforcement actions, but the agency does not comment publicly on specific product labels outside of court proceedings or direct communication with the responsible firm
",FALSE,
FDA-2014-P-0594-0010_Interim_Response_Letter_from_FDA_CDER_to_Hyman_Phe.pdf,10/31/2014,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"21 CFR 10.30(e)(2)
","- The petition raised complex issues requiring extensive review and analysis.
- FDA has not yet resolved the issues raised in the petition, which requested the FDA to determine that Ranbaxy is not eligible for first-to-file status and to approve all tentatively approved ANDAs.",FALSE,
FDA-2014-P-0603-0003_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,10/3/2014,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- Section 505 of the FD&C Act (21 U.S.C. 355)
- 21 CFR 314.50(d)(5)(viii), 314.94(a)(4)-(9), 314.127(a)(6)(i), 314.127(a)(8)(i), 314.127(a)(8)(ii)(A)
- ICH Q3C Guideline ""Impurities: Guidelines for Residual Solvents""
- Proposition 65 (California Safe Drinking Water and Toxic Enforcement Act of 1986)","- Scope of ICH Q3C: The FDA emphasized that the ICH Q3C guidance applies only to residual solvents—not those deliberately used as excipients. Therefore, applying ICH Q3C limits to NMP as an excipient in intranasal drugs is inappropriate.
- Toxicological Review: While reproductive and developmental toxicity of NMP has been observed in animal studies, the toxic effects occurred at doses much higher than the maximum expected dose in humans (e.g., >100 mg/kg vs ~1.5 mg/kg in the referenced intranasal product).
- Lack of Risk Justification: The petition did not provide sufficient evidence to conclude that NMP use as an excipient in intranasal drug products poses unacceptable risk to pediatric populations or women of childbearing potential.
- Case-by-case Review: FDA maintains that NDAs and ANDAs are reviewed on a case-by-case basis to assess whether safety and efficacy standards are met.
- California EPA Proposition 65: While California sets lower exposure limits, inclusion on the Proposition 65 list does not automatically disqualify a compound for pharmaceutical use under FDA jurisdiction
",FALSE,
FDA-2014-P-0628-0004_Interim_Response_From_CFSAN_to_Shauce_Co_.pdf,10/28/2014,,Center for Food Safety and Applied Nutrition (CFSAN),Interim Response,"- 21 CFR 101.65
- 21 CFR 10.30(e)(2)
","The FDA stated it could not reach a decision within the first 180 days of receiving the petition due to other agency priorities and limited resources. It committed to completing its review and considering any regulatory amendments during future rulemaking on serving sizes.

",FALSE,
FDA-2014-P-0637-0005_Response_Letter_From_FDA_CDER_to_Lachman_Consultan.pdf,8/22/2014,,"Center for Drug Evaluation and Research (CDER)
",Approved (Determination Issued),"- 21 U.S.C. § 355(j)(7) (FFDCA, Section 505(j)(7))
- 21 CFR § 314.161
- 21 CFR § 314.162
- 21 CFR § 10.30
- Pub. L. 98-417 (1984 Amendments)","FUSILEV was not withdrawn for safety or efficacy reasons and remains listed in the Orange Book.
- FDA reviewed internal records and literature.
- No evidence of safety or efficacy concerns found.
- Petitioner submitted no contrary data.
- FDA policy treats never-marketed drugs as withdrawn from sale, but not necessarily for safety/efficacy reasons.
- Thus, ANDAs for the product may proceed. ",FALSE,
FDA-2014-P-0647-0005_Memorandum_of_suitability_voluntarily_withdrawn_wi.pdf,6/12/2023,,"Center for Drug Evaluation and Research (CDER)
",Withdrawn,Not applicable. ,"- Petition submitted by Kamat Pharmatech, LLC on May 16, 2014 remained unresolved for over 9 years
- FDA sent a certified letter on March 17, 2023 requesting confirmation of continued interest
- No response received within 30 days
- Petition considered voluntarily withdrawn as per GDUFA III procedures to manage unresolved pre-FY2023 petitions",FALSE,
