File Name,Date of Response,Date Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,Review Comments
FDA-2010-P-0617-0016_Citizen_Petition_Closure_Memo_from_CDRH_dated_4_10,"April 10, 2018",,"Center for Devices and Radiological Health (CDRH)
Signed by: Jeffrey Shuren, MD, JD – Director","Other – Administrative Closure
The petition was closed due to the death of the petitioner, Dr. Richard Edlich, and the absence of valid contact information for the co-signor. FDA did not render a decision on the petition’s merits","21 CFR § 10.30(e)(3) – Requirement to notify the petitioner of the Commissioner’s decision
- 21 CFR § 10.30(b)(3) – Requirements for providing contact information with petition submissions","The primary petitioner, Dr. Edlich, died on December 25, 2013.
- Although co-signed by Samantha Rhoads (his research assistant), she did not provide mailing address or phone number as required under 21 CFR § 10.30(b)(3).
- FDA determined Dr. Edlich was the intended sole petitioner, and his death precluded further action.
- The petition docket was closed without prejudice, allowing the co-signor to re-submit if she chooses, in accordance with regulatory requirements",
FDA-2010-P-0617-0015_Interim_Response_Letter,"Stamped June 2, 2011",,"Center for Devices and Radiological Health (CDRH)
Signed by: Nancy K. Stade, Deputy Director for Policy","Interim Response – No final decision rendered
The FDA had not yet reached a decision due to the need for further review and analysis.",21 CFR § 10.30(c)(2) – Interim responses to citizen petitions,"The petition raised multiple requests including banning the sale of liquid mercury, revising classification of dental materials, and banning mercury amalgam due to health concerns.
- An advisory committee (Dental Products Panel) met in December 2010 to evaluate scientific evidence related to dental amalgam.
- FDA stated that, based on the complexity of the issues and recommendations made, further action was under consideration.
- Because the analysis was ongoing, the agency issued this interim response as per regulatory requirement.",
FDA-2010-P-0614-0072_FDA_CDER_to_Sidley_Austin_LLP___Petition_Partial_A,"Stamped and Read May 25, 2011",,"Center for Drug Evaluation and Research (CDER)
Signed by: Janet Woodcock, M.D., Director","Partially Approved / Partially Denied
The FDA granted some of ViroPharma’s requests regarding review of ANDAs referencing Vancocin® (vancomycin HCl) Capsules, but denied others","21 CFR § 10.30 – Citizen petition procedure
- 21 CFR Part 320 – Bioequivalence requirements
- 21 CFR § 314.94 – Content and format of ANDAs
- 21 CFR § 314.127(a) – Grounds for denying an ANDA
- 21 U.S.C. § 355(j) – Abbreviated new drug applications (ANDA)
- FDCA Sections 505(b)(2) and 505(j)
- Public Law 108-173 (MMA of 2003)","Granted Requests: FDA agreed to apply enhanced bioequivalence requirements (including in vitro dissolution, characterization, and physicochemical comparisons) to ANDAs referencing Vancocin® due to its locally acting nature and complex formulation.
- Denied Requests: FDA declined to require in vivo clinical trials, stating they were not necessary given the available scientific evidence.
- FDA also denied requests to withhold approval of ANDAs pending further rulemaking or advisory committee input, asserting that its current review and approval procedures for generics are legally and scientifically appropriate.
- The agency reaffirmed that its bioequivalence guidance already reflects appropriate safeguards and that new legislative requirements (e.g., for MMA-related exclusivity) do not support delaying ANDA review or approval.",
FDA-2010-P-0613-0004_Citizen_Petition_Denial_Response_from_FDA_CDER_to_,"Stamped February 10, 2014",,"Center for Drug Evaluation and Research (CDER)
Signed by: Janet Woodcock, M.D., Director",Denied,"21 U.S.C. § 355(j) – Section 505(j) of the FD&C Act (Hatch-Waxman Amendments)
- 21 CFR Part 320, specifically 21 CFR 320.24
- FD&C Act section 505(j)(2)(A)(iv)
- FD&C Act section 505(j)(2)(A)
- FD&C Act section 505(j)(4)
- Legal references: Schering Corp. v. FDA, 51 F.3d 390 (3d Cir. 1995); Fisons Corp. v. Shalala, 860 F. Supp. 859 (D.D.C. 1994)","Tmax is a discrete variable and not suited for the same statistical bioequivalence evaluation as AUC and Cmax.
- FDA policy does not require statistical criteria for Tmax due to its high variability and lack of clinical significance shown in this case.
- DHT is not required for bioequivalence testing as testosterone is the main active compound; DHT is a metabolite and contributes minimally to efficacy/safety.
- Labeling of Androderm does not specify consistent timing for testosterone measurement, creating natural variability.
- Bioequivalence is assessed holistically in the ANDA process, including clinical pharmacokinetic profile reviews.
- Cited guidance recommends using the parent drug for bioequivalence, not metabolites like DHT.",
FDA-2010-P-0610-0007_Citizen_Petition_Closure_Memo_from_CDRH_dated_4_10,"April 10, 2018",,Center for Devices and Radiological Health (CDRH),Closed,21 CFR § 10.30(e)(3) – FDA regulation requiring that “the petitioner is to be notified of the Commissioner's decision”,"The petitioner, Dr. Richard Edlich, passed away on December 25, 2013.
- As a result, the FDA determined there was no viable recipient for the decision notification, and therefore, the petition was closed administratively rather than acted upon substantively.",
FDA-2010-P-0610-0006_Interim_Response_Letter,"Stamped June 2, 2011",,Center for Devices and Radiological Health (CDRH),Interim Response,21 CFR § 10.30(e)(2) – FDA regulation requiring interim response if a final decision has not been made within 180 days after receipt of the petition.,"The petition raised complex issues including a request to ban mercury amalgam and revise classification of dental materials.
- The Dental Products Panel advisory committee met in December 2010 to assess relevant scientific evidence.
- Due to the complexity and recommendations, further review is ongoing, and FDA has not yet reached a decision.",
FDA-2010-P-0604-0005_FDA_CDER_to_Lachman_Consultant_Services_Inc_Respon,"Stamped May 18 and May 21, 2012",,Center for Drug Evaluation and Research (CDER),Granted (Determination Made),"21 CFR 314.161 – Procedure to determine whether a drug was withdrawn from sale for safety or effectiveness reasons.
- 21 CFR 314.162 – Grounds for removal from the Orange Book.
- 21 U.S.C. 355(j)(7) – Section 505(j)(7) of the FD&C Act.
- 21 CFR 10.30 – Citizen petition process.","The drug was withdrawn from sale by the NDA holder (Parke-Davis) in 1993, and the NDA was withdrawn in 1998 (63 FR 51359).
- FDA found no evidence or data suggesting the withdrawal was due to safety or effectiveness concerns.
- FDA conducted an independent literature and adverse event review, confirming no postmarketing safety concerns.
- Therefore, the product remains eligible for ANDA submission, and its listing in the Orange Book is maintained.",
FDA-2010-P-0604-0004_Determinations_That_PITRESSIN_TANNATE_IN_OIL_Vasop,"Stamped May 18, 2012",,Center for Drug Evaluation and Research (CDER),Granted (Determination Made),"21 CFR 10.30 – Citizen petition process
- 21 CFR 314.161 – Process for determining if a drug was withdrawn for safety or effectiveness reasons
- 21 CFR 314.162 – Removal of drugs from the Orange Book
- 21 U.S.C. § 355(j)(7) – Section 505(j)(7) of the FD&C Act","FDA reviewed its internal records and found no data suggesting the withdrawal was due to safety or effectiveness.
- An independent review of postmarketing literature and data also revealed no safety concerns.
- The product will remain in the Discontinued Drug Product List of the Orange Book, allowing for ANDA submissions provided other requirements are met.",
FDA-2010-P-0593-0004_Determination_a_Product_Was_Not_Withdrawn_From_Sal,"April 11, 2011",,	Center for Drug Evaluation and Research (CDER),Granted (Determination Made),"21 CFR 314.161 – Procedure for withdrawal review

21 CFR 314.162 – Orange Book drug list removal

21 U.S.C. § 355(j)(7) – Section 505(j)(7) of the Federal Food, Drug, and Cosmetic Act ","The petitioner (Watson Laboratories) submitted no data suggesting safety or effectiveness issues.

FDA independently reviewed its records, literature, and postmarketing data and found no evidence of withdrawal for safety or efficacy reasons.

FDA therefore concluded that the product was discontinued for reasons other than safety or effectiveness and ANDAs may be approved if all other conditions are met.",
FDA-2010-P-0592-0017_Interim_Response_Letter,"Stamped June 2, 2011",,"Center for Devices and Radiological Health (CDRH) – Interim response signed by Nancy K. Stade, Deputy Director for Policy.
Office of the Commissioner – Final response signed by Leslie Kux, Acting Assistant Commissioner for Policy.",Denied – The FDA denied the petition to ban the sale of elemental mercury to consumers.,"21 CFR § 872.3070 – Device classification for elemental mercury.
- 21 CFR § 801.5, § 801.109, § 801.110, §§ 801.109-.127 – Labeling and prescription device exemptions.
- Section 201(h) of the Federal Food, Drug, and Cosmetic Act – Definition of a medical device.
- Section 502(f)(1) of the Act (21 U.S.C. § 353(b)(1)) – Labeling requirements.
- Section 301(a) of the Act (21 U.S.C. § 331(a)) – Prohibition of interstate commerce of misbranded devices.","Elemental mercury used in dental amalgam is regulated as a Class II medical device, requiring prescription-only distribution.
- Such mercury is not sold directly to consumers under FDA regulations.
- Because it is already restricted to prescription use, the FDA concluded that a ban was unnecessary.
- Any sales not meeting prescription requirements would constitute misbranding and be prohibited from interstate commerce.",
FDA-2010-P-0582-0006_FDA_CDER_to_Lachman_Consultant_Services__Inc____Pe,"Stamped March 29, 2012",,"Center for Drug Evaluation and Research (CDER) – Signed by Keith O. Webber, Ph.D., Deputy Director, Office of Pharmaceutical Science","Approved – The FDA approved the petition to allow submission of an Abbreviated New Drug Application (ANDA) for Mercaptopurine Tablets, 25 mg","Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act
- Section 505(j)(2)(C)(i)
- Section 505(j)(2)(A) and (B)
- Section 505(j)(2)(A)(iv)","The proposed strength (25 mg) differs from the listed drug (50 mg) but poses no questions of safety or effectiveness.
- Uses, dose, and route of administration are identical to the listed drug (Purinethol®).
- No additional investigations were deemed necessary.
- If bioavailability requirements are met, the proposed product can be expected to have the same therapeutic effect.
- Approval of this petition allows ANDA submission but does not guarantee ANDA approval, which depends on subsequent review.",
FDA-2010-P-0581-0005_FDA_CDER_to_Lachman_Consulting_Services__Inc____Pe,"Stamped March 20, 2012",,"Center for Drug Evaluation and Research (CDER) – Signed by Janet Woodcock, M.D., Director",Approved – The FDA granted the petition to designate Teva’s Oxaliplatin (NDA 022160) as an additional Reference Listed Drug (RLD),"Section 505(j) of the FD&C Act (21 U.S.C. § 355)
- Sections 505(j)(2)(A), (j)(2)(C), and (j)(4)
- 21 CFR § 314.3
- 21 CFR § 314.94(a)(9)(iii)","The petition requested RLD designation for Teva’s Oxaliplatin to allow ANDA applicants to use it directly instead of Eloxatin.
- Though Teva’s product is AP-rated to Eloxatin, it contains lactose, unlike Eloxatin, making it qualitatively different.
- Because ANDAs must be qualitatively and quantitatively the same as the RLD, generic applicants could not reference Teva’s formulation if only Eloxatin was designated.
- The FDA agreed it is in the public interest to designate Teva’s Oxaliplatin as an additional RLD to promote fair competition and accessibility.",
FDA-2010-P-0581-0004_Interim_Response_to_Lachman_Consultant_Services__I,"Stamped May 4, 2011 and May 6, 2011",,"Center for Drug Evaluation and Research (CDER) – Signed by Jane A. Axelrad, Associate Director for Policy",Other (Interim Response) – The FDA had not yet resolved the issues raised in the petition at the time of this letter.,21 CFR § 10.30(e)(2) – Regulation governing FDA's process for issuing interim responses to citizen petitions.,"The FDA had not reached a decision due to the need to address other Agency priorities.
- The letter assured that a full response would follow once resources allowed.",
FDA-2010-P-0580-0006_Citizen_Petition_Response_from_FDA_CDRH_to_Houssie,"Stamped September 20, 2011",,"Center for Devices and Radiological Health (CDRH) – While the signature is from Leslie Kux, Acting Assistant Commissioner, the content pertains to PMA approval, placing it under CDRH's purview",Denied – The FDA denied the petition to amend the original PMA approval letter with additional limiting language regarding the device scope,"21 U.S.C. § 360e(d)(6)(A) – Requirement for PMA supplement for changes affecting safety or effectiveness
- 21 U.S.C. § 360e(d)(6)(B)(i) – Criteria for PMA supplement approval
- 21 C.F.R. § 814.39(a) – PMA supplement regulations","The Paradigm Real Time System (Pump + Sensor) was approved as a whole through PMA supplement P980022/S013.
- Petitioners requested language to narrow the scope of approval.
- FDA found that the existing approval letter already sufficiently covers the scope and provides a reasonable assurance of safety and effectiveness for the entire system.
- Therefore, no amendment was necessary and the petition was denied.",
FDA-2010-P-0580-0004_FDA_Center_for_Devices_and_Radiological_Health___I,"April 14, 2011",,"Center for Devices and Radiological Health (CDRH) – Signed by Nancy Stade, Deputy Director for Policy",Other (Interim Response) – The FDA had not yet resolved the issues raised in the petition and indicated that further review and analysis were needed.,21 CFR § 10.30(e)(2) – Governing interim responses to citizen petitions.,"The petition requested that FDA clarify the PMA approval letter dated April 7, 2006, for PMA supplement P980022/S013 to include language that expresses limitations.
- FDA had not made a decision because the petition raised complex issues requiring further review and analysis by agency officials.
- The interim response was issued due to delays stemming from other agency priorities.",
FDA-2010-P-0579-0007_FDA_2010_P_0579_let,"Stamped June 22 and June 27, 2011",,"Center for Drug Evaluation and Research (CDER) – Signed by Molly M. Flannery, Office of Regulatory Policy","Approved – The FDA determined that Nuvigil (armodafinil) Tablets, 100 mg and 200 mg, were not withdrawn for safety or effectiveness reasons, thereby granting the petition.","21 U.S.C. § 355(j)(7) – Listing requirement for approved drugs.
- 21 CFR § 314.161 – Determination that a drug was not withdrawn for safety or effectiveness.
- 21 CFR § 314.162 – Removal of listed drugs.","FDA reviewed its internal records, literature, and postmarketing data.
- Found no evidence that Nuvigil 100 mg and 200 mg tablets were withdrawn for safety or effectiveness.
- As a result, the drug remains listed in the ""Discontinued Drug Product List"" section of the Orange Book, allowing ANDA submissions.",
FDA-2010-P-0579-0006_Determination_that_NUVIGIL___Armodafinil__Tablets_,"July 22, 2011",,"Center for Drug Evaluation and Research (CDER) – Although not explicitly stated in the heading, the document references CDER officials and addresses drug product listing issues.","Approved – FDA determined that NUVIGIL (armodafinil) 100 mg and 200 mg tablets were not withdrawn for reasons of safety or effectiveness, allowing ANDA approvals to proceed.","21 CFR § 314.161 – Criteria for determining whether a drug was withdrawn for safety or effectiveness.
- 21 CFR § 314.162 – Drug removal from the Orange Book.
- 21 U.S.C. § 355(j)(7) – Drug listing requirement under the FD&C Act.","FDA reviewed internal records and postmarketing safety data, as well as literature, and found no evidence that NUVIGIL was withdrawn for safety or efficacy concerns.
- Petitioners (Actavis and Watson) provided no data to suggest otherwise.
- Therefore, the product will remain listed in the “Discontinued Drug Product List” in the Orange Book, and ANDA applications may be approved if other requirements are met.",
FDA-2010-P-0579-0005_Interim_Response_to_Actavis__Inc____Letter,"Stamped May 4 and May 6, 2011",,"Center for Drug Evaluation and Research (CDER) – Signed by Jane A. Axelrad, Associate Director for Policy",Other (Interim Response) – FDA had not yet resolved the issues raised in the petition due to other agency priorities.,21 CFR § 10.30(e)(2) – Regulation requiring interim responses to citizen petitions if a decision cannot be reached promptly.,"The petition requested a determination that Nuvigil (armodafinil) 100 mg and 200 mg tablets were not voluntarily withdrawn for safety or efficacy reasons.
- FDA stated that it had not reached a decision because the petition required additional review and other priorities were pending.
- The response confirms FDA’s intent to issue a decision as soon as resources allow.",
FDA-2010-P-0578-0015_Interim_Response_to_Dwayne_A__Ratleff___Letter,"Stamped May 4, 2011 and May 6, 2011",,"Center for Food Safety and Applied Nutrition (CFSAN) – Signed by Barbara O. Schneeman, Ph.D., Director, Office of Nutrition, Labeling, and Dietary Supplements",Other (Interim Response) – FDA had not yet reached a decision on the petition due to competing priorities and limited resources.,21 CFR § 10.30(e)(2) – Governs the issuance of interim responses when decisions cannot be reached within 180 days.,"The petition requested a new regulation requiring food manufacturers to display “Ingredient Information Has Changed” on labels when a major allergen is newly added to the formulation.
- FDA acknowledged the request but explained that a final decision could not be made within the required timeframe due to other agency priorities and resource constraints.
- FDA confirmed the petition would remain under review and be considered in the context of broader program priorities.",
FDA-2010-P-0577-0006_FDA_CDER_to_Watson_Laboratories,"Stamped July 22 and July 27, 2011 ",,Center for Drug Evaluation and Research (CDER),"Denied – FDA determined that NUVIGIL (armodafinil) Tablets, 100 mg and 200 mg, were not withdrawn from sale for reasons of safety or effectiveness. Thus, the drug remains listed in the “Discontinued Drug Product List” and ANDAs may proceed if compliant","21 CFR 314.161
- 21 CFR 314.162
- 21 CFR 10.30
- Section 505(j)(7) of the Federal Food, Drug, and Cosmetic Act (21 U.S.C. 355(j)(7))","FDA reviewed its internal records and found no evidence that NUVIGIL (armodafinil) Tablets were withdrawn for reasons of safety or effectiveness.
- The Agency independently evaluated literature and postmarketing data and identified no adverse findings.
- The product was determined to be withdrawn for reasons other than safety or effectiveness, hence it stays on the “Discontinued Drug Product List.”
- ANDAs may be approved if other regulatory requirements are met",
FDA-2010-P-0577-0005_Determinations_that_Products_Were_Not_Withdrawn_Fr,"July 22, 2011",,"Center for Drug Evaluation and Research (CDER) – Contact listed is Molly Flannery, CDER, FDA","Approved – FDA determined that NUVIGIL (armodafinil) Tablets, 100 mg and 200 mg, were not withdrawn for reasons of safety or effectiveness.","21 CFR § 314.161 – Procedures for determining withdrawal from sale.
- 21 CFR § 314.162 – Removal of drug products for safety or effectiveness reasons.
- 21 CFR § 10.30 – Citizen petition process.
- 21 U.S.C. § 355(j)(7) – Drug listing under the FD&C Act.","FDA reviewed citizen petitions and internal records, finding no data indicating withdrawal due to safety or effectiveness.
- Independent evaluation of postmarketing data and literature found no adverse information.
- Thus, NUVIGIL remains on the “Discontinued Drug Product List”, allowing ANDA submissions if other requirements are met.",
FDA-2010-P-0577-0004_Interim_Response_to_Watson_Laboratories__Inc____Le,"Stamped May 4 and May 6, 2011",,"Center for Drug Evaluation and Research (CDER) – Signed by Jane A. Axelrad, Associate Director for Policy",Other (Interim Response) – FDA stated that it had not yet resolved the petition due to prioritization of other matters.,21 CFR § 10.30(e)(2) – Regulation requiring interim responses to citizen petitions if no decision is made within 180 days.,"The petition requested a determination on whether Nuvigil (armodafinil) 100 mg and 200 mg tablets were withdrawn for reasons of safety or effectiveness.
- FDA indicated that it could not reach a decision due to other agency priorities and resource constraints.
- The Agency affirmed it would respond as soon as feasible.",
FDA-2010-P-0574-0007_Citizen_Petition_Denial_Response_Letter_from_FDA_C,"Stamped May 6, 2015",,Center for Drug Evaluation and Research (CDER),Denied (Both the 2007 and 2010 Petitions were denied),"21 CFR 314.3
- 21 CFR 314.94(a)(7)
- 21 CFR 320.1(e)
- 21 CFR 320.22(d)
- 21 CFR 320.22(e)
- 21 CFR 320.24
- Section 505(j) and (j)(8)(B)(i) of the FD&C Act","General vs. Product-Specific Guidance: The petition relied on general FDA guidance for food-effect bioavailability studies. FDA emphasized that product-specific guidance for clozapine (due to its unique safety profile) supersedes general recommendations.

- Risks to Healthy Volunteers: FDA does not recommend administering clozapine to healthy individuals due to risks like agranulocytosis, seizures, bradycardia, and syncope.

- Use of Steady-State Studies in Patients: FDA advocates for multiple-dose, steady-state studies in schizophrenic patients, not single-dose fed/fasted studies, because these patients already take clozapine under real-world conditions. Strict fed or fasting requirements were deemed impractical and risky for this population.

- Labeling of FazaClo: FazaClo labeling indicates it can be taken without regard to meals, supporting that a fed bioequivalence study is unnecessary.

- 200-mg RLD Designation Denied: Petitioners requested that the 200 mg FazaClo ODT be designated as the Reference Listed Drug (RLD). FDA denied this because the 100 mg strength offers more dosing flexibility and supports safer and broader patient recruitment for studies. FDA maintained the 100 mg strength as the reference standard",
FDA-2010-P-0574-0006_Interim_Response_Letter_from_FDA_CDER_to_Beckloff_,"Stamped April 28 and May 2, 2011",,"Center for Drug Evaluation and Research (CDER) – Signed by Jane A. Axelrad, Associate Director for Policy",Other (Interim Response) – FDA stated it had not yet resolved the petition due to the complexity of issues raised.,21 CFR § 10.30(e)(2) – Governs the issuance of interim responses to citizen petitions,"The petition requested two actions:
 (1) Designate the 200 mg FazaClo (clozapine) ODT as the Reference Listed Drug (RLD).
 (2) Modify FDA guidance to require bioequivalence testing using the 200 mg ODT strength.
- FDA stated that the petition raised complex scientific and regulatory issues requiring further internal review and analysis.
- An interim response was issued due to the statutory requirement to respond within 180 days.",
FDA-2010-P-0570-0005_FDA_CDER_to_Nycomed__US__Inc____Petition_Denial,"Stamped April 27, 2011",,Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. § 355(j) (FD&C Act section 505(j))
- 21 CFR §§ 314.3, 314.92(a), 314.94(a), 314.105, 314.107, 314.127(a), 314.93, 314.430(b)
- 21 CFR §§ 320.1(b), 320.1(c), 320.1(e), 320.21(b)(1), 320.24(b)(1)-(4), (6)","Scientific and Regulatory Basis:

FDA found no scientific evidence or regulatory requirement mandating that bioequivalence studies for topical corticosteroids be conducted in pediatric populations.

The vasoconstrictor assay (Stoughton-McKenzie skin blanching test) used in adults is considered a valid and scientifically acceptable method to establish bioequivalence for topical corticosteroids.

FDA emphasized that the ANDA process does not require new safety or efficacy data, only demonstration of bioequivalence to the RLD (Reference Listed Drug).

Petition's Concerns and FDA’s Rebuttal:

Lack of pediatric-specific data: FDA acknowledged that children may have physiological differences, but stated that bioequivalence demonstrated in adults is sufficient unless specific contrary evidence exists (which Nycomed did not provide).

Vehicle formulation differences: These are evaluated during ANDA review, and the vasoconstrictor assay is sensitive enough to detect differences in drug delivery due to formulation changes.

Pediatric skin differences: FDA found no credible evidence that pediatric skin physiology negates the adult assay’s reliability.

HPA Axis Suppression Risks: The NDA already evaluated safety in pediatric populations. Once the RLD is deemed safe, a bioequivalent generic is assumed to be comparably safe. The vasoconstrictor assay is not meant to assess safety, only bioequivalence.

Request for New Guidance:

FDA declined to issue new draft guidance specific to pediatric bioequivalence for topical corticosteroids, stating the 1995 Bioequivalence Guidance remains valid and effective.",
FDA-2010-P-0559-0008_Final_Response_from_FDA_CDRH_to_Saliwell_Ltd,"Stamped September 23, 2014",,"Center for Devices and Radiological Health (CDRH) – Signed by William H. Maisel, MD, MPH, Deputy Director for Science","Closed (Superseded by FDA Initiative) – Rather than grant the petition directly, FDA initiated its own rulemaking process to reclassify electrical salivary stimulatory systems from Class III to Class II (special controls), and closed the petition as part of that action","21 U.S.C. § 360c(f)(3) (FD&C Act Section 513(f)(3)) – Reclassification procedures by administrative order
- 21 U.S.C. § 360c(a)(1)(B) (Section 513(a)(1)(B)) – Special controls
- 21 CFR § 872.5560 – Proposed classification regulation","FDA reviewed the petition, relevant literature, review submissions, and data from similar devices.
- Determined that electrical salivary stimulatory systems can be reclassified to Class II with special controls, providing reasonable assurance of safety and effectiveness.
- On September 18, 2014, FDA published a proposed order in the Federal Register (79 FR 56027) initiating this reclassification independently.
- Because this action addressed the request raised by Saliwell Ltd., FDA closed the petition without a separate approval or denial.",
FDA-2010-P-0552-0004_FDA_CVM_to_Kelly_W__Beers__Ph_D___U_S__Agent___Huv,"Stamped January 4 and January 11, 2011",,"Center for Veterinary Medicine (CVM) – Signed by Steven D. Vaughn, DVM, Director, Office of New Animal Drug Evaluation","Approved – FDA approved the suitability petition under section 512(n)(3)(C) of the Federal Food, Drug, and Cosmetic Act","21 U.S.C. § 360b(n)(3)(C) – FD&C Act section 512(n)(3)(C)
- 21 CFR § 514.5 – ANADA pre-submission conference recommendation","The petition proposed a change in strength for a generic new animal drug (SACOX 90) compared to the reference listed new animal drug (BIO-COX 60), increasing salinomycin sodium concentration from 60 g/lb to 90 g/lb.
- The change did not alter indications, dosage form, route of administration, or final use concentrations in Type C feed.
- FDA determined that no additional safety or efficacy investigations were required for this change, and thus approval was mandatory under section 512(n)(3)(C).
- FDA noted that approval of the suitability petition does not guarantee approval of the subsequent Abbreviated New Animal Drug Application (ANADA).",
FDA-2010-P-0549-0006_FDA_CDER_to_Rakoczy_Molino_Mazzochi_Siwik__LLP___P,"Stamped May 25, 2011",,"Center for Drug Evaluation and Research (CDER) – Signed by Janet Woodcock, M.D., Director, CDER","Denied – The FDA denied the petition in full, stating: “For the reasons described above, your petition is denied”","Section 505(j)(5)(B)(iv) of the Federal Food, Drug, and Cosmetic Act (FDCA) – governing 180-day exclusivity.
- Section 505(j)(5)(D) – detailing forfeiture provisions.
- 21 CFR 314.94(a)(12)(i)(A) – addressing patent certifications in ANDAs.
- 21 CFR 314.430(b) – confidentiality regarding ANDA status.
- Section 505(j)(2)(A)(vii) – ANDA patent certification types.
- Section 505(j)(2)(B) – notice requirements for Paragraph IV certifications.
- Section 505(j)(5)(D)(i)(VI) – forfeiture upon patent expiration","Teva qualified as the first applicant because it submitted a substantially complete ANDA with a Paragraph IV certification for the ‘021 patent before Lupin did.
- The MMA (Medicare Modernization Act) does not require simultaneous certification to all listed patents for exclusivity to attach—only a valid initial Paragraph IV certification on the first day of filing is necessary.
- Teva’s later Paragraph IV certification to the ‘082 patent did not affect its initial eligibility, although Teva’s exclusivity was limited to the ‘021 patent.
- The FDA emphasized that exclusivity is patent-specific, and forfeiture only occurs if no valid Paragraph IV certifications remain.
- Since Lupin filed its certifications after Teva, and Teva retained eligibility through the ‘021 patent, Lupin is not entitled to 180-day exclusivity.
- FDA found no legal basis in Lupin’s argument that Teva’s submission strategy invalidated its eligibility",
FDA-2010-P-0549-0005_Interim_Response_to_Rakoczy_Molino_Mazzochi_Siwik_,"Stamped April 8 and April 12, 2011",,"Center for Drug Evaluation and Research (CDER) – Signed by Jane A. Axelrad, Associate Director for Policy",Other (Interim Response) – The FDA had not yet resolved the issues raised due to the complexity involved.,21 CFR § 10.30(e)(2) – Pertains to FDA's obligation to issue an interim response if a final decision is delayed,"The petition sought confirmation that Teva was not entitled to 180-day exclusivity for generic lamivudine and zidovudine tablets (150 mg and 300 mg), and that Lupin was eligible instead.
- FDA stated that the matter involved complex issues needing extensive review and analysis by Agency officials.
- As such, a final decision had not been reached by the 180-day mark, prompting this interim response.",
FDA-2010-P-0545-0006_FDA_CDER_to_UCB_Inc_Petition_Denial,"Stamped February 24, 2011",,Center for Drug Evaluation and Research (CDER) ,Denied — The FDA denied the request to refrain from granting tentative or final approval for any ANDA that omits Xyzal’s allergic rhinitis indications,"Section 505(b)(1), 505(c), 505(j), 505(j)(2)(A)(vii), 505(j)(2)(A)(viii), and 505(j)(4)(G) of the Federal Food, Drug, and Cosmetic Act
- 21 CFR 314.3, 314.53, 314.92(a)(1), 314.94(a)(8)(iv), 314.94(a)(12)(iii), and 314.127(a)(7)","Labeling carve-outs permitted: FDA found that labeling differences due to patent-protected indications (SAR, PAR) are allowed, as long as safety/effectiveness for remaining indications (e.g., CIU) is not compromised.
- Safety data applicability: Although most safety data originated from allergic rhinitis studies, they are deemed applicable to chronic idiopathic urticaria (CIU) due to the similarity of patient populations.
- Minimal labeling changes: Selective deletions and minor modifications in language (e.g., removing specific disease mentions) are sufficient and do not impair safety communication.
- BPCA pediatric exclusivity: FDA permits disclaimers that exclude mention of specific protected pediatric indications, ensuring compliance without violating exclusivity protections.
- Case law & precedent: Cited legal precedents and earlier decisions support FDA’s position on labeling carve-outs under patent protection.",
FDA-2010-P-0540-0023_FDA_CDER_to_Sheppard_Mullin_Richter_and_Hampton_LL,"Stamped April 16, 2013",,"Center for Drug Evaluation and Research (CDER) – Signed by Janet Woodcock, M.D., Director .","Approved – The FDA granted the request by determining that OXYCONTIN drug products approved under NDA 20-553 were withdrawn from sale for safety or effectiveness reasons, thus blocking ANDAs referencing these versions","21 U.S.C. § 355(j)(7) – Listing and delisting of approved drugs
- 21 CFR § 314.162 – Withdrawal of drug products from the Orange Book due to safety/effectiveness concerns","FDA determined, based on comments, data, postmarketing adverse event reports, and internal review, that original OxyContin (NDA 20-553) posed higher risks of abuse and misuse compared to reformulated versions.
- Reformulated OxyContin (NDA 22-272) was designed with abuse-deterrent properties that reduced tampering methods like crushing, snorting, or injecting.
- Data suggested reformulated OxyContin is harder to abuse and leads to slower and lower peak release of oxycodone, reducing potential for addiction or overdose.
- Abuse-related public health crises and opioid epidemic concerns were emphasized, citing CDC data showing a 300% rise in prescription opioid overdose deaths from 1999–2008.
- Based on totality of evidence, the original OxyContin was considered withdrawn for reasons of safety and effectiveness, disqualifying it as an RLD for future ANDAs ",
FDA-2010-P-0540-0014_FDA_CDER_Interim_Response_to_Sheppard__Mullin__Ric,"Stamped March 25 and March 28, 2011",,"Center for Drug Evaluation and Research (CDER) – Signed by Jane A. Axelrad, Associate Director for Policy",Other (Interim Response) – FDA had not yet reached a decision due to the complexity of the issues.,21 CFR § 10.30(e)(2) – Regulation governing interim responses to citizen petitions,"The petition requested a determination on whether certain strengths of oxycodone hydrochloride extended-release tablets (NDA 20-553) were voluntarily withdrawn for reasons other than safety or effectiveness.
- FDA stated it had not yet resolved the issues due to their complex nature, requiring extensive review and analysis.
- An interim response was issued as required under 21 CFR 10.30(e)(2), promising a full response once the evaluation was complete",
