File Name,Date of Response,Dates Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response
FDA-2013-P-1287-0004_Citizen_Petition_Dennial_Response_from_FDA_CDER_to.pdf,,"Stamped March 12, 2014",CDER,Denied,21 CFR 314.94(a); 21 CFR 320.24(b); 21 CFR 320.1(e); 21 CFR 314.127(a)(6)(i); 21 CFR 314.127(a)(7); 21 U.S.C. 355(j),"FDA denied the petition because the bioequivalence requirements based on the parent drug were considered scientifically sufficient. The agency concluded that additional bioequivalence testing based on metabolites was unnecessary and that the labeling concerns raised did not justify changing current standards for the approval of generic versions of the drug.

The FDA found the requested clinical endpoint bioequivalence study unnecessary, as pharmacokinetic (PK) studies and in vitro comparisons were deemed sufficient for mesalamine rectal suppositories. The agency rejected the claim that differences in healthy vs. diseased patients or the need for different bioequivalence guidance were substantiated by evidence. They determined the requested hold on ANDA approvals lacked scientific basis. The 2013 Bioequivalence Guidance was considered appropriate and based on current science"
FDA-2013-P-1288-0007_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,,"Stamped Apr 16, 2014",CDER,Denied,21 CFR 314.94(a); 21 CFR 320.24(b); 21 CFR 320.1(e); 21 CFR 314.127(a)(6)(i); 21 CFR 314.127(a)(7); 21 U.S.C. 355(j),"FDA denied the petition because it determined that bioequivalence testing based on the parent drug is scientifically sufficient. The agency found no need for additional metabolite-based bioequivalence studies or additional restrictions, concluding that the current standards adequately ensure generic drug safety and effectiveness.

The FDA concluded that Neonatal Opioid Withdrawal Syndrome (NOWS) can be potentially life-threatening if not recognized and treated, justifying warnings. FDA relied on scientific studies (e.g., the “Patrick study”) showing increased NAS diagnosis and hospitalizations, validating the labeling changes. The proposed alternative language by petitioners was considered less informative or misleading regarding NOWS risks. The petitioners’ claims that NOWS is not life-threatening and not associated with adverse outcomes were not supported by sufficient evidence. FDA determined that a public advisory committee review was not warranted."
FDA-2013-P-1289-0006_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,,"Stamped Apr 16, 2014",CDER,Denied,21 CFR 314.94(a); 21 CFR 320.24(b); 21 CFR 320.1(e); 21 CFR 314.127(a)(6)(i); 21 CFR 314.127(a)(7); 21 U.S.C. 355(j),"FDA denied the petition because it concluded that bioequivalence testing based on the parent drug was scientifically appropriate and sufficient. The agency determined that additional metabolite-based bioequivalence studies and labeling restrictions were not necessary to ensure the safety and effectiveness of generic products.

The FDA concluded that Neonatal Opioid Withdrawal Syndrome (NOWS) is potentially life-threatening if not recognized and treated, supporting the necessity of new labeling warnings. The Patrick study and other data demonstrated a significant rise in NAS (including NOWS) cases and correlated opioid use during pregnancy, validating the labeling updates. Petitioners' proposals to modify or replace NOWS language in the ER/LA opioid analgesics labeling were rejected as inconsistent with available scientific and medical evidence. The FDA emphasized the importance of highlighting risk while ensuring proper clinical use of opioids during pregnancy. The FDA determined that no advisory committee review was warranted."
FDA-2013-P-1293-0003_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,,"Stamped Mar 10, 2014",CDER,Denied,21 CFR 314.94(a); 21 CFR 320.24(b); 21 CFR 320.1(e); 21 CFR 314.127(a)(6)(i); 21 CFR 314.127(a)(7); 21 U.S.C. 355(j),"FDA denied the petition because it found that bioequivalence testing based on the parent drug is scientifically sufficient. The agency determined that requiring additional bioequivalence studies based on metabolites or imposing further labeling restrictions was unnecessary to ensure the safety and efficacy of generic drug products.

The FDA determined that the protected labeling information regarding the administration of IV treprostinil with high pH glycine diluent was not necessary for the safe or effective use of generic products. The agency concluded that omitting such information would not render a generic product less safe or effective than the reference listed drug (RLD), Remodulin. Supporting studies (e.g., Zaccardelli and Rich) were deemed suggestive but not conclusive of superior safety of high pH diluents. The FDA emphasized that carve-out of protected labeling is legally permissible under FD&C Act and cited precedent (e.g., Colcrys decision)."
FDA-2013-P-1294-0005_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,"June 5, 2015",Stamped,CDER,Denied,21 CFR 314.126; 21 CFR 201.57(c)(5); 21 CFR 201.80; Section 505(b)(1) of the FD&C Act; Section 505(c) of the FD&C Act; Section 505(d) of the FD&C Act,"FDA denied the petition because while it agreed that objective evidence is important to define the patient population for injectable iron therapy outside of chronic kidney disease (CKD), it declined to mandate a run-in study design. FDA maintained that various scientifically sound methodologies, such as review of medical records, could adequately document intolerance or unsatisfactory response to oral iron. The Agency also denied the request to impose automatic labeling contraindications based on study exclusions, explaining that contraindications must be based on clinical evidence that the risk clearly outweighs any possible benefit."
FDA-2013-P-1296-0003_Letter_from_FDA_CDER_to_Lannett_Company__Inc_.pdf,"Not Explicitly Stated (context suggests around April 9, 2019)",,CDER (Office of Generic Drugs),Approved,Section 505(j)(2)(C) of the FD&C Act; Section 505(j)(2)(A) and (B) of the FD&C Act; Section 505B of the FD&C Act (PREA); 21 CFR 314.93; 21 CFR 314.94(a)(3)(iii),"FDA approved the petition because the proposed change in dosage form from extended-release capsules to extended-release tablets does not pose questions of safety or effectiveness. The proposed product shares the same uses, dose, and route of administration as the listed drug, and if bioequivalence is demonstrated, the product can be expected to have the same therapeutic effect. Additionally, pediatric studies were not required because the product does not provide a meaningful therapeutic benefit over existing therapies for pediatric patients under age 12 and is properly labeled for use in older pediatric populations."
FDA-2013-P-1297-0025_Response_to_Citizen_Petition_from_FDA_CDRH_to_Kevi.pdf,"March 7, 2022",,CDRH,Denied,Section 201(h) of the FD&C Act; 21 CFR 801.4; 21 CFR 10.30(e)(1); 21 CFR 10.30(k),"FDA denied the petition because it determined that addressing the request would require extensive resource commitments not justified by the relatively narrow public health impact of the issue. The Agency concluded that determining the intended use of Harmony Cone Ear Candles would be resource-intensive and that FDA's limited resources are better spent on broader public health priorities. Additionally, the request to stay enforcement actions and the request for a public hearing were denied."
FDA-2013-P-1374-0005_Interim_Response_Lette_from_FDA_CDRH_to_Pharmists_.pdf,"March 7, 2014",,Center for Devices and Radiological Health (CDRH),Other,21 CFR 10.30(e)(2),"FDA issued an interim response stating that it has not yet reached a decision on the citizen petition submitted by Pharmists, Inc. due to the need for further review and analysis. The agency committed to responding to the petition's request once a decision has been made."
FDA-2013-P-1376-0004_Final_Response_from_FDA_CDER_to_Buchanan_Ingersoll.pdf,,"Stamped Aug 30, 2017",Center for Drug Evaluation and Research (CDER),Partially Approved,"21 CFR 314.50, 21 CFR 314.94, 21 CFR 320.24, 21 CFR 10.30, 21 CFR 10.45, 21 CFR 314.70(b)(2), 21 CFR 211.110, 21 U.S.C. 355(j)","FDA dismissed the Exclusivity Petition as moot because any exclusivity would have expired. FDA partially granted the Testing and Bioequivalence Petitions by agreeing that certain testing and study designs for digoxin (an NTI drug) were appropriate, recommending four-way crossover bioequivalence studies using reference-scaled average bioequivalence methodology. However, FDA denied requests to impose fixed narrower bioequivalence intervals (90–111.11%), to revise drug substance assay ranges, and to downgrade TE codes for existing generic digoxin products, citing scientific rationale, current bioequivalence practices, and lack of supporting data for therapeutic nonequivalence."
FDA-2013-P-1377-0004_Final_Response_from_FDA_CDER_to_Buchanan_Ingersoll.pdf,,"Stamped Aug 30, 2017",Center for Drug Evaluation and Research (CDER),Partially Approved,"21 CFR 314.50, 21 CFR 314.94, 21 CFR 320.24, 21 CFR 10.30, 21 CFR 10.45, 21 CFR 314.70(b)(2), 21 CFR 211.110, 21 U.S.C. 355(j)","FDA dismissed the Exclusivity Petition as moot because the requested exclusivity would have expired. FDA partially granted the Testing and Bioequivalence Petitions by recommending updated bioequivalence study designs for digoxin as a narrow therapeutic index (NTI) drug, including four-way crossover studies with reference-scaled average bioequivalence (RSABE) methodology. FDA denied requests to impose fixed narrower bioequivalence intervals (90–111.11%), to narrow drug substance assay ranges (95–105%), and to downgrade therapeutic equivalence (TE) codes for approved generics, citing scientific evidence supporting the RSABE approach and lack of data to justify changes."
FDA-2013-P-1379-0004_Letter_from_FDA_CDER_to_Lachman_Consultant_Service.pdf,,"Stamped Apr 2, 2017",Center for Drug Evaluation and Research (CDER),Approved,"Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act","FDA approved the petition to allow submission of an ANDA for Ondansetron Orally Disintegrating Tablets USP, 4 mg and 8 mg, packaged in unit-dose blister packs, even though the reference listed drug is packaged in child-resistant packaging. The Agency determined that this difference in packaging does not affect the drug’s safety or effectiveness, and therefore does not preclude ANDA submission without additional clinical investigations."
FDA-2013-P-1398-0013_Memorandum_of_Meeting_from_FDA_CDER_re_Meeting_wit.pdf,"May 1, 2014",,Center for Drug Evaluation and Research (CDER),Other,Not Mentioned,"The document is a memorandum summarizing a listening session between FDA and the National Council for Prescription Drug Programs (NCPDP) regarding concerns about nonproprietary naming of biological products. The meeting was informational only, and FDA did not make any decisions or take action regarding the citizen petitions discussed. The summary was posted to the public dockets for transparency."
FDA-2013-P-1507-0004_Letter_from_FDA_CDER_to_PharmD.pdf,,"Stamped July 30, 2019",Center for Drug Evaluation and Research (CDER),Denied,"21 CFR 10.30, 21 CFR 10.45",FDA denied the petition because it requested the Agency to ban certain homeopathic drugs without presenting sufficient evidence to demonstrate that regulatory action was warranted. FDA stated that it exercises enforcement discretion over homeopathic products based on public health risk and other factors and that enforcement priorities are addressed through broader regulatory policy rather than individual citizen petitions.
FDA-2013-P-1508-0003_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,,"Stamped Apr 3, 2014",Center for Drug Evaluation and Research (CDER),Denied,"21 CFR 10.30, 21 CFR 10.45","FDA denied the petition because it requested that FDA ban all homeopathic drugs from the market without providing adequate scientific evidence or legal justification. FDA reiterated that it regulates homeopathic products through a risk-based enforcement approach, focusing on products that pose the greatest risk to public health, rather than issuing a blanket ban as requested."
FDA-2013-P-1509-0003_Interim_Response_Letter_from_FDA_CDER_to_Dr_S_Albe.pdf,,"Stamped Mar 20, 2014",Center for Drug Evaluation and Research (CDER),Other,21 CFR 10.30(e)(2),FDA issued an interim response stating that it has not yet reached a decision on the citizen petition submitted by Dr. S. Albert regarding the regulation of certain prescription drugs. The Agency explained that it requires additional time to fully evaluate the issues raised and committed to responding once a final decision is made.
FDA-2013-P-1515-0004_Citizen_Petition_Response_from_FDA_CDER_to_Lachman.pdf,,"Stamped Apr 11, 2014",Center for Drug Evaluation and Research (CDER),Approved,"Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act","FDA approved the petition to allow submission of an ANDA referencing Seroquel XR (quetiapine fumarate extended-release tablets) with differences in labeling related to exclusivity-protected information. FDA concluded that the differences in labeling (specifically, removal of indications protected by exclusivity) do not render the proposed generic product less safe or effective for the conditions of use that remain and therefore, no additional clinical investigations were necessary."
FDA-2013-P-1552-0002_Letter_from_FDA_CDRH_to_Hearing_Industries_Associa.pdf,"December 5, 2013",Stamped,Center for Devices and Radiological Health (CDRH),Other,21 CFR 874.3305,The letter acknowledges receipt of the petition requesting the reclassification of Wireless Air Conduction Hearing Aids from class II to class I but does not provide a substantive decision on the petition's merits. It only confirms that FDA received the petition.
FDA-2013-P-1606-0003_Interim_Response_from_FDA_CDER_to_Pharmacists_Plan.pdf,,"Stamped May 22, 2014",Center for Drug Evaluation and Research (CDER),Other,21 CFR 10.30(e)(2),"FDA issued an interim response stating that it has not yet reached a decision on the citizen petition submitted by Pharmacists Planning Services, Inc. The Agency explained that additional time is needed for thorough review and analysis of the petition's issues and committed to responding once a final decision has been made."
FDA-2013-P-1612-0408_Correction_from_FDA_DDM.pdf,"February 4, 2014",,Division of Dockets Management (DDM),Other,Not Mentioned,The letter acknowledges receipt and filing of the petition requesting FDA to overturn the decision to rescind the Special Protocol Assessment for VASCEPA and delay the PDUFA date for the ANCHOR sNDA. It clarifies that acceptance for filing is a procedural action and does not reflect any decision on the substantive merits of the petition.
FDA-2013-P-1614-0003_Interim_Response_from_FDA_CFSAN_to_Global_Shea_All.pdf,,"Stamped Aug 12, 2015 and Oct 5, 2015",Center for Food Safety and Applied Nutrition (CFSAN),Other,"21 CFR 10.30(e)(2), 21 CFR 163.123, 21 CFR 163.124, 21 CFR 163.130","FDA issued an interim response stating that it has not yet reached a decision on the petition requesting amendment of the standards of identity for chocolate to allow optional use of shea-based ingredients. The delay was due to competing agency priorities, and FDA committed to completing its review and considering regulatory amendments as warranted."
FDA-2013-P-1636-0002_Acknowledgement_Letter_from_FDA_DDM_to_Lannett_Com.pdf,"December 16, 2013",,Division of Dockets Management (DDM),Other,Not Mentioned,"The letter acknowledges receipt and filing of the petition requesting a determination that ANDAs may be submitted for Hydromorphone Hydrochloride tablets (1 mg, scored) and Hydromorphone Hydrochloride Oral Solution (1 mg per 5 ml). It clarifies that acceptance of the petition for filing is a procedural matter and does not reflect an agency decision on the substantive merits of the petition."
FDA-2013-P-1637-0004_Citizen_Petition_Approval_Letter_from_FDA_CDER_to_.pdf,,"Stamped Feb 4, 2015",Center for Drug Evaluation and Research (CDER),Approved,Not Mentioned,"FDA approved Lemtrada (alemtuzumab) for the treatment of multiple sclerosis (MS), thereby granting the relief requested in the petition. The petition had emphasized the urgent need for additional MS treatments due to the severity of the disorder and limitations of existing therapies. FDA’s approval rendered the remaining issues raised in the petition moot."
FDA-2013-P-1711-0003_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,,"Stamped Feb 11, 2014",Center for Drug Evaluation and Research (CDER),Denied,"21 CFR 10.30, 21 CFR 10.45","FDA denied the petition requesting the withdrawal of approval of all prescription drugs containing hydrocodone combined with another active ingredient, citing that the petitioner failed to present sufficient evidence demonstrating that such a withdrawal would be scientifically justified. FDA emphasized that decisions regarding withdrawal of drug approvals are made based on a thorough review of all relevant scientific data."
