File Name,Date of Response,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,
FDA-2024-P-2625-0004_Response_Letter_from_FDA_ORA_to_J_R_Imports_LLC_Re.pdf,"October 18, 2024 ",Office of Regulatory Affairs (ORA) ,Petition for reconsideration and stay of Import Alert #99‑41 is denied ,"21 C.F.R. §§ 10.25, 10.30, 10.33, 10.35, 10.3; 21 C.F.R. §§ 1.505, 1.506, 1.507, 1.514; 21 U.S.C. §§ 381, 384a; Section 301 FSMA; Import Alert #99‑41 ","JR Imports repeatedly failed to develop and follow Foreign Supplier Verification Program (FSVP) plans despite multiple inspections, warning letters, and Form 483 observations; petition offered no new or inadequately considered information, did not establish irreparable injury, and public‑health interests in safe imported food outweigh firm’s request; therefore FDA denies reconsideration and stay and maintains listing on Import Alert #99‑41 ",
FDA-2024-P-2730-0003_Response_Letter_from_FDA_CBER_to_Kenneth_D__Eichen.pdf,"July 12, 2024",Center for Biologics Evaluation and Research (CBER),Denied,42 U.S.C. § 262(a) (Public Health Service Act § 351(a)); 21 CFR 600.3(s); Section 505(d) of the FD&C Act; Section 115(a) of the FDAMA; 21 CFR 314.126; Section 506(c)(1)(A) and 506(c)(2)(D) of the FD&C Act; 21 CFR 601.41,"FDA concluded that Sarepta provided substantial evidence of effectiveness to support traditional approval of ELEVIDYS for ambulatory patients aged 4 and older and accelerated approval for non-ambulatory patients aged 4 and older with DMD. The EMBARK study, though not meeting its primary endpoint, demonstrated clinically meaningful benefits. Micro-dystrophin levels supported predicted clinical benefit in non-ambulatory individuals. FDA found the benefit-risk profile favorable given the serious nature of the disease and the unmet medical need. Petitioner's assertions did not justify denying approval or reevaluating ELEVIDYS’s favorable risk-benefit determination.",
FDA-2024-P-2752-0008_Response_Letter_from_FDA_CDER_to_Hyman__Phelps___M.pdf,"November 6, 2024",Center for Drug Evaluation and Research (CDER),Approved,"Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 CFR 314.93; 21 CFR 314.93(e)(1); 21 CFR 314.94(a)(3)(iii); Section 505(j)(2)(A) and (B); Section 505(j)(2)(A)(iv)","FDA determined that the proposed change in strength (total drug content) does not raise questions of safety or effectiveness. The uses, dose, dosage form, and route of administration are the same as those of the listed drug, and the change is consistent with the listed drug's labeling. If shown to be bioequivalent, the proposed drug products are expected to have the same therapeutic effect as the reference listed drug. No new investigations are needed to demonstrate safety or effectiveness.",
FDA-2024-P-2753-0008_Response_Letter_from_FDA_CDER_to_Hyman__Phelps___M.pdf,"October 17, 2024",Center for Drug Evaluation and Research (CDER),Approved,"Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 CFR 314.93; 21 CFR 314.93(e)(1); 21 CFR 314.94(a)(3)(iii); Section 505(j)(2)(A) and (B); Section 505(j)(2)(A)(iv)","FDA found that the proposed change in strength does not raise safety or effectiveness concerns. The proposed drug products share the same use, dose, dosage form, and route of administration as the listed drug. The change is consistent with the RLD’s labeling, and if the products are shown to be bioequivalent, they are expected to have the same therapeutic effect. Therefore, additional investigations are not required to establish safety or effectiveness.",
FDA-2024-P-2757-0008_Response_Letter_from_FDA_CDER_to_Hyman__Phelps___M.pdf,"December 10, 2024",Center for Drug Evaluation and Research (CDER),Denied,"Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 CFR 314.93; 21 CFR 314.93(e)(1)(iv); 21 CFR 10.20; 21 CFR 10.33","FDA determined that the proposed change in strength introduces new risks, including medication errors, inappropriate use, expired drug use, and potential overdose. Addressing these issues would require significant labeling changes to multiple sections including Dosage and Administration, Overdosage, and Warnings and Precautions. Because these changes raise safety and effectiveness concerns not present with the reference listed drug, the petition is denied.",
FDA-2024-P-2757-0008_Response_Letter_from_FDA_CDER_to_Hyman__Phelps___M.pdf,"December 10, 2024",Center for Drug Evaluation and Research (CDER),Denied,"505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 CFR 314.93",Request to permit the submission of an ANDA for Oxytocin Injection pharmacy bulk packages with different strengths than the reference listed drug,"FDA concluded that the proposed strengths introduce new safety and effectiveness concerns, including potential for medication errors such as product preparation errors, inappropriate use, expired drug usage, and wrong dose errors—necessitating significant changes to labeling (Dosage and Administration, Overdosage, Warnings and Precautions)"
FDA-2024-P-2778-0013_Final_Response_Letter_from_FDA_CDER_to_Pharmobedie.pdf,"December 23, 2024",Center for Drug Evaluation and Research (CDER),Denied,"505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 CFR 314.93; 505B of the Act (Pediatric Research Equity Act)","The FDA denied the petition because the proposed change in dosage form triggers the Pediatric Research Equity Act (PREA), which requires pediatric clinical trials; a full waiver of these requirements was also denied, making the product ineligible for approval via an ANDA.",
FDA-2024-P-2779-0012_Response_Letter_from_FDA_CDER_to_Hyman__Phelps___M.pdf,"January 21, 2025",CDER (Center for Drug Evaluation and Research),Denied,"505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 CFR 314.93(e)(1)(i), (iv); 505(j)(2)(A)","The proposed change in strength to 12.5 mg raises questions of safety and effectiveness not addressed by the reference listed drug (RLD) labeling. Investigations are required to show safety and efficacy. The proposed strength also introduces potential for medication errors, requiring significant labeling changes to address safety concerns.",
FDA-2024-P-2843-0002_Acknowledgment_Letter_from_FDA_DMS_to_Zach_Richard.pdf,2024-06-13,DMS (Division of Dockets Management Services),Acknowledged,Not Mentioned,Not Mentioned,
FDA-2024-P-2846-0004_Final_Response_Letter_from_FDA_CDRH_to_Pyrexar_Med.pdf,"October 28, 2024",Center for Devices and Radiological Health (CDRH),Denied,"Section 513(e), Section 513(f)(1), Section 513(f)(3), Section 520(m), Section 513(a)(1)(B) of the FD&C Act; 21 CFR 860.130(e); 21 CFR 860.123(a)(7)",The petition was misfiled under section 513(e) instead of the correct section 513(f)(3); the petitioner failed to provide sufficient information for FDA to determine that special controls would provide reasonable assurance of safety and effectiveness; supporting evidence cited was not adequately detailed or properly included as source documents; the intended use was unclear and did not match the approved indication under the HDE.,
FDA-2024-P-2885-0007_Final_Response_Letter_from_FDA_CDER_to_Hyman__Phel.pdf,"October 18, 2024",CDER (Center for Drug Evaluation and Research),Approved,"505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 CFR 314.93; 21 CFR 314.94(a)(3)(iii)","The proposed change in strength from the listed drug product does not pose questions of safety or effectiveness. The proposed drug products have the same use, dose, dosage form, and route of administration as the listed drug. The change is consistent with the labeling of the listed drug, and if bioequivalence is demonstrated, the proposed products are expected to have the same therapeutic effect. Therefore, investigations are not necessary to demonstrate safety and effectiveness.",
FDA-2024-P-2909-0007_Final_Response_Letter_from_FDA_CDER_to_Hyman__Phel.pdf,"October 15, 2024",CDER (Center for Drug Evaluation and Research),Approved,"505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 CFR 314.93; 21 CFR 314.94(a)(3)(iii)","The FDA determined that the proposed change in strength (from 2 mg and 8 mg to 4 mg and 12 mg) does not pose questions of safety or effectiveness, aligns with the listed drug’s labeling, maintains the same use, dose, dosage form, and route of administration, and, if bioequivalence is met, can be expected to have the same therapeutic effect.",
FDA-2024-P-2932-0007_Response_Letter_from_FDA_CDER_to_Newcastle_Bioscie.pdf,"December 20, 2024",Center for Drug Evaluation and Research (CDER),Denied,"Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 CFR 314.93; Section 505B of the Act (Pediatric Research Equity Act - PREA); Section 505B(k) of the Act","The FDA denied the petition because the requested change in dosage form (from tablets to orally disintegrating tablets) triggered the requirement for pediatric studies under PREA. The agency determined that clinical trials are necessary for pediatric patients aged 2 to less than 7 years with HoFH, and a waiver request was denied. Additionally, the petitioner had not obtained orphan drug designation for the proposed product and therefore did not qualify for the PREA orphan exemption.",
FDA-2024-P-2933-0002_Acknowledgment_Letter_from_FDA_DMS_to_Chobani_LLC.pdf,"June 21, 2024",Dockets Management Staff (FDA/Office of Operations),Acknowledged,CFR 10.30,The petition was received and processed; acceptance for filing is procedural and does not reflect a decision on the petition's substantive merits,
FDA-2024-P-2952-0005_Interim_Response_Letter_from_FDA_CDER_to_Sarah_A__.pdf,"December 16, 2024",Center for Drug Evaluation and Research (CDER),Interim Response,21 CFR 10.30(e)(2),"The petition raises complex issues requiring extensive review and analysis by Agency officials; therefore, a final decision has not yet been reached.",
FDA-2024-P-2955-0006_Interim_Response_Letter_from_FDA_CDER_to_Dsquare_L.pdf,"December 10, 2024",CDER (Center for Drug Evaluation and Research),Interim response – decision not yet made,21 CFR 10.30(e)(2),The FDA has not reached a decision due to the need to address other Agency priorities and states that a response will be provided as soon as possible.,
FDA-2024-P-3090-0011_Response_Letter_from_FDA_CDER_to_Epic_Pharma__LLC.pdf,"December 11, 2024",Center for Drug Evaluation and Research (CDER),Denied,"Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 CFR 314.93; Section 505B of the Act (Pediatric Research Equity Act - PREA)","The petition was denied because the proposed change in dosage form (from tablets to oral suspension) triggered the need for pediatric studies under PREA. While a partial waiver was granted for patients from birth to less than 1 month old, the FDA denied a waiver for patients aged 1 month to less than 4 years. Therefore, clinical trials are required, making the product ineligible for ANDA approval under a suitability petition.",
FDA-2024-P-3188-0007_Final_Response_Letter_from_FDA_CDER_to_Lachman_Con.pdf,"November 6, 2024",CDER (Center for Drug Evaluation and Research),Approved,"Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 CFR 314.93; 21 CFR 314.93(e)(1); 21 CFR 314.94(a)(3)(iii)","The proposed change in strength does not pose questions of safety or effectiveness; the proposed product has the same uses, dose, dosage form, and route of administration as the listed drug; the change is consistent with existing labeling; if shown to meet bioequivalence requirements, it is expected to have the same therapeutic effect as the reference drug; no significant labeling changes or new investigations are required.",
FDA-2024-P-3292-0013_Suitability_Petition_Approval_from_FDA_CVM_to_Feli.pdf,"October 8, 2024",Center for Veterinary Medicine (CVM),Approved,"Section 512(n)(3) and 512(n)(3)(C) of the Federal Food, Drug, and Cosmetic Act (FD&C Act), 21 CFR 514.5","The proposed change in dosage form from tablet to oral solution does not require new investigations to demonstrate safety and effectiveness for the intended uses, and thus meets the criteria for approval under a suitability petition.",
FDA-2024-P-3293-0011_Final_Response_Letter_from_FDA_CDER_to_Newcastle_B.pdf,"December 26, 2024",CDER (Center for Drug Evaluation and Research),Approved,"505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 CFR 314.93; 21 CFR 314.93(e)(1); 505B of the Act; 505(j)(2)(A)(iv); 21 CFR 314.94(a)(3)(iii)","The proposed changes in strength and dosage form (from tablets to orally disintegrating tablets) do not pose questions of safety or effectiveness; uses, dose, and route of administration are the same as the listed drug; proposed changes align with dosing recommendations; bioequivalence, if demonstrated, would ensure same therapeutic effect; pediatric studies were deemed unnecessary for specific age groups due to impracticability.",
FDA-2024-P-3357-0004_Final_Response_Letter_from_FDA_CDRH_to_Randall_Hen.pdf,"January 10, 2025",CDRH (Center for Devices and Radiological Health),Denied,"21 CFR 10.30, 21 U.S.C. § 360f(a), Section 201(h)(1) of the FD&C Act, 21 CFR part 814, 21 CFR part 807 subpart E, 21 CFR 801.4, 21 CFR 809.3, 21 CFR 895.21, 42 CFR part 493","FDA found insufficient information to determine whether the paternity tests qualify as devices under the FD&C Act, and even if they were devices, there was not enough evidence to show they pose a substantial deception or risk of illness/injury. FDA also does not have authority to revoke AABB’s CLIA-related accreditation authority, which is under CMS jurisdiction. Requests for enforcement action and market bans were also outside the scope of the citizen petition process or unsupported.",
FDA-2024-P-3357-0004_Final_Response_Letter_from_FDA_CDRH_to_Randall_Hen.pdf,"January 10, 2025",Center for Devices and Radiological Health (CDRH),Denied,21 CFR 10.30(e); 21 CFR 10.30(k); Section 516(a) of the FD&C Act (21 U.S.C. § 360f(a)); Section 201(h)(1) of the FD&C Act (21 U.S.C. § 321(h)(1)); 21 CFR part 814; 21 CFR part 807 subpart E; 21 CFR 801.4; 21 CFR 895.21(a)(1); 21 CFR 895.21(a)(2); 42 CFR part 493; 21 CFR 809.3,Insufficient evidence that duo paternity tests are FDA‑regulated devices or pose substantial deception or unreasonable and substantial risk; FDA lacks authority to revoke AABB’s CLIA accreditation or transfer it to ASCLD; enforcement and market‑ban requests lie outside citizen‑petition scope.,
FDA-2024-P-3479-0003_Final_Response_Letter_from_FDA_CDER_to_Jingwei_Pha.pdf,"December 20, 2024",Center for Drug Evaluation and Research (CDER),Denied,Section 505(j) of the FD&C Act (21 U.S.C. § 355(j)); Sections 505(j)(2)(A) and 505(j)(4) of the FD&C Act; Section 501(a)(2)(B) of the FD&C Act; 21 CFR 314.3(b); 21 CFR 314.94; 21 CFR 314.127; 21 CFR parts 210 and 211,"FDA found that existing case‑by‑case ANDA reviews, USP standards, and cGMP regulations already ensure sitagliptin quality and patient safety; biocatalytic manufacture does not pose greater risk, and the petition lacked evidence to justify mandatory certificates, detailed catalyst data, or additional impurity testing for all applicants.",
FDA-2024-P-3484-0002_Acknowledgement_Letter_from_FDA_CDRH_to_Foundation.pdf,"August 5, 2024",Center for Devices and Radiological Health (CDRH),Other (Acknowledgement of receipt only),21 CFR 10.30,FDA acknowledged receipt of the petition requesting reclassification of certain next-generation sequencing oncology panel devices from class III to class II. The letter clarifies that acceptance for filing is procedural and does not reflect a substantive decision.,
FDA-2024-P-3563-0005_Final_Response_Letter_from_FDA_CDER_to_Hyman__Phel.pdf,"December 18, 2024",Center for Drug Evaluation and Research (CDER),Denied,Section 505(b)(2) of the FD&C Act (21 U.S.C. § 355(b)(2)); Section 505(c) of the FD&C Act; 21 CFR 314.3; 21 CFR 314.54(a); FDA guidance documents cited include 'Assessing the Effects of Food on Drugs in INDs and NDAs — Clinical Pharmacology Considerations' and 'Good Pharmacovigilance Practices and Pharmacoepidemiologic Assessment',FDA found insufficient evidence that low-volume nasal spray drug products like Valtoco are significantly swallowed or subject to meaningful food effects; the literature and adverse event data did not demonstrate clinically relevant enteral absorption or efficacy issues due to food; FAERS data review revealed no reliable signal for lack of efficacy attributable to food effects.,
FDA-2024-P-3567-0007_Response_Letter_from_FDA_CDER_to_Lachman_Consultin.pdf,"January 28, 2025",Center for Drug Evaluation and Research (CDER),Denied,Section 505(j)(2)(C) of the FD&C Act; 21 CFR 314.93; 21 CFR 314.93(e)(1)(i); 21 CFR 314.93(e)(1)(iv); 21 CFR 10.20; 21 CFR 10.33,"FDA determined that the proposed changes in strength (25 mg, 50 mg, 100 mg) raise safety and effectiveness concerns not supported by the reference listed drug (RLD) labeling; such changes would require significant labeling modifications and additional investigations to ensure safe and effective use, making them inappropriate for approval under the ANDA petition process.",
FDA-2024-P-3571-0009_Final_Response_Letter_from_FDA_CDER_to_Premier_Con.pdf,"December 26, 2024",Center for Drug Evaluation and Research (CDER),Approved,Section 505(j)(2)(C) of the FD&C Act; Section 505B of the FD&C Act (PREA); 21 CFR 314.93; 21 CFR 314.94(a)(3)(iii),"FDA determined that the proposed change from capsule to oral liquid dosage form does not raise safety or effectiveness concerns, is consistent with the listed drug’s labeling, and does not require significant labeling changes or additional investigations; pediatric study requirements under PREA were waived due to lack of meaningful therapeutic benefit and limited pediatric use.",
FDA-2024-P-3573-0005_Response_Letter_from_FDA_CDER_to_Premier_Research_.pdf,"January 15, 2025",Center for Drug Evaluation and Research (CDER),Approved,Section 505(j)(2)(C) of the FD&C Act; Section 505B of the FD&C Act (PREA); 21 CFR 314.93; 21 CFR 314.94(a)(3)(iii),"FDA determined that the proposed change from tablet to oral liquid dosage form does not raise concerns regarding safety or effectiveness, aligns with the labeled dosing recommendations, and does not require significant labeling changes; pediatric studies were waived under PREA due to lack of meaningful benefit and expected limited pediatric use.",
FDA-2024-P-3699-0004_Response_Letter_from_FDA_CDER_to_Zydus_Pharmaceuti.pdf,"November 20, 2024",Center for Drug Evaluation and Research (CDER),Denied,Not Mentioned,"FDA determined that IC-GREEN (Indocyanine Green), 25 mg/vial, was not withdrawn from sale for reasons of safety or effectiveness and will remain listed in the Orange Book’s Discontinued Drug Product List.",
FDA-2024-P-3761-0003_Final_Response_Letter_from_FDA_CDRH_to_Spark_Biome.pdf,"December 15, 2024",Center for Devices and Radiological Health (CDRH),Denied,21 CFR 10.30(k); 21 CFR 10.30(b)(3); 21 CFR 10.3(a),"FDA denied the petition because requests for enforcement actions, investigations, or related regulatory activities fall outside the scope of citizen petition procedures; such actions are within the agency’s discretion and not subject to petitions from external parties.",
FDA-2024-P-3799-0002_Acknowledgement_Letter_from_FDA_DMS_to_Raaha_LLC.pdf,"August 9, 2024","Dockets Management Staff (DMS), Office of Operations (OO)",Other (Acknowledgement of receipt only),21 CFR 10.30,"FDA acknowledged receipt of the petition dated August 7, 2024, and clarified that acceptance for filing is a procedural step that does not reflect any decision on the substantive merits of the petition.",
FDA-2024-P-3820-0011_Interim_Response_Letter_from_FDA_HFP_to_Agent_for_.pdf,"February 6, 2025","Human Foods Program (HFP), Office of Nutrition and Food Labeling",Other (Interim Response – No decision yet),21 CFR 10.30(e)(2),FDA stated it has not yet reached a decision on the petition to amend 21 CFR § 101.9(c)(6)(i) to include Isomaltodextrin (Fibryxa®) due to other agency priorities and limited resources; a final decision will be provided upon completion of the review.,
FDA-2024-P-3821-0004_Final_Response_Letter_from_FDA_CVM_to_Aurora_Pharm.pdf,"October 28, 2024",Center for Veterinary Medicine (CVM),Approved,Section 512(n)(3) and Section 512(n)(3)(C) of the FD&C Act; 21 CFR 514.5,"FDA approved the suitability petition for afoxolaner oral solution as a generic version of NexGard® chewable tablets, finding that the change in dosage form does not require new investigations to demonstrate safety and effectiveness for the intended uses.",
FDA-2024-P-3822-0003_Interim_Response_Letter_from_FDA_CDER_to_Universit.pdf,"February 4, 2025",Center for Drug Evaluation and Research (CDER),Other (Interim Response – No decision yet),21 CFR 10.30(e)(2),FDA has not yet resolved the issues raised in the petition concerning the US Pharmacopeia’s modification of biological drug monographs due to their complexity; a final response will be issued once a decision is reached.,
FDA-2024-P-3881-0007_Response_Letter_from_FDA_CDER_to_Zydus_Pharmaceuti.pdf,"December 16, 2024",Center for Drug Evaluation and Research (CDER),Approved,Section 505(j)(2)(C) of the FD&C Act; Section 505(j)(2)(A) and (B); Section 505(j)(2)(A)(iv); 21 CFR 314.93; 21 CFR 314.93(e)(1); 21 CFR 314.94(a)(3)(iii),"FDA determined that the proposed change in strength (to 34 mg) for Pimavanserin Tablets does not pose questions of safety or effectiveness, is consistent with labeling, and does not require significant labeling changes or additional investigations; bioequivalence will be assessed during ANDA review.",
FDA-2024-P-3905-0008_Response_Letter_from_FDA_CDER_to_Lachman_Consultan.pdf,"February 12, 2025",Center for Drug Evaluation and Research (CDER),Approved,Section 505(j)(2)(C) of the FD&C Act; Section 505(j)(2)(A) and (B); Section 505(j)(2)(A)(iv); 21 CFR 314.93; 21 CFR 314.93(e)(1); 21 CFR 314.94(a)(3)(iii),"FDA determined that the proposed change in dosage form from cream to vaginal inserts does not pose safety or effectiveness concerns, is consistent with the labeled dosing of the reference product, and does not require significant labeling changes or new investigations; bioequivalence will be evaluated during ANDA review.",
FDA-2024-P-3997-0006_Interim_Response_Letter_from_FDA_CDER_to_Aylstock_.pdf,"February 13, 2025",Center for Drug Evaluation and Research (CDER),Other (Interim Response – No decision yet),21 CFR 10.30(e)(2),"FDA has not yet resolved the petition requesting market recall of benzoyl peroxide products due to alleged benzene contamination; the issues are complex and require extensive review. Additionally, FDA noted that the petitioner has not yet submitted the testing data referenced in the petition despite multiple requests.",
FDA-2024-P-4015-0003_Final_Response_Letter_from_FDA_CVM_to_Kohl_Harring.pdf,"November 7, 2024",Center for Veterinary Medicine (CVM),Denied,5 U.S.C. § 552(a)(2)(D); 29 U.S.C. § 794d(a); 21 CFR 10.30(b)(3),"FDA denied the petition requesting public posting of certain records, stating that such posting is governed by the Freedom of Information Act (FOIA) and Section 508 accessibility requirements; records will be posted when required under FOIA and once made compliant with accessibility standards.",
FDA-2024-P-4126-0006_Letter_from_FDA_CVM_to_Aurora_Pharmaceutical__Inc_.pdf,"October 10, 2024",Center for Veterinary Medicine (CVM),Approved,Section 512(n)(3) and Section 512(n)(3)(C) of the FD&C Act; 21 CFR 514.5,"FDA approved the suitability petition for a generic meloxicam oral solution (3 mg/mL) differing in dosage form and strength from the reference listed drug (Metacam® 1.5 mg/mL), concluding that no new investigations are required to demonstrate safety and effectiveness for the intended uses.",
FDA-2024-P-4134-0009_Response_Letter_from_FDA_CDER_to_Pharmobedient_Con.pdf,"February 18, 2025",Center for Drug Evaluation and Research (CDER),Denied,Section 505(j)(2)(C) of the FD&C Act; 21 CFR 314.93; 21 CFR 314.93(e)(1)(iv); 21 CFR 10.20; 21 CFR 10.33,FDA denied the petition because the proposed new strength of 37.5 mg for Diclofenac Potassium Tablets raises safety and effectiveness concerns that would necessitate significant labeling changes. The 37.5 mg strength is not supported by the reference listed drug’s labeling and could increase the risk of medication errors and confusion among patients and prescribers.,
FDA-2024-P-4135-0004_Response_Letter_from_FDA_CDER_to_Fresenius_Kabi_US.pdf,"November 13, 2024",Center for Drug Evaluation and Research (CDER),Denied,Section 505(j)(2)(C) of the FD&C Act; 21 CFR 314.93; 21 CFR 314.93(e)(1)(vi); 21 CFR 10.20; 21 CFR 10.33,"FDA denied the petition because the proposed strength of Vasopressin in 0.9% Sodium Chloride Injection (50 units/50 mL) is already approved under NDAs 217766 and 204485; under 21 CFR 314.93(e)(1)(vi), a petition must be denied if a drug product with the proposed change is already approved in an NDA.",
