File Name,Date of Response,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response
FDA-2020-P-1260-0006_Interim_response_letter_from_FDA_CDER_to_Foley___L.pdf,"October 1, 2020",Center for Drug Evaluation and Research (CDER),Interim response; no decision made yet,Not Mentioned,"The FDA issued an interim response to the petition regarding regulatory actions related to a drug product, indicating that the petition raises complex issues that require additional time for review. The agency stated it has not yet reached a decision on the merits of the petition and will respond fully once the review is complete."
FDA-2020-P-1297-0004_Response_Letter_from_FDA_CDER_to_Joe_DiNardo_Redac.pdf,"September 24, 2021",Center for Drug Evaluation and Research (CDER),Denied,Not Mentioned,The FDA denied the petition submitted by Joe DiNardo because it did not present sufficient evidence to support the requested regulatory actions concerning the safety of a particular drug product. The agency reviewed the available data and concluded that the current regulatory framework and safety labeling were adequate. No changes were warranted based on the information provided in the petition.
FDA-2020-P-1305-0002_Acknowledgment_Letter_from_FDA_DMS_to_Dr__S__Alber.pdf,"April 24, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,Not Mentioned,The FDA acknowledged receipt of a petition requesting the revocation or withdrawal of the Emergency Use Authorization (EUA) for hydroxychloroquine and similar or related drug products. The letter clarifies that acceptance of the petition is procedural and does not reflect any decision on the substantive merits of the request.
FDA-2020-P-1312-0002_Acknowledgment_Letter_from_FDA_DMS_to_Foley___Lard.pdf,"April 29, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,"21 CFR 314.94(a)(8)(iv), Section 505(j)(2)(A)(viii) and Section 505(j)(5)(F) of the Federal Food, Drug, and Cosmetic Act",The FDA acknowledged receipt of a petition requesting regulatory actions regarding the approval and labeling of generic versions of Lonsurf® Tablets. The letter clarified that the acceptance of the petition is procedural and does not reflect any decision on the substantive merits of the petition.
FDA-2020-P-1334-0034_Interim_Response_from_FDA_CDER_to_TherapeuticsMD__.pdf,"October 23, 2020",Center for Drug Evaluation and Research (CDER),Interim response; no decision made yet,21 CFR 10.30(e)(2),"The FDA issued an interim response stating that it has not yet reached a decision on the citizen petition concerning generic versions of Imvexxy (estradiol vaginal inserts). The petition raises complex issues requiring extensive review and analysis, including concerns over product labeling, manufacturing methods, and product-specific guidance. The agency will provide a full response once its review is complete."
FDA-2020-P-1344-0007_Response_Letter_from_FDA_CDER_to_Lachman_Consultan.pdf,"October 12, 2023",Center for Drug Evaluation and Research (CDER),Determined that the drug was not withdrawn for safety or effectiveness reasons,Not Mentioned,"The FDA reviewed its records and determined that the sterile dry powder excipient-free formulation and the sterile dry powder with sodium chloride formulation of Cytoxan (cyclophosphamide) for Injection (500 mg/vial, 1 g/vial, and 2 g/vial) were not withdrawn from sale for reasons of safety or effectiveness. As such, these products may remain listed in the 'Discontinued Drug Product List' section of the Orange Book."
FDA-2020-P-1356-0002_Acknowledgment_Letter_from_FDA_DMS_to_Qilu_Pharmac.pdf,"May 8, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,Not Mentioned,The FDA acknowledged receipt of a petition requesting the designation of a second reference listed drug (RLD) for Piperacillin and Tazobactam for Injection due to drug shortage of the currently designated RLD/RS (Zosyn). The letter clarified that the acceptance of the petition is procedural and does not reflect a decision on its substantive merits.
FDA-2020-P-1369-0003_Interim_Response_Letter_from_FDA_CDER_to_Hyman__Ph.pdf,"November 4, 2020",Center for Drug Evaluation and Research (CDER),Interim response; no decision made yet,21 CFR 10.30(e)(2),"The FDA issued an interim response because the agency has not yet completed its review of the petition requesting that ANDA 207127 (Pyrimethamine Tablets, 25 mg) be designated as a reference standard. The delay is attributed to the need to address other agency priorities. A final decision will be issued once the review is complete."
FDA-2020-P-1390-0002_Acknowledgment_Letter_from_FDA_DMS_to_Varun_Verada.pdf,"May 15, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,Not Mentioned,"The FDA acknowledged receipt of a petition requesting amendments to all parts of 21 CFR that refer to 'calorie' as the unit of food energy, proposing replacement with the SI unit 'joule' (specifically kilojoules). The petition also requested changes to Nutrition Facts and Supplement Facts labels to display energy in kilojoules, optionally including calories for backward compatibility. The letter clarified that acceptance is procedural and does not reflect a decision on the petition’s substantive merits."
FDA-2020-P-1393-0003_Approval_of_Suitability_Petition_from_FDA_CDER_to_.pdf,"August 24, 2023",Center for Drug Evaluation and Research (CDER),Approved,"Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 CFR 314.93; 21 CFR 314.93(e)(1); 21 CFR 314.94(a)(3)(iii); 21 CFR 505(j)(2)(A); 21 CFR 505(j)(2)(B); 21 CFR 505(j)(2)(A)(iv)","The FDA approved the petition to submit an Abbreviated New Drug Application (ANDA) for Levetiracetam in Sodium Chloride Injection, 750 mg/100 mL (7.5 mg/mL), a strength not currently listed. The proposed change in strength was found not to raise safety or effectiveness concerns, aligns with dosing recommendations of the reference drug, and does not require significant labeling changes or additional investigations. The agency determined that the ANDA may be submitted, provided that it meets all standard application and bioequivalence requirements."
FDA-2020-P-1403-0002_Acknowledgment_Letter_from_FDA_DMS_to_Hyman__Phelp.pdf,"May 20, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,Not Mentioned,"The FDA acknowledged receipt of a petition requesting the designation of both Doxycycline Hyclate for Injection, 100 mg and 200 mg Base/Vial (approved under ANDA 062475), as Reference Listed Drugs (RLDs) for ANDA submissions containing mannitol as an excipient. The letter states that acceptance of the petition is procedural and does not reflect a decision on the substantive merits of the petition."
FDA-2020-P-1405-0031_Interim_Response_letter_from_FDA_CDER_to_bioMerieu.pdf,"October 15, 2020",Center for Drug Evaluation and Research (CDER),Interim response; no decision made yet,21 CFR 10.30(e)(2),"The FDA issued an interim response because the petition raised complex issues, including requests to recognize recombinant Factor C (rFC) as an equivalent method for bacterial endotoxin testing, amend biologics regulations and guidances, and issue an Emergency Use Authorization for rFC in COVID-19 testing. These matters require extensive review and analysis before a final decision can be made."
FDA-2020-P-1416-0041_Response_Letter_to_Citizen_Petition_from_FDA_CBER_.pdf,"April 20, 2021",Center for Biologics Evaluation and Research (CBER),Denied,"21 CFR 600.3(s), 21 CFR 601.2, 21 CFR 601.20(a), 21 CFR 601.20(c), 21 CFR 610.1, 21 CFR 610.10, 21 CFR 312.23(a)(7)(i), 21 CFR 312.23(a)(7)(ii), 21 CFR 10.30(e)(2)","The FDA denied the petition requesting updates to guidance documents to include real-time glutathione (GSH) monitoring assays as acceptable potency tests for cell-based therapies. The agency emphasized that potency tests must be evaluated on a product-specific basis and that their guidance documents are intended to provide general recommendations rather than specify acceptable potency assays. The petition’s assertion that GSH assays meet FDA requirements was deemed insufficient for universal application. Additionally, FDA found it inappropriate to include GSH assays in guidance for cord blood products since they were not part of the original clinical data used to establish current recommendations. However, the agency acknowledged that a sponsor may propose the use of GSH assays, such as FreSHtracer, in a Biologics License Application, provided they are validated and meet regulatory requirements."
FDA-2020-P-1421-0041_Final_decision_from_FDA_CDER_to_Encore_Dermatology.pdf,"October 16, 2020",Center for Drug Evaluation and Research (CDER),Denied,"21 CFR 10.30(e)(2), 21 CFR 314.105, 21 CFR 314.125, 21 CFR 314.127, 21 CFR 314.110, 21 CFR 314.200, 21 CFR 314.430, Section 505(q) of the Federal Food, Drug, and Cosmetic Act (21 U.S.C. 355(q))","The FDA denied the petition submitted by Encore Dermatology, which requested that the Agency refuse to approve any ANDA for a clobetasol propionate topical cream using propylene glycol instead of DEGEE. FDA explained that it could not make a determination regarding the approvability of specific pending ANDAs outside of the application review process. The Agency emphasized that application-specific decisions must be based on the totality of data submitted and that procedural rights of applicants cannot be bypassed through the citizen petition process. Therefore, the petition was denied without comment on the approvability of any specific application."
FDA-2020-P-1443-0001_Acknowledgment_Letter_from_FDA_DMS_to_Elanco_Anima.pdf,"May 29, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,"21 C.F.R. § 10.115(d)(3), Section 512(e)(1) and Section 701(h) of the Federal Food, Drug, and Cosmetic Act (FDCA), Administrative Procedure Act",The FDA acknowledged receipt of a petition requesting that the agency begin withdrawal procedures for Huvepharma’s ANADA for generic Monovet and halt approval of future ANADAs for generic monensin products unless specific bioequivalence testing standards are met. The FDA clarified that the petition's acceptance is procedural and does not reflect a decision on its substantive merits.
FDA-2020-P-1478-0048_Interim_Response_Letter_from_FDA_CFSAN_to_The_Suga.pdf,"November 30, 2020",Center for Food Safety and Applied Nutrition (CFSAN),Interim response; no decision made yet,21 CFR 10.30(e)(2),"The FDA issued an interim response acknowledging receipt of the petition from The Sugar Association and stating that the issues raised require further review and analysis. As a result, the agency has not yet reached a final decision on the petition and will respond fully once its evaluation is complete."
FDA-2020-P-1511-0011_Final_Response_Letter_from_FDA_CDER_to_Annora_Phar.pdf,"February 17, 2021",Center for Drug Evaluation and Research (CDER),Determined that the drug was not withdrawn for safety or effectiveness reasons,Not Mentioned,"The FDA determined that Nymalize (nimodipine), oral solution, 3 mg/mL, was not withdrawn from sale for reasons of safety or effectiveness. Therefore, the product will remain listed in the 'Discontinued Drug Product List' section of the Orange Book."
FDA-2020-P-1523-0004_Final_Response_Letter_from_FDA_CFSAN_to_WineAmeric.pdf,"July 13, 2022",Center for Food Safety and Applied Nutrition (CFSAN),Denied,"21 CFR § 101.9(c)(6), 21 CFR § 101.9(c)(1)(i)(F), 21 CFR § 101.9(c)(6)(iv), 21 CFR § 101.9(c)(1), 21 CFR § 182.1320, 21 CFR § 10.30(e)(3), 21 CFR § 10.30(e)(2), 21 CFR § 101.11, Section 512(e)(1), Section 701(h) of the FD&C Act, 21 CFR § 10.115(d)(3)","The FDA denied the petition requesting that wine producers be allowed to use the 'quantitation and summation of sugars' method for labeling carbohydrate content instead of the current 'carbohydrate determination by difference' method. The FDA found the data presented in the petition insufficient and lacking validation. Specifically, data from unverified sources such as student reports and websites lacked peer-reviewed support. The agency also noted that the magnitude of the potential carbohydrate overstatement (approximately 1–2 grams per 5 oz of wine) is small and unlikely to significantly impact labeling. Furthermore, alternative analytical methods cited (AOAC 985.09 and 2013.12) were found to be inappropriate or insufficiently validated for regulatory use in measuring total carbohydrates in wine."
FDA-2020-P-1540-0005_Final_Response_Letter_from_FDA_CDER_to_Alliance_fo.pdf,"May 12, 2023",Center for Drug Evaluation and Research (CDER),Denied,"21 CFR § 101.9(c)(6), 21 CFR § 101.9(c)(1)(i)(F), 21 CFR § 101.9(c)(6)(iv), 21 CFR § 101.9(c)(1), 21 CFR § 182.1320, 21 CFR § 10.30(e)(2), 21 CFR § 10.30(e)(3), 21 CFR § 10.115(d)(3), Section 505(o)(4) of the FD&C Act, Section 502(f)(1) of the FD&C Act, Section 502(c) of the FD&C Act, Section 701(h) of the FD&C Act","The FDA denied the petition requesting additional pneumonia risk warnings on PPI product labeling. While some observational studies show an association between PPI use and community- or hospital-acquired pneumonia (CAP and HAP), FDA concluded there is insufficient evidence of a causal relationship. The agency cited limitations in observational study designs, inconsistency in findings, lack of evidence from randomized controlled trials (RCTs), and potential confounding factors such as GERD itself increasing pneumonia risk. FDA also noted no compelling pharmacological mechanism and emphasized the need for reasonable evidence of causality to mandate labeling changes."
FDA-2020-P-1549-0007_Final_Response_Letter_from_FDA_CDER_to_Windels_Mar.pdf,"February 17, 2021",Center for Drug Evaluation and Research (CDER),Determined that the drug was not withdrawn for safety or effectiveness reasons,Not Mentioned,"The FDA determined that Nymalize (nimodipine), oral solution, 3 mg/mL, was not withdrawn from sale for reasons of safety or effectiveness. Therefore, the drug will remain listed in the 'Discontinued Drug Product List' section of the Orange Book."
FDA-2020-P-1575-0002_Acknowledgment_Letter_from_FDA_DMS_to_Francis_E__O.pdf,"June 17, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,Not Mentioned,The FDA acknowledged receipt of the petition submitted by Francis E. O. regarding a regulatory matter. The letter clarified that this acknowledgment is procedural and does not represent a decision on the substantive merits of the petition.
FDA-2020-P-1582-0005_Response_Letter_from_FDA_CFSAN_to_The_Council_for_.pdf,"January 26, 2023",Center for Food Safety and Applied Nutrition (CFSAN),Denied,"21 U.S.C. 321(ff)(3)(B), 21 U.S.C. 350b, 21 CFR 10.30, 21 CFR 190.6, 21 U.S.C. 342(f)(1)(B), 7 U.S.C. § 1639r(c)","The FDA denied the petition due to significant safety concerns regarding the use of cannabidiol (CBD) as a dietary supplement. These concerns include potential harm to the liver, reproductive system, and interactions with other medications. The FDA concluded that current evidence does not demonstrate a safe level of CBD and that CBD does not meet the safety standard for dietary supplements under the FD&C Act. The agency also stated that the exclusion clause in section 201(ff)(3)(B) of the FD&C Act still applies and that the 2018 Farm Bill did not alter FDA's regulatory authority in this context."
FDA-2020-P-1601-0069_Denial_Letter_from_FDA_CBER_to_Siri___Glimstad_LLP.pdf,"December 11, 2020",CBER (Center for Biologics Evaluation and Research),Denied,"21 CFR § 10.30(e)(3), 21 CFR § 10.35(e), 42 U.S.C. § 262(a)(2)(C)(i)(I), 21 CFR § 601.2(a), 21 CFR § 601.2(d), 21 U.S.C. § 360bbb-3, 21 CFR § 312.2, 21 CFR § 312.20(a), 21 CFR § 312.22(a), 21 CFR § 312.42(b)(2)(ii), 21 CFR § 314.126, 21 CFR § 312.32(c)(1)(i)","The FDA denied the petitions on the basis that they did not present reasonable grounds for the requested actions. The FDA concluded that its existing regulations and guidance already ensure robust oversight, including safety monitoring and appropriate trial design for COVID-19 vaccines. The FDA argued that requiring all trials to use saline placebos, opaque vials, equal group sizes, or extended adverse event tracking would not necessarily improve trial outcomes and might hinder scientific progress. Additionally, the FDA highlighted that imposing such requirements would unnecessarily limit sponsors' flexibility to design scientifically and ethically justified trials, which are already subject to case-by-case review and rigorous FDA oversight."
FDA-2020-P-1605-0002_Acknowledgment_Letter_from_FDA_DMS_to_Novitium_Pha.pdf,"June 23, 2020","Dockets Management Staff, FDA/Office of Operations (OO)",Procedural acknowledgment only; no substantive decision issued,Not Mentioned,The letter states that the acceptance of the petition for filing is a procedural matter and does not reflect an agency decision on the substantive merits of the petition
FDA-2020-P-1611-0017_Denial_Response_from_FDA_CDER_to_Public_Citizen.pdf,"May 19, 2023",Center for Drug Evaluation and Research (CDER),Denied,"21 CFR 201.56, 21 CFR 201.57, 21 CFR 201.100(c), 21 CFR 201.80, 21 CFR 201.57(c)(5), 21 CFR 201.57(c)(1), 21 CFR 201.57(c)(6)(i), Sections 201(n) and 502(a) of the Federal Food, Drug, and Cosmetic Act, Section 505(o)(4) of the Federal Food, Drug, and Cosmetic Act","The FDA concluded that although SGLT2 inhibitors are not approved for use in type 1 diabetes mellitus (T1DM), existing labeling appropriately warns of the associated risks, such as diabetic ketoacidosis (DKA), in the WARNINGS AND PRECAUTIONS section. The FDA determined that current evidence does not warrant a contraindication or boxed warning and that existing safety labeling already reflects essential information for prescribers. Data cited in the petition were deemed insufficient or problematic due to variability in trial quality, lack of peer review, inconsistent DKA adjudication, and limitations in the meta-analysis and adverse event data interpretation."
FDA-2020-P-1617-0004_Interim_Response_letter_from_FDA_CDER_to_E4_Consul.pdf,"December 18, 2020","Center for Drug Evaluation and Research (CDER), Office of Regulatory Policy",Interim response; no final decision yet,21 CFR 10.30(e)(2),"The FDA stated that the petition raises complex issues requiring extensive review and analysis, and therefore a final decision has not yet been reached. The interim response is issued in accordance with FDA regulations on citizen petitions."
FDA-2020-P-1626-0003_Interim_Response_Letter_from_FDA_CDER_to_Hyman__Ph.pdf,"December 11, 2020","Center for Drug Evaluation and Research (CDER), Office of Regulatory Policy",Interim response; no final decision yet,21 CFR 10.30(e)(2),"The FDA stated that the petition raises complex issues that require extensive review and analysis by Agency officials. As a result, a final decision has not yet been reached, and an interim response is issued in accordance with the relevant regulations."
FDA-2020-P-1633-0006_Final_Response_Letter_from_FDA_CBER_to_Foley_Hoag_.pdf,"November 29, 2022",Center for Biologics Evaluation and Research (CBER),Granted in part and denied in part,"42 U.S.C. 262(i), 21 U.S.C. 321(g), 42 U.S.C. 262(a)(2)(C), 42 U.S.C. 262(a)(3), 21 U.S.C. 355(i), 21 CFR Part 312, 21 CFR 10.25(a), 21 CFR 10.3(a), 21 CFR 10.30(e), 21 CFR 10.30(k)","The FDA finalized the 2016 draft guidance with the 2022 FMT Enforcement Policy Guidance, which maintains enforcement discretion under limited circumstances but excludes stool banks due to safety concerns. FDA considered the request to expand or revise its enforcement policy but found no need for further guidance or policy revisions at this time. The Agency also declined to state that the guidance is interim or commit to future changes based on hypothetical product approvals, emphasizing ongoing policy evaluation as scientific evidence evolves."
FDA-2020-P-1641-0002_Acknowledgment_Letter_from_FDA_DMS_to_John_J_Colem.pdf,"July 8, 2020","Dockets Management Staff, FDA/Office of Operations (OO)",Procedural acknowledgment only; no substantive decision issued,Not Mentioned,The letter states that the acceptance of the petition for filing is a procedural matter and does not reflect an agency decision on the substantive merits of the petition.
FDA-2020-P-1650-0004_Final_Response_to_Citizen_Petition_from_FDA_CDER_t.pdf,"December 21, 2020","Center for Drug Evaluation and Research (CDER), Office of Regulatory Policy",Denied (FDA determined the drug was not withdrawn for safety or effectiveness reasons),Not Mentioned,"FDA reviewed its records and concluded that Dobutrex (dobutamine hydrochloride) was not withdrawn from sale for reasons of safety or effectiveness. Therefore, it will remain listed in the Discontinued Drug Product List section of the Orange Book."
FDA-2020-P-1653-0002_Acknowledgment_Letter_from_FDA_DMS_to_Aurobindo_Ph.pdf,"July 13, 2020","Dockets Management Staff, FDA/Office of Operations (OO)",Procedural acknowledgment only; no substantive decision issued,Not Mentioned,The letter clarifies that acceptance of the petition for filing is a procedural matter and does not reflect a decision on the substantive merits of the petition.
FDA-2020-P-1674-0022_Response_Letter_from_FDA_CDER_to_Putting_Rare_Dise.pdf,"September 17, 2021",Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. 360n (FD&C Act §524), 21 U.S.C. 321(g), 21 U.S.C. 355(i), 21 CFR Part 312, 21 U.S.C. 355f (FD&C Act §505E(d)), 21 U.S.C. 360ff (FD&C Act §529), 21 U.S.C. 360bb (FD&C Act §526)","The FDA denied the petition to add sickle cell disease to the Neglected Tropical Disease Priority Review Voucher list because, by statutory definition, tropical diseases must be infectious. Sickle cell disease is a genetic condition and thus does not meet the criteria. The FDA also denied the creation of a new PRV list for non-infectious diseases affecting underserved populations, stating this falls outside the authority granted by the current law. However, FDA acknowledged the importance of treatments for sickle cell disease and pointed to other available incentive programs such as rare pediatric disease and orphan drug designations."
FDA-2020-P-1678-0004_Interim_Response_from_FDA__to_Cardinal_Health_Regu.pdf,"January 15, 2021","Center for Drug Evaluation and Research (CDER), Office of Regulatory Policy",Interim response; no final decision yet,21 CFR 10.30(e)(2),The FDA stated that a final decision has not been reached due to the need to address other agency priorities. An interim response is being provided in accordance with the regulations governing citizen petitions.
FDA-2020-P-1689-0014_Response_Letter_from_FDA_CBER_to_Lassman_Law___Pol.pdf,"December 18, 2024",Center for Biologics Evaluation and Research (CBER),"Denied (first request), Moot (second request)","21 CFR 10.30(e)(3), 21 CFR 601.3(a), 21 CFR 601.3(b), 42 U.S.C. § 262(a), 21 CFR 600.3(s), 21 CFR 314.126, 21 CFR 312.80, 21 CFR 314.126(b)(2)(v), 21 U.S.C. § 355(d), 21 U.S.C. § 360ff, 21 U.S.C. § 355f","The FDA denied the petition to delay approval of RYONCIL (remestemcel-L) for pediatric steroid-refractory acute graft-versus-host disease (SR-aGVHD) on the basis that the submitted Biologics License Application met the regulatory standards for substantial evidence of effectiveness. This conclusion was based on an adequate and well-controlled single-arm study (MSB-GVHD001) and confirmatory pharmacodynamic evidence. The FDA determined that a randomized controlled trial was not required given the life-threatening nature of the disease, the unmet need for this pediatric population, and the appropriateness of a historically controlled design in this context. The second request, to provide the petition to an Advisory Committee, was ruled moot since the petition had already been shared at a prior advisory meeting."
FDA-2020-P-1718-0013_Response_Letter_to_Citizen_Petition_from_FDA_CFSAN.pdf,"January 19, 2021",Center for Food Safety and Applied Nutrition (CFSAN),Denied,"21 CFR 10.30(b), 21 CFR 10.30(e)(2), 21 U.S.C. § 343(a)(1), 21 U.S.C. § 321(n), 21 CFR 101.13(i)(3), 21 CFR 101.14(a)(1), 21 CFR 101.14(c), 21 CFR 101.14(d)(2), 21 CFR 101.14(e)(6), 21 CFR 101.70, 21 CFR 101.9(k)(1), 21 CFR 101.9(k)(2), 21 CFR 101.9(k)(4), 21 CFR 101.93","The FDA denied the petition requesting changes to food labeling regulations to allow structure/function claims for conventional foods without meeting the current significant scientific agreement (SSA) standard. The FDA maintained that such changes would undermine consumer protections against misleading claims, emphasizing that existing statutory and regulatory requirements ensure labeling is truthful and not misleading. FDA also noted that there is already an established process for qualified health claims where SSA is not met, and that the petition did not provide sufficient evidence to support revising the regulations for structure/function claims on conventional foods."
FDA-2020-P-1725-0008_Final_Response_Letter_from_FDA_CDER_to_Knowledge_E.pdf,"November 21, 2023",Center for Drug Evaluation and Research (CDER),Denied,"21 CFR 202.1, 21 U.S.C. § 352(n), 21 U.S.C. § 321(n), 21 CFR 202.1(e), 21 CFR 202.1(e)(2)(i), 21 CFR 202.1(e)(5), Public Law 110–85 (FDAAA), 21 CFR 202.1(e)(1)","The FDA denied the request to amend regulations to categorically ban background music during risk presentations in direct-to-consumer prescription drug ads. The FDA emphasized its current regulatory framework already allows it to evaluate the use of background music in context, considering whether it undermines effective risk communication. Existing rules require clear and balanced risk disclosures, and newly finalized regulations further address risk presentation in TV and radio ads. The FDA maintains that case-by-case evaluation is more appropriate than a blanket ban and noted constitutional and policy considerations in any future rulemaking."
FDA-2020-P-1728-0002_Acknowledgment_Letter_from_FDA_DMS_to_Tenshi_Kaize.pdf,"August 3, 2020","Dockets Management Staff, FDA/Office of Operations (OO)",Procedural acknowledgment only; no substantive decision issued,Not Mentioned,The letter indicates that the petition was received and assigned a docket number. It clarifies that the acceptance of the petition for filing is a procedural matter and does not reflect an agency decision on the substantive merits of the petition.
FDA-2020-P-1730-0006_Final_Response_Letter_from_FDA_CDER_to_Hyman__Phel.pdf,"July 8, 2024",Center for Drug Evaluation and Research (CDER),Denied,"21 CFR 314.93, 21 CFR 314.93(e)(1)(vi), 21 CFR 314.93(e)(1)(iv), Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act","The FDA denied the petition to submit an ANDA for Loperamide Hydrochloride Capsules in both 1 mg and 4 mg strengths. The 1 mg strength was denied because a drug with this strength was already approved under NDA 021855, violating the criterion that no approved NDA exist for the requested change. The 4 mg strength was denied due to safety concerns, as this strength would require significant labeling changes regarding cardiac risks and overdose potential. Such changes would jeopardize safe use and exceed permissible differences for ANDA submission."
FDA-2020-P-1766-0002_Acknowledgment_Letter_from_FDA_DMS_to_The_Weinberg.pdf,"August 14, 2020","Dockets Management Staff, FDA/Office of Operations (OO)",Procedural acknowledgment only; no substantive decision issued,Not Mentioned,The letter indicates that the petition was received and assigned a docket number. It clarifies that the acceptance of the petition for filing is a procedural matter and does not reflect an agency decision on the substantive merits of the petition.
FDA-2020-P-1768-0049_Final_Response_Letter_from_FDA_CBER_to_Siri___Glim.pdf,"July 18, 2023",Center for Biologics Evaluation and Research (CBER),Dismissed as moot,"21 CFR 10.30(e), 21 CFR 10.35(e)","The FDA dismissed the petitions related to the ChAdOx1 nCoV-19 vaccine because AstraZeneca publicly announced it would not submit a Biologics License Application (BLA) for the vaccine in the U.S. As a result, the requested FDA actions regarding the study design before licensure were rendered moot, and there were no regulatory issues remaining to resolve."
FDA-2020-P-1769-0011_Response_letter_to_Siri___Glimstad_LLP_from_FDA_CB.pdf,"December 18, 2020",Center for Biologics Evaluation and Research (CBER),Denied,"21 CFR 10.30(e)(3), 21 CFR 10.35(e), 21 CFR 312.2, 21 CFR 312.20(a), 21 CFR 312.22(a), 21 CFR 312.32(c)(1)(i), 21 CFR 312.42, 21 CFR 601.2(a), 21 CFR 601.2(d), 42 U.S.C. § 262(a)(2)(C)(i)(I), 21 U.S.C. § 360bbb-3","The FDA denied the petition requesting changes to the Phase III trial design of Moderna’s mRNA-1273 COVID-19 vaccine. The agency found no reasonable grounds for requiring documentation of all adverse events for extended periods, expanded sample sizes, or mandatory T-cell reactivity testing. It stated that the existing study design met regulatory requirements, was informed by scientific evidence, and ensured safety and efficacy through randomized controls and robust follow-up. FDA emphasized that excessive data collection could obscure meaningful safety signals and complicate analysis, and that randomization sufficiently balanced confounders like preexisting immunity. Therefore, the petition was denied under applicable statutory and regulatory provisions."
FDA-2020-P-1770-0037_Denial_Response_Letter_from_FDA_CBER_to_Siri___Gli.pdf,"December 11, 2020",Center for Biologics Evaluation and Research (CBER),Denied,"21 CFR 10.30(e)(3), 21 CFR 10.35(e), 21 CFR 312.2, 21 CFR 312.20(a), 21 CFR 312.22(a), 21 CFR 312.32(c)(1)(i), 21 CFR 312.42, 21 CFR 601.2(a), 21 CFR 601.2(d), 42 U.S.C. § 262(a)(2)(C)(i)(I), 21 U.S.C. § 360bbb-3","The FDA denied the citizen petitions and petition for administrative stay of action concerning the Phase III trial of the BNT162b COVID-19 vaccine. The FDA found no reasonable grounds for the requested actions, such as extending the duration of adverse event documentation, increasing sample size, or mandating T-cell reactivity testing. The agency concluded that the trial design met regulatory standards and scientific rigor, including safety monitoring protocols, sample sizes adequate to detect rare adverse events, and randomized controls that account for confounders like preexisting immunity. The FDA further held that the trial's structure allowed for clear evaluation of safety and efficacy, and the public interest weighed against halting the trial."
FDA-2020-P-1771-0002_Acknowledgment_Letter_from_FDA_DMS_to_Windels_Marx.pdf,"August 18, 2020","Dockets Management Staff, FDA/Office of Operations (OO)",Procedural acknowledgment only; no substantive decision issued,Not Mentioned,"The letter states that the petition was received and assigned a docket number, and that its acceptance is purely procedural and does not reflect any decision on the petition's substantive merits."
FDA-2020-P-1775-0002_Acknowledgment_Letter_from_FDA_DMS_to_Novitium_Pha.pdf,"August 19, 2020","Dockets Management Staff, FDA/Office of Operations (OO)",Procedural acknowledgment only; no substantive decision issued,Not Mentioned,The letter confirms receipt of the petition and clarifies that the petition’s acceptance for filing is a procedural matter and does not indicate any decision on the petition’s substantive merits.
FDA-2020-P-1792-0002_Acknowledgment_Letter_from_FDA_DMS_to_Macleods_Pha.pdf,"August 21, 2020","Dockets Management Staff, FDA/Office of Operations (OO)",Procedural acknowledgment only; no substantive decision issued,Not Mentioned,The letter acknowledges receipt of the petition and clarifies that its acceptance for filing is a procedural matter that does not indicate any decision on the substantive merits of the petition.
FDA-2020-P-1797-9319_Final_Response_from_FDA__CTP_to_Keller_and_Heckman.pdf,"February 12, 2021",Center for Tobacco Products (CTP),"Dismissed as moot and, in the alternative, denied","21 CFR 10.30(e)(2)(iii), 21 CFR 10.30(k), 21 CFR 10.45, Sections 905 and 910 of the Federal Food, Drug, and Cosmetic Act","The FDA dismissed the petition as moot because the requested extension of the September 9, 2020 PMTA deadline had already passed. In the alternative, the petition was denied because FDA independently adopted the same deadline based on public health priorities and guidance. The agency emphasized its commitment to enforcing requirements for ENDS products lacking premarket authorization and noted that applicants’ efforts and COVID-19-related challenges would be considered during scientific review and enforcement decisions."
FDA-2020-P-1831-0039_Response_Letter_from_FDA_CDER_to_Meenal_Kheterpal_.pdf,"March 28, 2023",CDER (Center for Drug Evaluation and Research),Denied,Not Mentioned,The FDA denied the petition because it did not provide sufficient scientific evidence or legal basis to support the requested actions.
FDA-2020-P-1844-0002_Acknowledgment_Letter_from_FDA_DMS_to_HYMAN__PHELP.pdf,"September 2, 2020","Dockets Management Staff, FDA/Office of Operations (OO)",Procedural acknowledgment only; no substantive decision issued,Not Mentioned,The letter confirms receipt of the petition and clarifies that its acceptance is a procedural formality and does not reflect any judgment on the substantive merits of the petition.
