File Name,Date of Response,Date Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,Status of Review,Review Comments
FDA-2017-P-2043-0005_Interim_Response_Letter_to_Yiling_Pharmaceutical__.pdf,9/27/2017,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"- 21 CFR § 10.30(e)(2) – Regulation requiring FDA to issue an interim response when it cannot respond to a citizen petition within 180 days
","- The petition requested that FDA designate an additional reference standard for ZOVIRAX (acyclovir) capsules, 200 mg, under NDA 018-828, in the Orange Book.
- FDA stated that it had not reached a decision due to the need to address other agency priorities.
- The interim response was issued per regulations and noted that the FDA would respond as soon as resources allowed
",FALSE,
FDA-2017-P-2043-0006_Response_Letter_from_FDA_to_Yiling_Pharmaceuticals.pdf,10/18/2017,,Center for Drug Evaluation and Research (CDER),Approved,"- 21 U.S.C. § 355(j) (Section 505(j) of the FD&C Act)
- 21 CFR § 314.3(b)
- 21 CFR § 314.94(a)(3)
- 57 FR 17950, 17958 (April 28, 1992)
- 81 FR 69580, 69619 (Oct. 6, 2016)","- The current reference listed drug (RLD) ZOVIRAX (acyclovir) 200 mg capsules was in backorder and unavailable since August 2016, making it difficult for the petitioner to obtain for bioequivalence testing.
- FDA determined that ANDA 075677 (Apotex) is therapeutically equivalent and the market leader.
- Therefore, it was appropriate to designate this ANDA as the new reference standard",FALSE,
FDA-2017-P-2044-0017_Final_Determination_Response_to_Nirsum_Pharmaceuti.pdf,11/3/2017,,"Center for Drug Evaluation and Research (CDER)
",Approved (Determination Issued),"Not Explicitly Mentioned in the letter. However, the decision references the Orange Book's ""Discontinued Drug Product List,"" which is governed by 21 CFR § 314.161 (implied but not stated).","- The petitioner requested a determination on whether Revex (nalmefene hydrochloride injection) was withdrawn for safety or effectiveness reasons.
- FDA reviewed its internal records and concluded the withdrawal was not for such reasons.
- As a result, the drug product will continue to be listed in the appropriate Orange Book section, allowing it to serve as a reference for future ANDA submissions
",FALSE,
FDA-2017-P-2092-0018_Interim_Response_Letter_from_CDER_to_Wilson_Sonsin.pdf,9/19/2017,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"- 21 U.S.C. § 355(j) (Section 505(j) of the FD&C Act)
- 21 CFR § 320.21
- 21 CFR § 320.23
- 21 CFR § 10.30(e)(2)","- The petition requested that no abbreviated new drug application (ANDA) for Epaned (enalapril maleate oral solution, NDA 208-686) be granted final approval unless it contains sufficient in vivo bioequivalence data as per applicable laws.
- FDA was unable to issue a final decision due to competing priorities and issued this letter in compliance with 21 CFR 10.30(e)(2), which mandates an interim response if final action is delayed",FALSE,
FDA-2017-P-2092-0019_Response_Letter_from_FDA_CDER_to_Wilson_Sonsini_Go.pdf,10/25/2019,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- 21 U.S.C. § 355(j) (Section 505(j) of the FD&C Act)
- 21 CFR § 314.94(a)(9)(ii)
- 21 CFR § 320.22(b)(1), (b)(3), and (d)
- 21 CFR § 320.24(b)
- 21 CFR § 314.127(a)(8)(ii)(A)
- 21 CFR § 314.127(a)(8)(i)
- 21 CFR § 314.70
- Section 505(q)(1)(H) of the FD&C Act","- The petition requested FDA to require that any ANDA referencing Epaned Oral Solution include in vivo bioequivalence (BE) studies and disallow biowaivers (waivers of in vivo testing).
- FDA disagreed, stating that regulations permit waivers where justified, and these are evaluated on a case-by-case basis, depending on formulation, excipients, and bioequivalence methods.
- FDA reviewed the bioequivalence data submitted with the NDA for Epaned and found that differences in excipients like sweeteners or buffers did not significantly impact bioavailability.
- Petition arguments regarding buffering agents, sweeteners, and excipient variability were not supported by sufficient scientific evidence.
- The Agency emphasized that determinations regarding biowaivers and BE testing will be made when an ANDA is submitted, based on totality of data including formulation and pharmacokinetics.
- FDA concluded that the petition lacked sufficient justification to impose blanket requirements.",FALSE,
FDA-2017-P-2128-0006_Memorandum_of_Suitability_Voluntarily_Withdrawn_Wi.pdf,6/13/2023,,"Center for Drug Evaluation and Research (CDER)
",Withdrawn,Not applicable. ,"- The original citizen petition was submitted by Jubilant Generics Limited on April 4, 2017.
- On March 17, 2023, FDA issued a letter to the petitioner requesting confirmation of continued interest.
- The letter indicated that if no response was received within 30 days, the petition would be considered withdrawn.
- No response was received from the petitioner.
- Consequently, FDA filed the letter and return receipt in the docket and treated the petition as voluntarily withdrawn without prejudice to resubmission
",FALSE,
FDA-2017-P-2129-0006_Memorandum_of_Suitability_Voluntarily_Withdrawn_Wi.pdf,6/13/2023,,"Center for Drug Evaluation and Research (CDER)
",Withdrawn,Not applicable. ,"- The citizen petition was submitted by Jubilant Generics Limited on April 4, 2017.
- FDA sent a certified letter dated March 17, 2023, requesting confirmation of interest in the petition to keep it active.
- The letter stated that failure to respond within 30 days would result in the petition being considered withdrawn.
- No response was received from the petitioner.
- As a result, the petition was treated as voluntarily withdrawn without prejudice to resubmission",FALSE,
FDA-2017-P-2162-0014_Letter_from_FDA_to_Hyman__Phelps___McNamara.pdf,9/1/2017,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- Section 505(q) of the Federal Food, Drug, and Cosmetic Act (FD&C Act) (21 U.S.C. § 355(q))
- 21 CFR §§ 314.105, 314.110, 314.125, 314.127, 314.200","- The petition was denied without comment because the FDA had not made a final decision on the approvability of any specific ANDA referencing Tyvaso as of the response date.
- FDA emphasized that decisions on approvability should follow the established NDA/ANDA review process, and that section 505(q) does not require FDA to preemptively rule on parts of pending applications.
- The response reiterates that the FDA must act within 150 days under 505(q), but it does not mean the Agency must render decisions on application specifics before completing the full review.
- The Agency stated it is prohibited from disclosing any determinations about pending ANDAs or NDAs prior to a final decision.",FALSE,
FDA-2017-P-2164-0005_Interim_Response_Letter_to_Steptoe___Johnson_LLP_d.pdf,6/29/2017,,"Center for Food Safety and Applied Nutrition (CFSAN)
",Interim Response,"21 CFR 10.30(e)(2)(iii) — Governs FDA’s obligation to issue an interim response when a final decision has not been reached within 180 days
","- The petition requested a stay and reconsideration of the FDA’s final rule on “Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments.”
- FDA explained that they were still reviewing the petition and that they had already extended the compliance date for the rule to May 7, 2018 (as published in the Federal Register on May 4, 2017, 82 Fed. Reg. 20825).
- FDA also noted they were extending the comment period on the interim final rule by another 30 days and encouraged further comments
",FALSE,
FDA-2017-P-2229-0013_Interim_Response_Letter_from_CFSAN_to_Covington___.pdf,10/4/2017,,"Center for Food Safety and Applied Nutrition (CFSAN)
",Interim Response,"21 CFR 10.30(e)(2) — FDA's regulation for responding to citizen petitions within 180 days
21 CFR 101.9(c)(6)(i) — Referenced in relation to the definition of dietary fiber that the petition sought to revoke","- The FDA acknowledged receipt of the petition requesting revocation of the definition of dietary fiber in 21 CFR 101.9(c)(6)(i).
- The agency explained it had not been able to reach a decision within the 180-day period due to competing priorities and limited resources.
- FDA stated that it would notify the petitioner once its review was complete
",FALSE,
FDA-2017-P-2229-0014_Interim_Response_Letter_from_CFSAN_to_American_Bak.pdf,10/4/2017,,"Center for Food Safety and Applied Nutrition (CFSAN)
",Interim Response,"21 CFR 10.30(e)(2) — FDA's regulation for responding to citizen petitions within 180 days
21 CFR 101.9(c)(6)(i) — Referenced in relation to the definition of dietary fiber that the petition sought to revoke","- The FDA acknowledged receipt of the citizen petition requesting revocation of the dietary fiber definition.
- A decision could not be reached within 180 days due to prioritization of other agency work and limited resources.
- The agency will notify the petitioner upon completion of their review
",FALSE,
FDA-2017-P-2229-0015_FDA_2017_P_2229___ABA_Letter.pdf,6/13/2018,,"Center for Food Safety and Applied Nutrition (CFSAN)
",Partially Denied,"- 21 CFR 101.9(c)(6)(i)
- 21 CFR 10.30
- 21 CFR 101.81
- 10.35(b), (e), and (g)
- FD&C Act Section 403(q)","- The FDA emphasized that its definition of dietary fiber is based on whether the fiber has beneficial physiological effects for human health.
- It rejected the petitioner’s claim that FDA applied “different standards” to intrinsic vs. synthetic fibers, clarifying both must meet the same scientific benchmark for physiological benefit.
- FDA declined to recognize fermentation and changes in the gut microbiota as beneficial effects themselves, though they may result in beneficial effects like satiety.
- FDA explained it already provides a mechanism for recognizing new dietary fibers and clarified that no stay was needed as the compliance date was extended to 2020/2021
.
",FALSE,
FDA-2017-P-2230-0005_Citizen_Petition_Response_Letter_from_FDA_CDER_to_.pdf,9/7/2017,,Center for Drug Evaluation and Research (CDER),Partially Approved / Partially Denied,"- Section 505(j) of the Federal Food, Drug, and Cosmetic (FD&C) Act (21 U.S.C. 355(j))
- Section 505(b)(2) of the FD&C Act
- 21 CFR 314.3(b)
- 21 CFR 314.94(a)
- 21 CFR 314.127(a)
- 21 CFR 10.31(d)(1)
- 21 CFR 314.50(d)(1)(ii), 314.54(a)(1)(i), 314.94(a)(9)(i)","- Toxicology and E/L Study Request: FDA agreed that safety data including toxicology and extractable/leachable (E/L) data may be appropriate and are evaluated on a case-by-case basis for both ANDA and 505(b)(2) applications.
- Dermal Toxicity Studies: 9-month dermal toxicity studies are not categorically required; need depends on formulation differences and known safety data.
- E/L Studies: Generally expected unless a scientific justification warrants waiver.
- Patch-Disposal Unit Requirement: Denied. FDA concluded that the fold-and-flush method for disposal is sufficient. There is no requirement that a generic product replicate the Butrans Patch-Disposal Unit. Inclusion of the disposal unit was voluntary by Purdue and not necessary for FDA approval.
- FDA found no evidence that generics lacking a disposal system would pose greater safety risks than Butrans. ",FALSE,
FDA-2017-P-2233-0052_Interim_Response_from_FDA_to_Consumers_for_Dental_.pdf,10/26/2017,,"Center for Devices and Radiological Health (CDRH)
",Interim Response,"21 CFR 10.30(e)(2)
","The petition raises issues that require further review and analysis by agency officials. As a result, the FDA has not yet reached a decision. This interim response is issued in accordance with FDA regulations governing citizen petitions.

",FALSE,
FDA-2017-P-2233-0053_Final_Response_Letter_from_FDA_CDRH_to_Consumers_f.pdf,5/26/2022,,"Center for Devices and Radiological Health (CDRH)
",Partially Approved / Partially Denied,"• FD&C Act: Sections 501, 502, 510, 513, 516, 518, 519, 520
• 21 CFR: 10.30(e)(3), 10.40, 25.30, 25.34, 860.7(b), (c)(1–2), (d)(1), 872.3070
• Administrative Procedure Act: 5 U.S.C. 701 et seq.
• Minamata Convention on Mercury (referenced, not binding)
• Public Health Service Act, Clean Water Act (U.S. compliance framework for Minamata)","• Scientific Uncertainty: Insufficient evidence of harm from amalgam in vulnerable populations.
• Risk-Benefit Balance: Amalgam has clinical benefits (durability, ease of use).
• Lack of Causal Link: No strong evidence linking amalgam to adverse health outcomes.
• Prior Action Taken: 2020 Safety Communication already informs public and professionals.
• Not Legally Obligated: Minamata Convention not ratified; U.S. not bound to amend FDA rules.
• Labeling & Communication: FDA chose public brochures/web updates over mandatory patient labeling.
• Environmental Review Not Required: No major new federal action to trigger NEPA requirements.",FALSE,
FDA-2017-P-2245-0004_Interim_Response_Letter_from_CDER_to_Fresenius_Kab.pdf,10/4/2017,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,21 CFR 10.30(e)(2) – Regulation governing interim responses to citizen petitions,"The FDA cited the need to address other Agency priorities and stated that due to numerous demands on resources, a final response could not yet be issued. An interim response was provided in compliance with regulatory requirements
",FALSE,
FDA-2017-P-2365-0005_Interim_Response_Letter_from_CFSAN_to_Senators_Sch.pdf,10/11/2017,,Center for Food Safety and Applied Nutrition (CFSAN),Interim Response,21 CFR 10.30(e)(2) – Regulation governing interim responses to citizen petitions,"The FDA cited ""a number of competing priorities"" as the reason for not completing a decision within the required timeframe. The agency stated that review is ongoing and that a final decision will be communicated when available
",FALSE,
FDA-2017-P-2365-0006_Final_Response_Letter_from_FDA_to_The_Office_of_Se.pdf,12/19/2017,,"Center for Food Safety and Applied Nutrition (CFSAN)
",Denied,"21 CFR 10.30(e) – Regulation governing FDA responses to citizen petitions
","- Scientific Evaluation: FDA found insufficient data demonstrating that any detectable concentration of 1,4-dioxane renders a cosmetic product injurious under conditions of use.
- Contaminant Nature: 1,4-dioxane is not intentionally added but forms as a manufacturing byproduct; technologies exist to reduce it, and many manufacturers already use them.
- Historical Testing: FDA monitored cosmetic products from 1981–2008 and observed significant decline in contamination levels (e.g., 92% of 2008 samples ≤10 ppm).
- External Expert Input: ICCR and SCCS reports concluded current trace levels in cosmetics are within accepted safety margins.
- Future Actions: FDA plans to update product surveys and continue posting guidance on 1,4-dioxane to promote transparency and safety
",FALSE,
FDA-2017-P-2496-0005_Letter_from_FDA_to_KVK_Tech_Inc.pdf,9/6/2017,,"Center for Drug Evaluation and Research (CDER)
",Approved (Determination Issued),"- 21 CFR 10.30 – Procedures for citizen petitions
- 21 CFR 314.161 – Determining whether a listed drug was withdrawn from sale for safety or effectiveness reasons","- FDA Records Review: No evidence that Ritalin LA (60 mg) was withdrawn due to safety or effectiveness concerns.
- Independent Evaluation: FDA reviewed relevant literature and postmarketing data.
- Conclusion: The product was voluntarily discontinued for reasons other than safety or effectiveness, so it may serve as a reference listed drug for ANDAs
",FALSE,
FDA-2017-P-2530-0004_Final_Response_Letter_from_FDA_to_Lachman_Consulta.pdf,10/3/2017,,"Center for Drug Evaluation and Research (CDER)
",Approved (Determination Issued),"Not explicitly stated in the letter, but the decision aligns with procedures under 21 CFR 314.161 (commonly cited in such determinations).
","- FDA Records Review: Confirmed no safety or effectiveness concerns led to market withdrawal.
- Regulatory Outcome: Product will continue to serve as a reference listed drug for ANDA filings if other legal and regulatory requirements are met
",FALSE,
FDA-2017-P-2561-0009_STL_International_Reclassification_Petition__Final.pdf,6/18/2018,,Center for Devices and Radiological Health (CDRH),Denied,"- Section 513(e) of the FD&C Act (21 U.S.C. 360c(e))
- 21 U.S.C. 360c(a)(3) – Valid scientific evidence
- 21 CFR 860.7(c)(2) – Scientific evidence standard
- 21 CFR 860.120(b) – Generic device reclassification
- 21 CFR 860.123(a)(6) – Reclassification petition contents
- 21 CFR 860.3 – Definition of ""generic type of device""
- 21 CFR 890.5900 – Power traction equipment (class II)
- 21 CFR 888.5850 – Nonpowered orthopedic traction devices (class I)
- Section 513(a)(1)(A)(i) of the FD&C Act – Class I criteria","- Insufficient Scientific Evidence: The petition lacked valid scientific evidence to support that general controls alone would ensure safety and effectiveness.
- Powered Component Risks: FDA cited risks such as potential for pinching, patient fall due to motor/power failure, lack of electromagnetic compatibility, and electrical safety concerns.
- Device Classification Appropriateness: Although the petitioner argued the motor was only for inversion and not traction, the device was still found to fit within 21 CFR 890.5900 as it contained powered components.
- Generic Device Reclassification Requirement Not Met: The petition addressed only one device (Hang Ups InvertAlign) and failed to provide evidence necessary to reclassify all substantially equivalent devices within its generic group, as required by regulation.
- Regulatory Criteria: The device remains classified as class II under 21 CFR 890.5900 due to its powered nature and associated risks, which warrant special controls
",FALSE,
FDA-2017-P-2563-0042_Interim_Response_from_FDA_to_The_Tatia_Oden_French.pdf,10/19/2017,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"21 CFR 10.30(e)(2) – Regulation allowing interim responses to citizen petitions when a final decision is pending
","- The petition requested a Sentinel query to assess adverse events related to unapproved use of misoprostol (Cytotec) for labor induction.
- FDA stated the petition raises complex issues that require extensive review and analysis by agency officials.
- The agency has therefore issued an interim response, indicating that a final decision will be made once that review is complete
",FALSE,
FDA-2017-P-2563-0057_Letter_from_FDA_CDER_to_The_Tatia_Oden_French_Memo.pdf,12/18/2018,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- 21 CFR 10.30 – Citizen petition procedures
- Section 505 of the FD&C Act (implicitly referenced via discussion of drug labeling and approval)
- Specific regulatory citations are limited; much of the discussion is based on prior FDA decisions, risk assessment frameworks, and clinical literature rather than statutory mandates","- Current Labeling Adequacy: FDA determined the current Cytotec labeling adequately reflects safety information, including the risks associated with unapproved obstetric use.
- Prior Regulatory Action: The agency had previously updated Cytotec labeling and issued public information following a 2004 petition on the same issue, which was granted in 2012.
- Sentinel Query Not Warranted: A Sentinel query would not offer meaningful new safety insights due to complexity, lack of robust data on unapproved use, and existing safety data from other systems like FAERS.
- Limitations of Sentinel and FAERS: Both systems have limitations in capturing data specific to off-label uses and may not provide clearer risk profiles than already known.
- No Basis for New Labeling Requirement: Based on the totality of scientific literature, case reports, adverse event monitoring, and expert recommendations (e.g., ACOG, WHO), additional regulatory action or labeling changes were not justified
",FALSE,
FDA-2017-P-2626-0003_Interim_Response_Letter_from_FDA_CFSAN_to_Emord___.pdf,10/17/2017,,Center for Food Safety and Applied Nutrition (CFSAN),Interim Response,"21 CFR 10.30(e) – Regulation permitting interim responses to citizen petitions
","The FDA cited ""limited availability of resources and other agency priorities"" as the reason for not issuing a final decision within the 180-day period. The agency stated that it intends to complete the review and respond in the near future
",FALSE,
FDA-2017-P-2626-0007_Response_letter_from_FDA__CFSAN_Emord_and_Associat.pdf,10/8/2019,,"Center for Food Safety and Applied Nutrition (CFSAN)
",Denied,"21 CFR 10.30(k) – States that the citizen petition process does not apply to requests involving referral of matters to the United States Attorney or enforcement discretion
","- Jurisdictional Limitations: The FDA stated that citizen petitions cannot be used to request the agency to exercise enforcement discretion or to refer matters to the U.S. Attorney for enforcement.
- Scope of Regulation: Per 21 CFR 10.30(k), such enforcement-related decisions fall outside the scope of allowable citizen petition content.
- Conclusion: As the petition requested the FDA to forgo enforcement under specific labeling conditions for raw milk, it was not a request the FDA could consider under its citizen petition rules, and thus it was denied
",FALSE,
FDA-2017-P-2659-0004_Interim_Response_from_FDA_to_Jubilant_Generics.pdf,10/13/2017,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"21 CFR 10.30(e)(2) – Provision allowing FDA to issue interim responses to citizen petitions if unable to make a final decision within 180 days
","- Agency Workload and Priorities: The FDA cited the need to address other priorities and demands on its resources as the reason for the delay.
- Pending Review: FDA noted the issue remains under review and a full response will be issued when possible",FALSE,
FDA-2017-P-2659-0005_Final_Response_Letter_from_FDA_to_Jubilant_Generic.pdf,12/12/2017,,"Center for Drug Evaluation and Research (CDER)
",Approved (Determination Issued),"- 21 CFR 314.161 – Procedure for determining if a drug was withdrawn for safety or effectiveness reasons
- 21 CFR 314.162 – Removal of drug products from the Orange Book due to withdrawal for safety or effectiveness reasons
- Section 505(j)(7) of the FD&C Act (21 U.S.C. 355(j)(7)) – Drug listing in the Orange Book
- 21 CFR 10.30 – Citizen petition procedures","- FDA Review of Records: FDA reviewed internal records and found no evidence that Noroxin was withdrawn due to safety or effectiveness concerns.
- Independent Literature & Data Review: FDA reviewed available literature and postmarketing data for adverse events and found no safety-related withdrawal.
- Conclusion: The product was voluntarily discontinued for reasons other than safety or efficacy. It remains in the Orange Book under the ""Discontinued Drug Product List"" and may be referenced for ANDAs",FALSE,
FDA-2017-P-2660-0004_Interim_Response_from_FDA_CDER_to_Jubilant_Generic.pdf,10/23/2017,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"21 CFR 10.30(e)(2) – Regulation permitting issuance of interim responses to citizen petitions when a final decision cannot be made within 180 days
","- Pending Review: The petition requested a determination on whether Cardene SR (nicardipine hydrochloride) extended-release capsules (30 mg, 45 mg, and 60 mg) were withdrawn for safety or effectiveness reasons.
- Agency Prioritization: FDA had not completed its evaluation due to the need to address other pressing matters and limited resources.
- Regulatory Compliance: Issued this interim response in accordance with 21 CFR 10.30(e)(2), indicating ongoing review and commitment to respond when feasible",FALSE,
FDA-2017-P-2660-0006_Final_Response_from_FDA_CDER_to_Jubilant_Generics.pdf,10/27/2017,,"Center for Drug Evaluation and Research (CDER)
",Approved (Determination Issued),"- 21 CFR 314.161 (Implied but not explicitly stated in this letter)—FDA standard for determining withdrawal reasons.
- 21 CFR 10.30 – Citizen petition process (inferred from context; not directly cited).
- Orange Book Reference – Regulatory publication mentioned for drug listings.","- Internal Records Review: FDA concluded that the product was not withdrawn for safety or effectiveness reasons.
- Listing Status: The product remains in the ""Discontinued Drug Product List"" in the Orange Book.
- Eligibility for ANDA: Since the product was not withdrawn due to safety or efficacy, it can be referenced in ANDAs if all regulatory criteria are met
",FALSE,
FDA-2017-P-2733-0004_Interim_Response_Letter_from_FDA_CDER_to_Esophagea.pdf,10/26/2017,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"21 CFR 10.30(e)(2) – Permits interim responses to citizen petitions when additional time is needed for review
","- Complexity of Issues: The FDA noted that the petition raises complex issues that require extensive review and analysis.
- Regulatory Compliance: Issued this interim response in accordance with 21 CFR 10.30(e)(2), signaling that a full response will follow once a decision is reached",FALSE,
FDA-2017-P-2733-0006_Response_Letter_from_FDA_CDER_to_Esophageal_Cancer.pdf,10/4/2018,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- 21 CFR part 331 – OTC antacid product monograph
- 21 CFR 330.1 & 330.10(a)(4)(v) – General OTC drug conditions & labeling readability requirements
- 21 CFR 201.66 – Drug Facts Labeling (DFL) content & format
- 21 CFR 201.60 et seq. – Labeling framework for OTC drugs
- 21 U.S.C. 352(c) and 352(f)(1) – Misbranding and adequate directions for use
- FD&C Act Section 505 – NDA drug approval process","- Lack of Scientific Evidence: FDA reviewed multiple studies and concluded that there is no compelling evidence that OTC heartburn products lead to delayed diagnoses of esophageal cancer or reduce physician visits.
- Existing Labeling is Adequate: Current FDA-approved OTC labels already include warnings that advise users to see a doctor if symptoms persist, such as “had heartburn over 3 months” or “heartburn continues or worsens.” These labels are designed to promote appropriate self-care and flag serious symptoms like difficulty swallowing. 
- Consumer Comprehension: Label comprehension studies showed that over 96% of consumers understood the instructions, supporting that current labeling effectively communicates risk.
- Regulatory Constraints: FDA emphasized that OTC drug labels must be concise, readable, and focused on conditions appropriate for self-diagnosis and self-treatment, not exhaustive diagnostic tools.
- Consistency with Previous Decisions: FDA cited precedent with prior OTC approvals (e.g., Prilosec OTC) where similar concerns were addressed through labeling rather than new cancer warnings.
",FALSE,
FDA-2017-P-2803-0018_Petition_Response_Letter_from_FDA_CDER_to_Apotex__.pdf,9/29/2017,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- Section 505(q) of the FD&C Act (21 U.S.C. § 355(q))
- Section 351(k) of the Public Health Service (PHS) Act
- 21 CFR Part 601 (procedures for BLA review)
- 21 CFR 601.3, 601.4, 601.4(b) – related to BLA review, licensure decisions, and procedural rights","- Timeliness Requirement (150 Days): Under Section 505(q)(1)(F), FDA was required to respond to the petition within 150 days. Therefore, the agency denied the petition without addressing the specific requested actions.
- Procedural Protections for BLA Applicants: FDA stated that deciding individual aspects of a biosimilar application (e.g., specific study requirements) outside of the full Biologics License Application (BLA) review process would compromise applicant rights. The agency emphasized its obligation to evaluate each application holistically under the statutory and regulatory framework.
- Pending Applications: At the time of the response, FDA had not made a final decision on any BLA submitted under section 351(k) referencing Neulasta. Thus, it found it inappropriate to comment on the approvability of any specific requirements in isolation.
- Denial Without Substantive Comment: Although the petition raised scientific and regulatory issues, FDA explicitly denied the petition without commenting on the underlying requests for additional clinical studies or application withdrawals.",FALSE,
FDA-2017-P-2836-0003_Interim_Response_Letter_from_FDA_CDER_to_VKT_Pharm.pdf,10/26/2017,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"21 CFR 10.30(e)(2) – Regulation allowing interim responses to citizen petitions when more time is needed for full review
","- Pending Review Due to Priorities: FDA explained that it has been unable to reach a decision on the petition due to the need to address other agency priorities.
- Ongoing Evaluation: The letter reassures that the petition is under consideration and a full response will be provided as soon as possible given resource constraints",FALSE,
FDA-2017-P-2836-0004_Response_Letter_from_FDA_CDER_to__VKT_Pharma_Priva.pdf,8/28/2018,,"Center for Drug Evaluation and Research (CDER)
",Dismissed (moot),"Not explicitly cited by statute/regulation name in the body of the letter. However, the response references the Orange Book and the ANDA/NDA designation process, and mentions FDA’s draft guidance for industry: Ranitidine Hydrochloride (December 2009)
","- Action Already Taken: The FDA had already updated the Orange Book to reflect the discontinuation of GlaxoSmithKline’s ranitidine hydrochloride tablets (NDA 018703) and designated ANDA 077824 (Amneal Pharmaceuticals) as the new reference standard.
- Guidance Consistency: The selection of the 300 mg strength as the reference standard was consistent with FDA’s product-specific guidance recommending bioequivalence studies on the highest strength dosage form (300 mg).
- Regulatory Practice: FDA generally selects the highest strength available as the reference standard for multi-strength products
",FALSE,
FDA-2017-P-2967-0007_Final_Response_Letter_from_FDA_CDER_to_Lachman_Con.pdf,4/29/2024,"No date recognized by ChatGPT, but found in signature line.",Center for Drug Evaluation and Research (CDER),Approved,"- Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act (FD&C Act)
- 21 CFR 314.93 – Suitability petition procedures
- 21 CFR 314.93(e)(1) – Grounds for petition approval
- Section 505B of the FD&C Act (PREA) – Pediatric Research Equity Act
- 21 CFR 314.94(a)(3)(iii) – ANDA content referencing approved petitions","- Dosage Form Change Permissible: FDA concluded that the change from standard tablets to orally disintegrating tablets does not raise safety or efficacy concerns.
- Labeling & Use Alignment: The new dosage form matches the listed drug in dose, use, and route of administration, and is consistent with approved labeling for Lipitor®.
- Bioequivalence Expected: If the proposed product meets bioequivalence standards, it is expected to deliver the same therapeutic effect as the reference listed drug.
- PREA Considerations: Though the product is subject to PREA, FDA concluded that pediatric studies were not necessary due to limited pediatric use and no additional therapeutic benefit for that population.
- ANDA Requirements Remain: Approval of the petition does not guarantee approval of the ANDA itself, which must still meet all bioequivalence and regulatory criteria upon submission",FALSE,
FDA-2017-P-3064-0025_Letter_from_FDA_CDER_to__Pharmaceutical_Manufactur.pdf,7/27/2017,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"21 CFR § 10.30 and 21 CFR § 10.35
","- FDA cited ""many competing priorities.""
- Encouraged petitioner to submit the June 15 letter to the docket.
- Emphasized that review is ongoing.",FALSE,
FDA-2017-P-3064-0030_Petition_Response_Letter_from_FDA_CDER_to__Pharmac.pdf,10/19/2017,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- 21 CFR § 10.30
- 21 CFR § 10.35(e)","- The petitioner failed to demonstrate irreparable injury, as Roxybond was properly evaluated and its approval supported by evidence.
- No sound public policy grounds existed to delay approval; Roxybond met FDA’s safety and efficacy standards.
- Granting a stay was not in the public interest, as Roxybond was the first IR opioid with abuse-deterrent labeling, and its availability was viewed as part of FDA’s broader effort to address the opioid crisis.
- FDA had already provided interim responses to the 2016 and 2017 citizen petitions as permitted under regulation.
- The FDA emphasized that it is working under many competing priorities and would respond substantively in due course.",FALSE,
FDA-2017-P-3065-3519_Petition_Decision_Letter_from_FDA_CTP_to_NJOY_LLC.pdf,11/2/2017,,Center for Tobacco Products (CTP),Dismissed (moot),"- 21 CFR § 10.30(k) – regarding limits on citizen petitions requesting enforcement decisions
- 21 CFR § 10.30(e)(2)(iii) – regarding dismissal of petitions due to mootness","- The petition requested the FDA refrain from enforcement actions, which falls outside the scope of permissible citizen petition content.
- Even if considered within scope, the petition was rendered moot by FDA’s August 2017 guidance extending compliance deadlines.
- The revised policy addressed both requests (extended submission timelines and continued marketing during review), making the petition redundant.
- FDA stated it does not intend to enforce premarket review requirements during the extended compliance period, assuming timely submission.",FALSE,
FDA-2017-P-3092-0010_Response_Letter_from_FDA_to___AstraZeneca_Global_M.pdf,10/11/2017,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- Section 505(b)(2) of the Federal Food, Drug, and Cosmetic Act (FD&C Act)
- Section 505(q) of the FD&C Act
- 21 CFR § 314.105 (approval of applications)
- 21 CFR § 314.125 (disapproval of applications)
- 21 CFR § 314.200 (hearings)","- FDA did not reach a final decision on the approval status of any related 505(b)(2) NDA, and thus could not comment on preconditions for approval.
- The petition sought early judgments on specific aspects of applications, which is inconsistent with FDA’s procedural protections for applicants.
- FDA clarified that section 505(q) does not mandate piecemeal review or early decisions on individual components of an application.
- The petition was therefore denied without comment on the specific scientific/clinical data requirements for approval.",FALSE,
