File Name,Date of Response,Identity of Submitting Entity,Source_Year
FDA-2008-P-0404-0003_Final_Response_Letter_from_FDA_CDER_to_Strides_Arc.pdf,"July 14, 2008",FDA CDER to Strides Arc,2008
FDA-2008-P-0412-0003_FDA_CDER_Interim_Response_To_Foley___Lardner__LLP_.pdf,7/18/08,Foley   Lardner  LLP,2008
FDA-2008-P-0412-0006_FDA_CDER_Response_to_Foley___Lardner_LLP___Letter.pdf,"July 15, 2008",Foley   Lardner LLP   Letter,2008
FDA-2008-P-0421-0004_FDA_CDER_Response_to_Lachman_Consultant_Services__.pdf,"July 23, 2008",Lachman Consultant Services,2008
FDA-2008-P-0431-0004_FDA_CDER_to_Crixmor_LLC___Response_Letter.pdf,"July 25, 2008",Crixmor LLC   Response Letter,2008
FDA-2008-P-0442-0004_FDA_CDER_Interim_Response_to_Mutual_Pharmaceutical.pdf,8/7/08,Mutual Pharmaceutical,2008
FDA-2008-P-0443-0003_FDA_CDER_Interim_Response_to_PharmaForce__Inc____L.pdf,8/8/08,PharmaForce  Inc    L,2008
FDA-2008-P-0443-0005_FDA_CDER_Response_to_PharmaForce__Inc____Letter.pdf,8/8/08,PharmaForce  Inc    Letter,2008
FDA-2008-P-0444-0004_FDA_CDRH_Interim_Response_to_Codonics__Inc____Lett.pdf,11/7/08,Codonics  Inc    Lett,2008
FDA-2008-P-0452-0007_Interim_Response_Letter_from_FDA_CFSAN_to_The_West.pdf,8/14/08,FDA CFSAN to The West,2008
FDA-2008-P-0459-0004_FDA_CFSAN_Response_to_Deep_Seawater_International_.pdf,"August 8, 2008",Deep Seawater International,2008
FDA-2009-P-0003-0004_FDA_CFSAN_Response_to_Organic_Pastures_Dairy_Compa.pdf,1/9/09,Organic Pastures Dairy Compa,2009
FDA-2009-P-0004-0003_FDA_CDER_Interim_Response_to_Therapeutic_Proteins_.pdf,"January 7, 2009",Therapeutic Proteins,2009
FDA-2009-P-0038-0006_FDA_CDER_Response_to_Mayne_Pharma_International_Pt.pdf,"January 29, 2009",Mayne Pharma International Pt,2009
FDA-2009-P-0039-0007_FDA_CDER_Interim_Response_to_Parents_United_for_Ph.pdf,"January 30, 2009",Parents United for Ph,2009
FDA-2009-P-0059-0006_FDA_CDER_Response_to_Eurand_Pharmaceuticals__Inc__.pdf,"February 9, 2009",Eurand Pharmaceuticals  Inc,2009
FDA-2009-P-0077-0004_Response_Letter_from_FDA_CDER_to_Arent_Fox_LLP.pdf,02/13/2009,FDA CDER to Arent Fox LLP,2009
FDA-2009-P-0081-0004_FDA_CDER_Response_to_Medicis_Pharmaceuticals_Corpo.pdf,"January 29, 2009",Medicis Pharmaceuticals Corpo,2009
FDA-2009-P-0088-0003_FDA_CDER_Interim_Response_to_Lachman_Consultant_Se.pdf,"February 17, 2009",Lachman Consultant Se,2009
FDA-2009-P-0089-0003_FDA_CDER_Interim_Response_to_Novo_Nordisk___Letter.pdf,2/20/09,Novo Nordisk   Letter,2009
FDA-2009-P-0094-0003_Interim_Response_Letter_from_FDA_to_American_Assoc.pdf,"February 18, 2009",FDA to American Assoc,2009
FDA-2009-P-0094-0004_Final_Response_from_FDA_CDER_to_American_Associati.pdf,"May 26, 2022",FDA CDER to American Associati,2009
FDA-2009-P-0103-0003_FDA_CDER_Response_to_Hoffmann_LaRoche_Inc___and_Ro.pdf,"January 29, 2009",Hoffmann LaRoche Inc   and Ro,2009
FDA-2009-P-0105-0003_Interim_Response_to_Williams_Kherkher_Hart_Boundas.pdf,"February 17,2009",Williams Kherkher Hart Boundas,2009
FDA-2009-P-0107-0004_Approval_Letter_from_FDA_CDER_to_APP_Pharmaceutica.pdf,"February 23, 2009",FDA CDER to APP Pharmaceutica,2009
FDA-2009-P-0110-0003_FDA_CVM_Response_to_PetMedicus_Laboratories__Inc__.pdf,"February 24, 2009",PetMedicus Laboratories  Inc,2009
FDA-2009-P-0111-0003_FDA_CDRH_Interim_Response_to_Thomas_J__Quinn___Let.pdf,"August 27, 2009",Thomas J  Quinn   Let,2009
FDA-2009-P-0116-0003_FDA_CFSAN_Response_to_Vistaurum_Corporation___Elec.pdf,"April 16, 2009",Vistaurum Corporation   Elec,2009
FDA-2009-P-0116-0004_Vistaurum_Corporation_Response_to_FDA_CFSAN___Elec.pdf,"April 17, 2009",FDA CFSAN   Elec,2009
FDA-2009-P-0117-0003_Final_Response_Letter_from_FDA_CDRH_to_Kimberly_Cl.pdf,"October 16, 2017",FDA CDRH to Kimberly Cl,2009
FDA-2009-P-0120-0003_FDA_CDER_Response_to_Stiefel_Laboratories__Inc____.pdf,"January 29, 2009",Stiefel Laboratories  Inc,2009
FDA-2009-P-0122-0003_FDA_to_K__Paul_Stoller__MD__FACM___Interim_Respons.pdf,"February 27,2009",K  Paul Stoller  MD  FACM   Interim Respons,2009
FDA-2009-P-0123-0011_FDA_CDER_Response_to_Auxilium_Pharmaceuticals__Inc.pdf,"February 27, 2009",Auxilium Pharmaceuticals  Inc,2009
FDA-2010-P-0045-0038_Memo_and_Combined_Responses_to_Dr_Edlich_Citizen_P.pdf,"October 2, 
2008",Dr Edlich Citizen P,2010
FDA-2010-P-0050-0004_Interim_Response_to_Health_Research_Group_Public_C.pdf,"January 20, 2010",Health Research Group Public C,2010
FDA-2010-P-0052-0020_Memo_and_Combined_Responses_to_Dr_Edlich_Citizen_P.pdf,"October 2, 
2008",Dr Edlich Citizen P,2010
FDA-2010-P-0076-0006_Interim_Response_to_Roxane_Laboratories__Inc_.pdf,"February 3, 2010",Roxane Laboratories  Inc,2010
FDA-2010-P-0105-0032_Interim_Response_to_National_Chicken_Council__NCC_.pdf,"August 17,2010",National Chicken Council  NCC,2010
FDA-2010-P-0114-0007_FDA_CDER_Response_to_McGuff_Pharmaceuticals_Inc_Pe.pdf,"February 25, 2010",McGuff Pharmaceuticals Inc Pe,2010
FDA-2011-P-0022-0004_FDA_Interim_Response_to_Waxler_Regulatory_Consulta.pdf,1/14/11,Waxler Regulatory Consulta,2011
FDA-2011-P-0022-0013_Reconsideration_Denial_letter_from_the_FDA_to_Waxl.pdf,"July 31, 2014",the FDA to Waxl,2011
FDA-2011-P-0025-0003_FDA_CDER_Interim_Response_to_Olsson_Frank_Weeda_Te.pdf,1/14/11,Olsson Frank Weeda Te,2011
FDA-2011-P-0047-0012_FDA_CDER_Interim_Response_to_InvaGen_Pharmaceutica.pdf,"January 18, 2011",InvaGen Pharmaceutica,2011
FDA-2011-P-0047-0013_Response_Letter_from_FDA_CDER.pdf,2/8/11,FDA CDER,2011
FDA-2011-P-0055-0012_FDA_CDER_Interim_Response_to_C__Allen_Black__Ph_D_.pdf,"January 19, 2011",C  Allen Black  Ph D,2011
FDA-2011-P-0059-0003_Interim_Response_Letter_from_FDA_CDER_to_Hospira_I.pdf,"January 26, 2011",FDA CDER to Hospira I,2011
FDA-2011-P-0064-0034_Interim_Response_to_Barbara_L__Maw__P_C___Letter.pdf,"January 28, 2011",Barbara L  Maw  P C   Letter,2011
FDA-2011-P-0081-0011_Agency_Response_to_Armenpharm_Ltd.pdf,"February 8, 2011",Armenpharm Ltd,2011
FDA-2011-P-0081-0012_Notice_of_Approval_Suspension_for_ANDA_060851.pdf,"December 3, 2015",,2011
FDA-2011-P-0081-0014_Response_to_CDER_for_Suspension_of_ANDA_Approval_f.pdf,"December 17, 2015",CDER for Suspension of ANDA Approval f,2011
FDA-2011-P-0081-0021_Armenpharm__Ltd___Suspension_of_Approval_of_an_Abb.pdf,"September 21, 2016",,2011
FDA-2011-P-0083-0003_Interim_Response_Letter_from_FDA_CDRH_to_Pharmacis.pdf,"February 3, 2011",FDA CDRH to Pharmacis,2011
FDA-2011-P-0086-0011_Agency_Response_Letter_to_Risperidone_Staleness.pdf,2/23/11,Risperidone Staleness,2011
FDA-2011-P-0086-0012_Agency_Response_Letter_to_Risperidone.pdf,"June 15, 2022",Risperidone,2011
FDA-2011-P-0150-0003_Interim_Response_to_SureTek_Medical___Letter.pdf,4/11/11,SureTek Medical   Letter,2011
FDA-2011-P-0150-0004_Final_Response_from_FDA_CDRH_to_SureTek_Medical.pdf,4/11/11,FDA CDRH to SureTek Medical,2011
FDA-2011-P-0173-0003_Interim_Response_to_Hospira__Inc_.pdf,"March 18, 2011",Hospira  Inc,2011
FDA-2011-P-0173-0004_FDA_CDER_to_Hospira__Inc____Petiton_Approval.pdf,"January 25, 2011",Hospira  Inc    Petiton Approval,2011
FDA-2011-P-0213-0014_Interim_Response_to_CSL_Behring___Letter.pdf,"March 28, 2011",CSL Behring   Letter,2011
FDA-2011-P-0226-0003_Interim_Response_to_Hyman__Phelps___McNamara__P_C_.pdf,"March 30, 2011",Hyman  Phelps   McNamara  P C,2011
FDA-2011-P-0226-0004_FDA_CDER_response_to_Hyman__Phelps___McNamara__P_C.pdf,"March 30, 2011",Hyman  Phelps   McNamara  P C,2011
FDA-2011-P-0227-0003_FDA_CDER_Interim_Response_to_Intendis_Inc_Foley_an.pdf,"March 30, 2011",Intendis Inc Foley an,2011
FDA-2011-P-0227-0004_FDA_CDER_Interim_Response_to_Intendis_Inc_Foley_an.pdf,"March 30, 2011",Intendis Inc Foley an,2011
FDA-2011-P-0276-0005_Interim_Response_to_Environmental_Working_Group___.pdf,"September 6, 2011",Environmental Working Group,2011
FDA-2011-P-0291-0003_Interim_Response_to_Actavis_Inc____Letter.pdf,"April 21, 2011",Actavis Inc    Letter,2011
FDA-2011-P-0292-0003_Interim_Response_to_Actavis_Inc____Letter.pdf,OCT 17 2011,Actavis Inc    Letter,2011
FDA-2011-P-0297-0005_Interim_Response_to_Public_Citizen_s_Health_Resear.pdf,"April 25, 2011",Public Citizen s Health Resear,2011
FDA-2011-P-0297-0006_FDA_CDER_Response_to_Public_Citizens_Health_Resear.pdf,5/5/11,Public Citizens Health Resear,2011
FDA-2011-P-0331-0006_Interim_response_to_Citzen_Health_Research_Group__.pdf,"May 2,2011",Citzen Health Research Group,2011
FDA-2011-P-0331-0007_FDA_CDRH_final_response_to_Public_Citzen_Health_Re.pdf,"October 16, 2017",Public Citzen Health Re,2011
FDA-2011-P-0347-0004_FDA_CDER_Response_to_Lachman_Consultant_Services_I.pdf,"May 10, 2011",Lachman Consultant Services I,2011
FDA-2011-P-0355-0021_FDA_CDRH_to_Mela_Science_Inc__Response_Letter.pdf,"November 3,2011",Mela Science Inc  Response Letter,2011
FDA-2011-P-0356-0023_FDA_CTP_Interim_Response_to_the_Center_for_Tobacco.pdf,5/31/11,the Center for Tobacco,2011
FDA-2011-P-0407-0006_FDA_CFSAN_Interim_Response_to_the_Center_for_Scien.pdf,"November 22, 2011",the Center for Scien,2011
FDA-2011-P-0407-0007_FDA_CFSAN_Response_to_the_Center_for_Science_in_th.pdf,"March 19, 2012",the Center for Science in th,2011
FDA-2011-P-0438-0004_Interim_Response_to_Public_Citizen_Health_Research.pdf,"May 4,2011",Public Citizen Health Research,2011
FDA-2011-P-0438-0006_FDA_CDRH_Response_to_Public_Citizen_Health_Researc.pdf,6/2/11,Public Citizen Health Researc,2011
FDA-2011-P-0440-0003_Interim_Response_to_Patton_Boggs_LLP_National_Yogu.pdf,6/21/11,Patton Boggs LLP National Yogu,2011
FDA-2011-P-0440-0004_FDA_CFSAN_Response_to_Patton_Boggs__LLP__National_.pdf,"June 1, 2018",Patton Boggs  LLP  National,2011
FDA-2011-P-0448-0003_FDA_CVM_Interim_Response_to_Earthjustice_November_.pdf,"November 21,201",Earthjustice November,2011
FDA-2011-P-0450-0004_Interim_Response_to_MSMB_Capital_Management_LLC___.pdf,"June 7, 2011",MSMB Capital Management LLC,2011
FDA-2011-P-0455-0004_Interim_Response_to_Public_Citizen_s_Health_Resear.pdf,"June 7, 2011",Public Citizen s Health Resear,2011
FDA-2011-P-0458-0003_Interim_Response_to_Personal_Care_Products_Council.pdf,"June 8, 2011",Personal Care Products Council,2011
FDA-2011-P-0460-0004_Response_Letter_from_FDA_CDER_to_Lachman_Consultan.pdf,"June 8, 2011",FDA CDER to Lachman Consultan,2011
FDA-2011-P-0473-0004_Interim_Response_to_Varam_Inc__c_o__KVK_Tech_Inc__.pdf,"June 16, 2011",Varam Inc  c o  KVK Tech Inc,2011
FDA-2011-P-0474-0005_Interim_Response_to_Kalypto_Medical__Inc___DuVal__.pdf,"December 5, 2011",Kalypto Medical  Inc   DuVal,2011
FDA-2011-P-0479-0003_Interim_Response_Letter_from_FDA_CDRH_to_Dr__S__Al.pdf,"June 6, 2011",FDA CDRH to Dr  S  Al,2011
FDA-2011-P-0482-0003_FDA_CDER_Interim_Response_to_Novo_Nordisk_Inc.pdf,"June 17, 2011",Novo Nordisk Inc,2011
FDA-2011-P-0484-0004_Interim_Response_to_GotMercury__Turtle_Island_Rest.pdf,"June 20, 2011",GotMercury  Turtle Island Rest,2011
FDA-2011-P-0486-0003_Interim_Response_to_Winston___Strawn_LLP____Letter.pdf,"June 21, 2011",Winston   Strawn LLP    Letter,2011
FDA-2011-P-0488-0004_FDA_CDER_to_Sandoz__Inc____Response_Letter.pdf,7/18/11,Sandoz  Inc    Response Letter,2011
FDA-2011-P-0512-0005_Interim_Response_to_Ropes___Gray_LLPand_Sidley_Aus.pdf,"July 5,2011",Ropes   Gray LLPand Sidley Aus,2011
FDA-2011-P-0512-0014_Kalb_et_al_IU_Final_Rule_Response_3_26_18.pdf,"March 26, 2018",,2011
FDA-2011-P-0515-0003_Interim_Response_to_Pharmacists_Planning_Service__.pdf,"July 6, 2011",Pharmacists Planning Service,2011
FDA-2011-P-0537-0004_Interim_Response_to_Earthjustice_et_al__Letter.pdf,"July 5, 2011",Earthjustice et al  Letter,2011
FDA-2011-P-0537-0005_Denial_Letter_from_CFSAN_to_EARTHJUSTICE.pdf,"January 18, 2017",CFSAN to EARTHJUSTICE,2011
FDA-2011-P-0565-0003_FDA_2011_P_0565_CP_Response_final_.pdf,"August 15, 2011",,2011
FDA-2011-P-0573-0003_FDA_CTP_Interim_Response_to__J_Reynolds_Tobacco_Co.pdf,10/2/12,J Reynolds Tobacco Co,2011
FDA-2011-P-0580-0005_FDA_CDER_Response_to_Charles_Watson_Partial_Petiti.pdf,"August 2, 2011",Charles Watson Partial Petiti,2011
FDA-2011-P-0590-0003_Interim_Response_to_Kim_Witczak_and_William_Vaughn.pdf,"August 10, 2011",Kim Witczak and William Vaughn,2011
FDA-2011-P-0593-0003_FDA_2011_P_0593_CP_Response_final_.pdf,"August 15, 2011",,2011
FDA-2011-P-0596-0003_FDA_CDER_Interim_Response_to_Dr__Richard_M__Flemin.pdf,FEB 6 2012,Dr  Richard M  Flemin,2011
FDA-2011-P-0596-0009_FDA_CDER_Response_to_Dr_Richard_M_Fleming__Petitio.pdf,9/15/11,Dr Richard M Fleming  Petitio,2011
FDA-2011-P-0596-0015_Interim_Response_to_Dr_Richard_M__Fleming__Letter.pdf,9/15/11,Dr Richard M  Fleming  Letter,2011
FDA-2011-P-0604-0005_Interim_Response_to_Public_Citizen_s_Health_Resear.pdf,9/1/11,Public Citizen s Health Resear,2011
FDA-2011-P-0604-0006_Final_Response_from_FDA_CDER_to_Public_Citizen_s_H.pdf,"August 17, 2011",FDA CDER to Public Citizen s H,2011
FDA-2011-P-0606-0004_Interim_Response_to_Actavis__Inc____Letter.pdf,"August 18, 2011",Actavis  Inc    Letter,2011
FDA-2011-P-0610-0003_FDA_CDER_interim_response_to_Mayer_Brown_LLP__date.pdf,"August 19,2011",Mayer Brown LLP  date,2011
FDA-2011-P-0623-0003_FDA_CTP_Interim_Response_to_International_Premium_.pdf,9/2/11,International Premium,2011
FDA-2011-P-0637-0003_FDA_CDER_Interim_Response_to_Alliance_for_Natural_.pdf,9/12/11,Alliance for Natural,2011
FDA-2011-P-0637-0004_Response_Letter_to_Alliance_for_Natural_Health_fro.pdf,9/12/11,Alliance for Natural Health fro,2011
FDA-2011-P-0641-0005_FDA_CDRH_Interim_Response_to_Public_Citizen_Health.pdf,"February 10,2012",Public Citizen Health,2011
FDA-2011-P-0642-0003_Interim_Response_to_Center_for_Inquiry_and_the_Com.pdf,"August 29,2011",Center for Inquiry and the Com,2011
FDA-2011-P-0642-0016_Final_Response_from_FDA_CDER_to_Center_for_Inquiry.pdf,"August 26, 2011",FDA CDER to Center for Inquiry,2011
FDA-2011-P-0646-0003_Interim_Response_to_City_of_Philadephia_Department.pdf,"December 9, 2011",City of Philadephia Department,2011
FDA-2011-P-0646-0031_Interim_Response_Letter_from_FDA_CFSAN_to_Deparmen.pdf,"September 10,2015",FDA CFSAN to Deparmen,2011
FDA-2011-P-0657-0003_Interim_Response_Letter_from_FDA_CDER_to_National_.pdf,"September 2, 2011",FDA CDER to National,2011
FDA-2011-P-0660-0003_FDA_CDRH_interim_response_to_RegulatorPro_com.pdf,9/19/11,RegulatorPro com,2011
FDA-2011-P-0671-0004_Interim_Response_to_Beverly_Mikuriya__M_D___and_Wi.pdf,"September 9, 2011",Beverly Mikuriya  M D   and Wi,2011
FDA-2011-P-0671-0005_Final_Response_from_FDA_CDER_to_William_McPike__Es.pdf,"June 25, 1938",FDA CDER to William McPike  Es,2011
FDA-2011-P-0675-0006_Interim_Response_to_Public_Citizen_Health_Research.pdf,MAR 9 2012,Public Citizen Health Research,2011
FDA-2011-P-0675-0009_FDA_CDER_Response_to_Public_Citizen_Health_Researc.pdf,9/27/11,Public Citizen Health Researc,2011
FDA-2011-P-0696-0003_FDA_Office_of_Financial_Management_Interim_Respons.pdf,"September 20, 2011",,2011
FDA-2011-P-0696-0004_FDA_Response_to_Stat_Trade__Inc___Kleinfeld_Kaplan.pdf,"September 20,2011",Stat Trade  Inc   Kleinfeld Kaplan,2011
FDA-2011-P-0702-0003_FDA_CDER_Final_response_to_Warner_Chilcott__US___L.pdf,"September 23,2011",Warner Chilcott  US   L,2011
FDA-2011-P-0717-0003_Interim_Response_to_Cooley_LLP___Letter.pdf,"September 29, 2011",Cooley LLP   Letter,2011
FDA-2011-P-0725-0003_Interim_Response_to_Rush_University_Medical_Center.pdf,"October 4, 2011",Rush University Medical Center,2011
FDA-2011-P-0727-0004_Interim_Response_to_12TH_Man_Technologies___Letter.pdf,"October 6, 201",12TH Man Technologies   Letter,2011
FDA-2011-P-0741-0003_Interim_Response_to_Public_Citizens_Health_Researc.pdf,"October 11,2011",Public Citizens Health Researc,2011
FDA-2011-P-0744-0003_Interim_Response_to_Lachman_Consultant_Services_In.pdf,"October 12, 2011",Lachman Consultant Services In,2011
FDA-2011-P-0744-0004_Final_Response_letter_from_FDA_CDER_to_Lachman_Con.pdf,"October 12, 2011",FDA CDER to Lachman Con,2011
FDA-2011-P-0745-0004_FDA_CFSAN_Interim_Response_to_Natural_Resources_De.pdf,"June 25, 2012",Natural Resources De,2011
FDA-2011-P-0777-0003_Interim_Response_to_Institute_for_Health_Quality_a.pdf,"October 21,2011",Institute for Health Quality a,2011
FDA-2011-P-0777-0009_FDA_OC_Response_to__Institute_for_Health_Quality_a.pdf,10/31/11,Institute for Health Quality a,2011
FDA-2011-P-0798-0004_FDA_CDER_Interim_Response_to_Dr_S_Albert_Edwards_L.pdf,"November 1, 2011",Dr S Albert Edwards L,2011
FDA-2011-P-0820-0003_FDA_CDRH_Interim_Response_to_G_Scott_Crowther_PE_L.pdf,"November 8, 2011",G Scott Crowther PE L,2011
FDA-2011-P-0821-0005_Final_Response_Letter_from_FDA_CDER_to_Lachman_Con.pdf,"November 14, 2011",FDA CDER to Lachman Con,2011
FDA-2011-P-0823-0003_FDA_CDER_Response_to_AstraZeneca_Pharmaceuticals_L.pdf,"November 14,2011",AstraZeneca Pharmaceuticals L,2011
FDA-2011-P-0852-0003_FDA_CDER_Interim_Response_to_Dr__S_Albert_Edwards_.pdf,"November 21,2011",Dr  S Albert Edwards,2011
FDA-2011-P-0869-0004_FDA_CDER_Interim_Response_to_Hyman_Phelps_and_McNa.pdf,MAY 30 2012,Hyman Phelps and McNa,2011
FDA-2011-P-0869-0006_FDA_CDER_Response_to_Hyman_Phelps_and_McNamara_P_C.pdf,12/20/11,Hyman Phelps and McNamara P C,2011
FDA-2011-P-0923-0009_Interim_Response_to_Public_Citizen_Health_Research.pdf,"May 18,2012",Public Citizen Health Research,2011
FDA-2011-P-0923-0011_Public_Citizens_Health_Research_Group_Response_to_.pdf,"January 28, 2013",,2011
FDA-2011-P-0926-0004_Interim_Response_to_United_States_Pharmacopeial_Co.pdf,1/24/12,United States Pharmacopeial Co,2011
FDA-2011-P-0929-0003_FDA_CFSAN_Response_to_Caravan_Ingredients_Inc_Kell.pdf,"August 5, 2013",Caravan Ingredients Inc Kell,2011
FDA-2011-P-0931-0005_Upsher_Smith_Laboratories_re_Approval_Requirements.pdf,1/25/12,"Upsher-Smith Laboratories, Inc (Zuckerman Spaeder LLP)",2011
FDA-2012-P-0052-0003_Interim_Response_to_Lannett_Company__Inc____Letter.pdf,"January 12,2012",Lannett Company  Inc    Letter,2012
FDA-2012-P-0053-0004_Interim_Response_to_Alston_and_Bird_LLP_Letter.pdf,"January 12, 2012",Alston and Bird LLP Letter,2012
FDA-2012-P-0119-0006_Interim_Response_to_Mario_Morais_Letter.pdf,"February 3, 2012",Mario Morais Letter,2012
FDA-2012-P-0119-0008_Redacted_Partial_Approval_Partial_Denial_Response_.pdf,"December 5, 2011",,2012
FDA-2012-P-0119-0011_FDA_Response_to_joint_appeal_in_FDA_2012_P_0119_an.pdf,"January 19, 2017",joint appeal in FDA 2012 P 0119 an,2012
FDA-2012-P-0146-0005_Denial_letter_from_CFSAN_FDA_to_Center_for_Science.pdf,"February 9, 2012",CFSAN FDA to Center for Science,2012
FDA-2012-P-0189-0005_Interim_Response_to_Alston_and_Bird_LLP_Lannett_Co.pdf,"February 24, 2012",Alston and Bird LLP Lannett Co,2012
FDA-2012-P-0272-0006_Response_Letter_from_FDA_CDER_to_Actavis_Inc_.pdf,"March 15, 2012",FDA CDER to Actavis Inc,2012
FDA-2012-P-0292-0003_Interim_Response_to_Lachman_Consultant_Services_In.pdf,"March 22, 2012",Lachman Consultant Services In,2012
FDA-2012-P-0298-0012_Agency_Response_to_The_Joseph_Dedvukaj_Firm___P_C_.pdf,"March 27,2012",The Joseph Dedvukaj Firm   P C,2012
FDA-2012-P-0299-0006_Interim_Response_to_Schiff_Hardin_LLP_Range_Equine.pdf,3/30/12,Schiff Hardin LLP Range Equine,2012
FDA-2012-P-0317-0005_Interim_Response_to_Abbott_Laboratories_Covington_.pdf,5/8/12,Abbott Laboratories Covington,2012
FDA-2012-P-0379-0003_Interim_Response__to_David_Behar_MD_Letter.pdf,"April 16, 2012",David Behar MD Letter,2012
FDA-2012-P-0404-0004_Interim_Response_to_Public_Citizen_Health_Research.pdf,5/2/12,Public Citizen Health Research,2012
FDA-2012-P-0436-0003_FDA_CDER_Interim_Response_to_Lupin_Pharmaceuticals.pdf,"May 4, 2012",Lupin Pharmaceuticals,2012
FDA-2012-P-0436-0004_Response_Letter_from_FDA_CDER.pdf,5/8/12,FDA CDER,2012
FDA-2012-P-0468-0003_FDA_CDER_Interim_Response_to_Cadila_Pharmaceutical.pdf,"May 10, 2012",Cadila Pharmaceutical,2012
FDA-2012-P-0468-0004_Response_Letter_from_FDA_CDER.pdf,5/10/12,FDA CDER,2012
FDA-2012-P-0566-0004_Interim_Response_Letter_from_FDA_CDER_to_Empire_St.pdf,"June 6, 2012",FDA CDER to Empire St,2012
FDA-2012-P-0566-0006_Partial_Approval_and_Denial_Response_Letter_from_F.pdf,"June 6, 2012",F,2012
FDA-2012-P-0649-0003_Interim_Response_Letter_from_FDA_CDER_to_Lachman_C.pdf,6/21/12,FDA CDER to Lachman C,2012
FDA-2012-P-0649-0005_Response_Letter_from_FDA_CDER_to_Lachman_Consultan.pdf,6/21/12,FDA CDER to Lachman Consultan,2012
FDA-2012-P-0661-0003_Interim_Response_Letter_from_FDA_CDER_to_Sandoz__I.pdf,"June 20, 2012",FDA CDER to Sandoz  I,2012
FDA-2012-P-0661-0005_Interim_Response_Letter_from_FDA_CDER_to_Sandoz__I.pdf,"June 19, 2012",FDA CDER to Sandoz  I,2012
FDA-2012-P-0695-0009_Interim_Response_to_Lorillard_Tobacco_Company.pdf,6/28/12,Lorillard Tobacco Company,2012
FDA-2012-P-0695-0011_FDA_CTP_Response_to_Lorillard_Tobacco_Company_Peti.pdf,6/28/12,Lorillard Tobacco Company Peti,2012
FDA-2012-P-0747-0003_Interim_Response_to_Leroy_Leslie_Hamilton_PhD_Lett.pdf,"July 3, 2012",Leroy Leslie Hamilton PhD Lett,2012
FDA-2012-P-0754-0003_FDA_CFSAN_Interim_Response_to_North_American_Olive.pdf,"July 12, 2012",North American Olive,2012
FDA-2012-P-0818-0694_FDA_CDER_Interim_Response_to_Physicians_for_Respon.pdf,"July 25,2012",Physicians for Respon,2012
FDA-2012-P-0818-0793_FDA_CDER_Response_to_Physicians_for_Responsible_Op.pdf,7/30/12,Physicians for Responsible Op,2012
FDA-2012-P-0854-0003_FDA_CDER_Response_Letter_to_B_Braun_Medical_Inc_Pe.pdf,"August 2, 2012",B Braun Medical Inc Pe,2012
FDA-2012-P-0857-0036_FDACDER_Response_to_Sheller_P_C_Law_Offices_Letter.pdf,"August 2, 2012",Sheller P C Law Offices Letter,2012
FDA-2012-P-0857-0038_FDA_CDER_Response_to_Sheller_P_C_Law_Offices_Lette.pdf,"March 26, 2013",Sheller P C Law Offices Lette,2012
FDA-2012-P-0857-0039_FDA_CDER_Response_to_Sheller_P_C_Law_Offices_Lette.pdf,"July 2, 2013",Sheller P C Law Offices Lette,2012
FDA-2012-P-0857-0041_Response_from_Sheller_P_C_Law_Offices_to_FDA_CDER_.pdf,"July 2, 2013",Sheller P C Law Offices to FDA CDER,2012
FDA-2012-P-0872-0042_Interim_Response_to_Handcrafted_Soapmakers_Guild_I.pdf,"February 1,2013",Handcrafted Soapmakers Guild I,2012
FDA-2012-P-0872-0057_Response_Letter_to_Handcrafted_Soapmakers_Guild_In.pdf,8/10/12,Handcrafted Soapmakers Guild In,2012
FDA-2012-P-0895-0008_FDA_CDER_Interim_Response_to_Endo_Pharmaceuticals_.pdf,"August 13, 2012",Endo Pharmaceuticals,2012
FDA-2012-P-0895-0014_FDA_CDER_Final_Response_to_Endo_Pharmaceuticals_In.pdf,9/11/12,Endo Pharmaceuticals In,2012
FDA-2012-P-0904-0115_FDA_CFSAN_Response_to_Citizens_for_Health_Interim_.pdf,"August 15, 2012",Citizens for Health Interim,2012
FDA-2012-P-0906-0003_FDA_CDER_Response_to_Lachman_Consultant_Services_I.pdf,"August 16, 2012",Lachman Consultant Services I,2012
FDA-2012-P-0909-0003_Interim_response_to_Michael_D_Lorton_M_D_Letter.pdf,9/19/12,Michael D Lorton M D Letter,2012
FDA-2012-P-0916-0005_FDA_CDER_Response_to_Ei_Inc_Letter.pdf,"August 24, 2012",Ei Inc Letter,2012
FDA-2012-P-0963-0003_Interim_Response_to_Charles_J_Zimmerer_Letter_Reda.pdf,"August 31, 2012",Charles J Zimmerer Letter Reda,2012
FDA-2012-P-0963-0004_Final_Response_Letter_from_FDA_CDRH_to_Charles_J__.pdf,"November 26, 2024",FDA CDRH to Charles J,2012
FDA-2012-P-1000-0003_Interim_Response_to_CUSTOpharm_Inc_Letter.pdf,9/28/12,CUSTOpharm Inc Letter,2012
FDA-2012-P-1000-0005_FDA_CDER_to_CUSTOpharm_Inc___Agency_Response.pdf,9/28/12,CUSTOpharm Inc   Agency Response,2012
FDA-2012-P-1007-0004_Interim_Response_to_Public_Citizen_Litigation_Grou.pdf,9/26/12,Public Citizen Litigation Grou,2012
FDA-2012-P-1007-0005_Interim_Response_to_Public_Citizen_Litigation_Grou.pdf,"March 18, 2013",Public Citizen Litigation Grou,2012
