File Name,Date of Petition,Identity of Submitting Entity,Source_Year
FDA-2012-P-1128-0003_Dechra_Ltd_Citizen_Petition.pdf,"October 23, 2012",Dechra Ltd,2012
FDA-2012-P-1147-0001_Foley_Lardner_LLP_Citizen_Petition.pdf,"November 13, 2012",Foley Lardner LLP,2012
FDA-2012-P-1158-0001_Milagros_Demier_Citizen_Petition.pdf,"November 20, 2012",Milagros Demier,2012
FDA-2012-P-1160-0001_Steven_A_Zecola_Citizen_Petition_Redacted_Version.pdf,"November 15, 2012",Steven A Zecola,2012
FDA-2012-P-1170-0001_Cephazone_Pharma_LLC_Citizen_Petition.pdf,"November 12, 2012",Cephazone Pharma LLC,2012
FDA-2012-P-1179-0001_Jack_M_Saroyan_DDS_Citizen_Petition.pdf,"November 24, 2012",Jack M Saroyan DDS,2012
FDA-2012-P-1180-0001_Lannett_Company_Inc_Citizen_Petition.pdf,"November 26, 2012",Lannett Company Inc,2012
FDA-2012-P-1180-0003_Lannett_Co_Inc_Amendment_to_Suitability_Petition.pdf,"December 17, 2012",Suitability Petition,2012
FDA-2012-P-1252-0001_Center_for_Food_Safety_CFS_Citizen_Petition.pdf,"December 20, 2012",Center for Food Safety CFS,2012
FDA-2012-P-1259-0001_Hyman_Phelps_McNamara_PC_Citizen_Petition.pdf,"December 21, 2012",Hyman Phelps McNamara PC,2012
FDA-2012-P-1265-0001_Indicus_Pharma_LLC_Citzen_Petition.pdf,"December 17, 2012",,2012
FDA-2012-P-1267-0001_Xspire_Pharma_LLC_Citizen_Petition.pdf,"December 26, 2012",Xspire Pharma LLC,2012
FDA-2013-P-0025-0001_Citizen_Petition_from_Teva_Pharmaceutical_Industri.pdf,"December 31, 2012",Teva Pharmaceutical Industri,2013
FDA-2013-P-0028-0001_Custo_Pharm_Inc_Citizen_Petition.pdf,"December 28, 2012",Pharm Inc Citizen Petition,2013
FDA-2013-P-0028-0003_CustoPharm_Inc_Amendment_to_Citizen_Petition.pdf,"December 28, 
2012",Citizen Petition,2013
FDA-2013-P-0761-0001_Poly_Cell_Technologies_LLC___Health_Claim_Petition.pdf,"January 31, 2013",Poly Cell Technologies LLC,2013
FDA-2013-P-0766-0001_Amedra_Pharmaceuticals_LLC_Citizen_Petition.pdf,"June 18, 2013",Amedra Pharmaceuticals LLC,2013
FDA-2014-P-0038-0001_Riverain_Technologies_Reclassification_Petition.pdf,"December 18, 2013",,2014
FDA-2014-P-0073-0001_Citizen_Petition_From_Jubilant_Life_Sciences_Limit.pdf,"January 03, 2014",Jubilant Life Sciences Limit,2014
FDA-2014-P-0076-0001_Citizen_Petition_From_Lannett_Company_Inc.pdf,"January 8, 2014",Lannett Company Inc,2014
FDA-2014-P-0077-0001_Citizen_Petition_From_Janssen_Pharmaceutical_Compa.pdf,"January 7, 2014",Janssen Pharmaceutical Compa,2014
FDA-2014-P-0099-0001_Citizen_Petition_From_Apotex_Corp.pdf,"January 10, 2014",Apotex Corp,2014
FDA-2014-P-0111-0001_Reclassification_Petition_From_LeMaitre_Vascular_I.pdf,"January 9, 2014",LeMaitre Vascular I,2014
FDA-2014-P-0112-0001_Citizen_Petition_From_NadaChair.pdf,"January 3, 2014",NadaChair,2014
FDA-2014-P-0123-0001_Citizen_Petition_From_Consumer_Reports.pdf,"January 21,2014",Consumer Reports,2014
FDA-2014-P-0142-0001_Citizen_Petition_From_Emcure_Pharmaceuticals_USA_I.pdf,"January 21, 2014",Emcure Pharmaceuticals USA I,2014
FDA-2014-P-0143-0001_Citizen_Petition_From_Gail_Gudmundsen_Redacted.pdf,"January 16, 2014",Gail Gudmundsen Redacted,2014
FDA-2014-P-0144-0001_Citizen_Petition_From_Sucampo_Pharma_Americas_LLC.pdf,"January 17, 2014",Sucampo Pharma Americas LLC,2014
FDA-2014-P-0158-0001_Citizen_Petition_From_Christohper_Schweitzer_Redac.pdf,1/31/14,Christohper Schweitzer Redac,2014
FDA-2014-P-0159-0001_Electronic_Citizen_Petition_From_Mead_Killion_Reda.pdf,"January 28, 2014",Mead Killion Reda,2014
FDA-2014-P-0169-0001_Citizen_Petition_From_Strides_Inc_A_Mylan_Company.pdf,"January 29, 2014",Strides Inc A Mylan Company,2014
FDA-2014-P-0181-0001_Citizen_Petition_From_Imagenetix_Inc_Kotchen_and_L.pdf,"January 31, 2014",Imagenetix Inc Kotchen and L,2014
FDA-2014-P-0196-0001_Citizen_Petition_from_Lannett_Company_Inc.pdf,"January 8, 2014",Lannett Company Inc,2014
FDA-2014-P-0205-0001_Citizen_Petition_From_Purdue_Pharma_LP_Kleinfeld_K.pdf,"September 10, 
2013",Purdue Pharma LP Kleinfeld K,2014
FDA-2014-P-0205-0005_150617_Purdue_Pharma_petition_supplement.pdf,"June 17, 2015",,2014
FDA-2014-P-0206-0001_Citizen_Petition_From_Roger_Cady_et_al_Redacted.pdf,2/25/14,Roger Cady et al Redacted,2014
FDA-2014-P-0209-0001_Citizen_Petition_From_Horizon_Pharma_Inc.pdf,"February 03, 2014",Horizon Pharma Inc,2014
FDA-2014-P-0210-0001_Citizen_Petition_From_Greenblum_Bernstein_PLC.pdf,"February 11, 2014",Greenblum Bernstein PLC,2014
FDA-2014-P-0230-0001_Citizen_Petition_From_Lachman_Consultant_Services_.pdf,"February 11, 2014",Lachman Consultant Services,2014
FDA-2014-P-0231-0001_Citizen_Petition_From_Adaptive_Engineering_Inc.pdf,"Dec. 2, 2013",Adaptive Engineering Inc,2014
FDA-2014-P-0241-0001_Citizen_Petition_From_Public_Citizen.pdf,"February 25, 2014",Public Citizen,2014
FDA-2014-P-0245-0001_Citizen_Petition_From_The_Sugar_Association_Inc.pdf,"February 18, 2014",The Sugar Association Inc,2014
FDA-2014-P-0251-0001_Citizen_Petition_From_Gordon_Johnston_Regulatory_C.pdf,"February 24, 2014",Gordon Johnston Regulatory C,2014
FDA-2014-P-0258-0001_Citizen_Petition_From_Public_Citizen.pdf,"February 25, 2014",Public Citizen,2014
FDA-2014-P-0259-0001_Citizen_Petition_From_Sabra_Dipping_Co_LLC.pdf,3/7/14,Sabra Dipping Co LLC,2014
FDA-2014-P-0263-0001_Citizen_Petition_From_Ferrero_USA_Inc_Hogan_Lovell.pdf,"March 4, 2014",Ferrero USA Inc Hogan Lovell,2014
FDA-2014-P-0282-0001_Citizen_Petition_From_Custo_Pharm_Inc.pdf,3/12/14,Custo Pharm Inc,2014
FDA-2014-P-0283-0001_Citizen_Petition_From_Leroy_L_Hamilton_Redacted.pdf,"March 3, 2014",Leroy L Hamilton Redacted,2014
FDA-2014-P-0284-0001_Citizen_Petition_From_Lachman_Consultant_Services_.pdf,"March 5, 2014",Lachman Consultant Services,2014
FDA-2014-P-0290-0001_Citizen_Petition_From_Leroy_L_Hamilton_Redacted.pdf,"February 27, 2014",Leroy L Hamilton Redacted,2014
FDA-2014-P-0311-0001_Citizen_Petition_From_Shepperd_Mullen_Richter_Hamp.pdf,"March 13, 2014",Shepperd Mullen Richter Hamp,2014
FDA-2014-P-0312-0001_Citizen_Petition_From_Grocery_Manufacturers_Associ.pdf,"March 14, 2014",Grocery Manufacturers Associ,2014
FDA-2014-P-0315-0001_Citizen_Petition_From_Lachman_Consultant_Services_.pdf,"March 18, 2014",Lachman Consultant Services,2014
FDA-2014-P-0318-0001_Citizen_Petition_from_Antares_Pharma_Inc.pdf,3/28/14,Antares Pharma Inc,2014
FDA-2014-P-0328-0001_Citizen_Petition_From_Hyman_Phelps_and_McNamara_PC.pdf,"March 19, 2014",Hyman Phelps and McNamara PC,2014
FDA-2014-P-0367-0001_Citizen_Petition_From_Hyman_Phelps_and_McNamara_PC.pdf,"March 28, 2014",Hyman Phelps and McNamara PC,2014
FDA-2014-P-0377-0001_Citizen_Petition_From_Hyman_Phelps_and_McNamara.pdf,"November 6,2013",Hyman Phelps and McNamara,2014
FDA-2014-P-0404-0001_Citizen_Petition_From_Teva_Pharmaceutical_Inc_Teva.pdf,"April 3, 2014",Teva Pharmaceutical Inc Teva,2014
FDA-2014-P-0405-0001_Citizen_Petition_from_Ken_Surprenant_Redacted.pdf,"April 6, 2014",Ken Surprenant Redacted,2014
FDA-2014-P-0407-0001_Citizen_Petition_from_Almatica_Pharma_Inc.pdf,4/3/14,"Almatica Pharma, Inc.",2014
FDA-2014-P-0422-0001_Citizen_Petition_from_Jason_Williams_Redacted.pdf,4/10/14,Jason R. Williams,2014
FDA-2014-P-0427-0002_Citizen_Petition_From_Medicem_Technology.pdf,3/26/14,Medicem Technology,2014
FDA-2014-P-0445-0001_Citizen_Petition_From_Robert_L_Lytle_Redacted.pdf,4/2/14,Robert L. Lytle,2014
FDA-2014-P-0446-0001_Citizen_Petition_from_Starkist_Company_Pisani_and_.pdf,4/11/14,Starkist Company (Pisani And Roll Llp),2014
FDA-2014-P-0461-0001_Citizen_Petition_From_Wiley_Rein_LLP.pdf,4/14/14,Wiley Rein Llp,2014
FDA-2014-P-0462-0001_Citizen_Petition_From_Wiley_Rein_LLP.pdf,4/14/14,Wiley Rein Llp,2014
FDA-2014-P-0496-0001_Citizen_Petition_From_Pharmacists_Planning_Service.pdf,4/9/14,Pharmacists Planning Service Inc,2014
FDA-2014-P-0497-0001_Citizen_Petition_from_Ken_Surprenant_Redacted.pdf,4/19/14,Ken Surprenant,2014
FDA-2014-P-0511-0001_Citizen_Petition_From_Agila_Specialties_Inc_.pdf,4/21/14,Agila Specialties Inc.,2014
FDA-2014-P-0513-0001_Citizen_Petition_from_University_of_TX_MD_Anderson.pdf,4/21/14,University Of Tx Md Anderson Cancer Center,2014
FDA-2014-P-0534-0001_Citizen_Petition_From_Neurelis_Inc__Pacific_Link_C.pdf,4/24/14,Neurelis Inc. (Pacific Link Consulting),2014
FDA-2014-P-0549-0001_Citizen_Petition_From_Emcure_Pharmaceuticals_Inc.pdf,"April 28, 2014",Emcure Pharmaceuticals Inc,2014
FDA-2014-P-0585-0001_Citizen_Petition_from_A__Haggag_Capstone_Law_APC.pdf,5/1/14,A. Haggag (Capstone Law),2014
FDA-2014-P-0594-0001_Citizen_Petition_From_Hyman_Phelps_McNamara_PC.pdf,5/5/14,Hyman Phelps Mcnamara P.C.,2014
FDA-2014-P-0603-0001_Citizen_Petition_from_Pacific_Link_Consulting.pdf,5/7/14,Pacific Link Consulting,2014
FDA-2014-P-0628-0001_Citizen_Petition_from_Shauce_Co.pdf,5/1/14,Shauce Company,2014
FDA-2014-P-0637-0001_Citizen_Petition_From_Lachman_Consultant_Services_.pdf,5/15/14,"Lachman Consultant Services, Inc.",2014
FDA-2014-P-0646-0001_Citizen_Petition_From_Kamat_Pharmatech.pdf,5/22/14,Kamat Pharmatech,2014
FDA-2014-P-0647-0001_Citizen_Petition_From_Kamat_Pharmatech.pdf,5/16/14,Kamat Pharmatech,2014
FDA-2014-P-0654-0001_Citizen_Petition_From_Edwards_Life_Sciences_LLC_RE.pdf,5/6/14,Edwards Lifesciences Llc,2014
FDA-2014-P-0687-0001_Citizen_PetitionFrom_Margaret_Moline_Redacted.pdf,5/20/14,Margaret Moline,2014
FDA-2014-P-0699-0001_Citizen_Petition_From_Jason_WIlliams__Redacted.pdf,5/22/14,Jason Williams,2014
FDA-2014-P-0700-0001_Citizen_Petition_From_Qilu_Pharma__Inc_.pdf,5/23/14,"Qilu Pharma, Inc. (Qilu Pharmaceutical Co., Ltd.)",2014
FDA-2014-P-0724-0001_Citizen_Petition_From_Barbara_Spohn_Lillo.pdf,10/27/14,Barbara Spohn-Lillo,2014
FDA-2014-P-0737-0001_Citizen_Petition_from_Pfizer_Ropes_and_Gray_LLP.pdf,5/30/14,Pfizer Inc (Ropes And Gray Llp),2014
FDA-2014-P-0748-0001_Citizen_Petition_From_Piedmont_Animal_Health.pdf,"May 30, 2014",Piedmont Animal Health,2014
FDA-2014-P-0752-0002_Citizen_Petition_From_Pharmacist_s_Planning_Servic.pdf,"June 4, 2014",Pharmacist s Planning Servic,2014
FDA-2014-P-0772-0001_Citizen_Petition_from_Piedmont_Animal_Health.pdf,"June 4, 2014",Piedmont Animal Health,2014
FDA-2014-P-0794-0001_Citizen_Petition_from_E5_Pharma_LLC.pdf,"June 11, 2014",E5 Pharma LLC,2014
FDA-2014-P-0802-0001_Citizen_Petition_From_Moon_T_Kwon_Redacted.pdf,1/22/14,Moon T. Kwon,2014
FDA-2014-P-0813-0001_Citizen_Petition_From_Lachman_Consultant_Services_.pdf,6/17/14,"Lachman Consultant Services, Inc.",2014
FDA-2014-P-0814-0001_Citizen_Petition_from_the_Center_for_Responsible_S.pdf,6/18/14,The Center For Responsible Science,2014
FDA-2014-P-0823-0001_Citizen_Petition_From_Richard_Burk_Redacted.pdf,6/12/14,Richard D. Burk,2014
FDA-2014-P-0825-0001_Citizen_Petition_From_Orthofix_Inc_.pdf,6/19/14,Orthofix Inc.,2014
FDA-2014-P-0830-0001_Citizen_Petition_From_Merz_North_America__Buchanan.pdf,6/19/14,"Merz North America (Buchanan, Ingersoll And Rooney Pc)",2014
FDA-2014-P-0831-0001_Citizen_Petition_From_Orthofix_Inc_.pdf,August 2011,Orthofix Inc,2014
FDA-2014-P-0856-0001_Citizen_Petition_from_the_Southern_Network_on_Adve.pdf,6/18/14,The Southern Network On Adverse Reactions,2014
FDA-2014-P-0861-0001_Citizen_Petition_From_Clinipace_Worldwide.pdf,6/20/14,Clinipace Worldwide,2014
FDA-2014-P-0862-0001_Citizen_Petition_from_the_Alliance_for_Natural_Hea.pdf,6/23/14,The Alliance For Natural Health Usa,2014
FDA-2014-P-0878-0001_Citizen_Petition_From_Amarin_Pharma_Inc.pdf,"June 24, 2014",Amarin Pharma Inc,2014
FDA-2014-P-0907-0001_Citizen_Petition_from_Citizens_for_Health_et_al_Sw.pdf,"June 30, 2014",Citizens for Health et al Sw,2014
FDA-2014-P-0908-0001_Citizen_Petition_from_Mothers_Against_Mercury_Titu.pdf,"January 27, 2015",Mothers Against Mercury Titu,2014
FDA-2014-P-0916-0001_Citizen_Petition_From_Hope_Pharmaceuticals.pdf,"June 18, 2014",Hope Pharmaceuticals,2014
FDA-2014-P-0919-0001_Citizen_Petition_From_Daniel_Schumaier_PhD_Redacte.pdf,"June 18, 2014",Daniel Schumaier PhD Redacte,2014
FDA-2014-P-0933-0001_Citizen_Petition_From_Teva_Neuroscience_Inc_Redact.pdf,7/2/14,Teva Neuroscience,2014
FDA-2014-P-0935-0001_Citizen_Petition_from_The_Juice_Products_Associati.pdf,"July 2, 2014",The Juice Products Associati,2014
FDA-2014-P-0979-0001_Citizen_Petition_from_Emcure_Pharmaceuticals_USA_I.pdf,"July 03, 2014",Emcure Pharmaceuticals USA I,2014
FDA-2014-P-0980-0001_Citizen_Petition_From_Lachman_Consultant_Services_.pdf,"July 07, 2014",Lachman Consultant Services,2014
FDA-2014-P-0984-0001_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,"July 7, 2014",Lachman Consultant Services,2014
FDA-2014-P-1038-0001_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,"July 16, 2014",Lachman Consultant Services,2014
FDA-2014-P-1044-0001_Citizen_Petition_from_Zydus_Pharmaceuticals_Inc.pdf,"July 14, 2014",Zydus Pharmaceuticals Inc,2014
FDA-2014-P-1057-0001_Citizen_Petition_from_Pharmacists_Planning_Service.pdf,"July 18, 2014",Pharmacists Planning Service,2014
FDA-2014-P-1065-0001_Citizen_Petition_from_Zydus_Pharmaceuticals_Inc.pdf,"July 08, 2014",Zydus Pharmaceuticals Inc,2014
FDA-2014-P-1101-0001_Citizen_Petition_From_Lachman_Consultant_Services_.pdf,"July 25, 2014",Lachman Consultant Services,2014
FDA-2014-P-1102-0001_Citizen_Petition_From_Lachman_Consultant_Services_.pdf,"July 25, 2014",Lachman Consultant Services,2014
FDA-2014-P-1256-0001_Citizen_Petition_from_Public_Citizen.pdf,"July 28, 2014",Public Citizen,2014
FDA-2014-P-1258-0001_Citizen_Petition_from_SolRX_Global_Inc.pdf,"August 7, 2014",SolRX Global Inc,2014
FDA-2014-P-1281-0001_Citizen_Petition_from_Arnall_Golden_Gregory_LLP.pdf,"july 3, 2014",Arnall Golden Gregory LLP,2014
FDA-2014-P-1282-0001_Citizen_Petition_from_Morgan_Lewis_and_Bockius_LLP.pdf,"July 17, 2014",Morgan Lewis and Bockius LLP,2014
FDA-2014-P-1282-0005_Suitability_Petition_Amendment_from_Morgan_Lewis__.pdf,"October 19, 2016",Morgan Lewis,2014
FDA-2014-P-1293-0001_Citizen_Petition_from_Hyman_Phelps_and_McNamara_PC.pdf,"August 13, 2014",Hyman Phelps and McNamara PC,2014
FDA-2014-P-1343-0001_Citizen_Petition_from_American_Society_of_Interven.pdf,"September 3, 2014",American Society of Interven,2014
FDA-2014-P-1353-0001_Citizen_Petition_from_International_Formula_Counci.pdf,"September 5, 2014",International Formula Counci,2014
FDA-2014-P-1354-0001_Citizen_Petition_from_Otsuka_Pharmaceutical_Compan.pdf,"September 9, 2014",Otsuka Pharmaceutical Compan,2014
FDA-2014-P-1383-0001_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,"August 27, 2014",Lachman Consultant Services,2014
FDA-2014-P-1429-0001_Citizen_Petition_from_Oliver_Boudreaux_Redacted.pdf,"August 25, 2014",Oliver Boudreaux Redacted,2014
FDA-2014-P-1470-0001_Citizen_Petition_from_Hyman_Phelps___McNamara_PC.pdf,"August 21, 2014",Hyman Phelps   McNamara PC,2014
FDA-2014-P-1472-0001_Citizen_Petition_from_Strides_Arcolab_Limited_Indi.pdf,"September 29, 2014",Strides Arcolab Limited Indi,2014
FDA-2014-P-1483-0001_Citizen_Petition_from_Sean_Mahoney_Upsher_Smith_La.pdf,"September 30, 2014",Sean Mahoney Upsher Smith La,2014
FDA-2014-P-1562-0001_Citizen_Petition_from_the_Institute_for_Safe_Medic.pdf,"October 8, 2014",the Institute for Safe Medic,2014
FDA-2014-P-1569-0002_Citizen_Petition_from_Pharmacists_Planning_Service.pdf,"October 9, 2014",Pharmacists Planning Service,2014
FDA-2014-P-1570-0001_Citizen_Petition_From_the_Natural_Solutions_Founda.pdf,"September 23, 2014",the Natural Solutions Founda,2014
FDA-2014-P-1576-0001_Citizens_Petition_from_Gordon_Johnston_Regulatory_.pdf,10/10/14,Gordon Johnston Regulatory,2014
FDA-2014-P-1593-0002_Citizen_Petition_From_Buchanan_Ingersoll_and_Roone.pdf,"September 15,2014",Buchanan Ingersoll and Roone,2014
FDA-2014-P-1603-0001_Citizen_Petition_from_Zydus_Pharmaceuticals_USA_In.pdf,"July 30, 2014",Zydus Pharmaceuticals USA In,2014
FDA-2014-P-1611-0001_Citizen_Petition_from_Southern_Network_on_Adverse_.pdf,"September 8, 2014",Southern Network on Adverse,2014
FDA-2014-P-1615-0001_Citizen_Petition_from_Spectrum_Pharmaceuticals_Inc.pdf,"October 13, 2014",Spectrum Pharmaceuticals Inc,2014
FDA-2014-P-1622-0001_Citizen_Petition_from_Genesee_Health_System.pdf,"September 3, 2014",Genesee Health System,2014
FDA-2014-P-1649-0001_Citizen_Petition_from_Spectrum_Pharmaceuticals_Inc.pdf,"September 30, 2014",Spectrum Pharmaceuticals Inc,2014
FDA-2014-P-1650-0001_Citizen_Petition_from_Consumers_Union_et_al.pdf,"June 26, 2014",Consumers Union et al,2014
FDA-2014-P-1656-0001_Citizen_Petition_from_Alaska_Seafood_Marketing_Ins.pdf,"October 7, 2014",Alaska Seafood Marketing Ins,2014
FDA-2014-P-1657-0001_Citizen_Petition_from_Gordon_Johnston_Regulatory_C.pdf,"October 17, 2014",Gordon Johnston Regulatory C,2014
FDA-2014-P-1660-0001_Citizen_Petition_from_Teva_Pharmaceutical_Industri.pdf,"October 20, 2014",Teva Pharmaceutical Industri,2014
FDA-2014-P-1670-0001_Citizen_Petition_from_Gordon_Johnston_Regulatory_C.pdf,"September 24, 2014",Gordon Johnston Regulatory C,2014
FDA-2014-P-1673-0001_Citizen_Petition_From_Tia_Gonnella_redacted.pdf,"April 1, 2014",Tia Gonnella redacted,2014
FDA-2014-P-1685-0001_Citizen_Petition_from_Larry_R__Pilot.pdf,"September 19, 2014",Larry R  Pilot,2014
FDA-2014-P-1694-0001_Suitability_Citizen_Petition_from_Parnell_Corporat.pdf,"October 22, 2014",Parnell Corporat,2014
FDA-2014-P-1752-0001_Citizen_Petition_From_Dara_Biosciences.pdf,"October 22, 2014",Dara Biosciences,2014
FDA-2014-P-1753-0001_Citizen_Petition_From_Angela_A_Stanton_PHD_signed_.pdf,"April 1, 2014",Angela A Stanton PHD signed,2014
FDA-2014-P-1753-0004_Citizen_Petition_From_Angela_A_Stanton_PHD.pdf,"April 1, 2014",Angela A Stanton PHD,2014
FDA-2014-P-1771-0001_Citizen_Petition_From_Amgen_Sidley_Austin_LLP.pdf,"October 29, 2014",Amgen Sidley Austin LLP,2014
FDA-2014-P-1773-0001_Citizen_Petition_From_Pharmacists_Planning_Service.pdf,"September 4, 2014",Pharmacists Planning Service,2014
FDA-2014-P-1784-0001_Citizen_Petition_From_the_Wood_Burditt_Group.pdf,"August 14, 2014",the Wood Burditt Group,2014
FDA-2014-P-1796-0001_Citizen_Petition_From_Omthera_Pharmaceuticals_Hoga.pdf,"October 31, 2014",Omthera Pharmaceuticals Hoga,2014
FDA-2014-P-1802-0001_Citizen_Petition_from_e5_Pharma_LLC.pdf,11/3/14,e5 Pharma LLC,2014
FDA-2014-P-1844-0001_Citizen_Petition_Request_from_Lachman_Consultant_S.pdf,"November 4, 201",Lachman Consultant S,2014
FDA-2014-P-1844-0005_Request_to_Withdraw_Petition.pdf,"January 23, 2017",Withdraw Petition,2014
FDA-2014-P-1882-0001_Citizen_Petition_From_Isabella_Gujardo_Redacted.pdf,11/10/14,Isabella Gujardo Redacted,2014
FDA-2014-P-1883-0001_Citizen_Petition_From_Lannett_Holdings_Inc_.pdf,"November 7, 2014",Lannett Holdings Inc,2014
FDA-2014-P-1896-0001_Citizen_Petition_From_TechReg_Services_Inc.pdf,"November 12, 2014",TechReg Services Inc,2014
FDA-2014-P-1930-0001_Citizen_Petition_From_Apotex_Inc_.pdf,"November 4, 2014",Apotex Inc,2014
FDA-2014-P-1975-0001_Citizen_Petition_From_e5_Pharma_LLC.pdf,"November 14,2014",e5 Pharma LLC,2014
FDA-2014-P-2035-0001_Citizen_Petition_From_Dr_Carla_M_Davis_et_al.pdf,"November 18, 2014",Dr Carla M Davis et al,2014
FDA-2014-P-2058-0001_Citizen_Petition_From_Lachman_Consultant_Services_.pdf,"November 24, 2014",Lachman Consultant Services,2014
FDA-2014-P-2140-0001_Citizen_Petition_From_Lachman_Consulting_Services_.pdf,"September 19, 2014",Lachman Consulting Services,2014
FDA-2014-P-2168-0001_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,"December 9, 2014",Lachman Consultant Services,2014
FDA-2014-P-2169-0001_Citizen_Petition_Request_from_Lachman_Consultant_S.pdf,"December 9, 2014",Lachman Consultant S,2014
FDA-2014-P-2188-0001_Citizen_Petition_from_Acura_Pharmaceuticals_Inc.pdf,"December 10, 2014",Acura Pharmaceuticals Inc,2014
FDA-2014-P-2193-0001_Citizen_Petition_From_Acorda_Therapeutics.pdf,"December 12, 2014",Acorda Therapeutics,2014
FDA-2014-P-2243-0001_Citizen_Petition_Request_from_Apotex_Inc.pdf,"December 17, 2014",Apotex Inc,2014
FDA-2014-P-2276-0001_Citizen_Petition_From_Alan_Laboratories__Inc_.pdf,"December 22, 2014",Alan Laboratories  Inc,2014
FDA-2014-P-2301-0001_Citizen_Petition_From_Probiomed_S_A__de_C_V__Mexic.pdf,"February 25, 2014",Probiomed S A  de C V  Mexic,2014
FDA-2015-P-0014-0001_Citizen_Petition_From_Edward_Boshnick__O_D_.pdf,"December 24, 2014",Edward Boshnick  O D,2015
FDA-2015-P-0051-0001_Citizen_Petition_Request_from_Inrange_Systems_Inc.pdf,"December 26, 2014",Inrange Systems Inc,2015
FDA-2015-P-0059-0003_Citizen_Petition_from_the_Center_for_Science_in_th.pdf,"December 9, 2014",the Center for Science in th,2015
FDA-2015-P-0065-0001_Citizen_Petition_From_Allergan__Inc_.pdf,1/16/15,Allergan  Inc,2015
FDA-2015-P-0095-0008_Citizen_Petition_From_DuVal_and_Associates__Leonha.pdf,"January 8, 2015",DuVal and Associates  Leonha,2015
FDA-2015-P-0181-0001_Citizen_Petition_From_Mylan_Specialty__L_P_.pdf,"January 16, 2015",Mylan Specialty  L P,2015
FDA-2015-P-0181-0007_Petition_Supplement_from_Mylan_Specialty_LP.pdf,"April 28, 2015",Mylan Specialty LP,2015
FDA-2015-P-0233-0001_Citizen_Petition_From_the_Madison_Company.pdf,"January 22, 2015",the Madison Company,2015
FDA-2015-P-0335-0001_Citizen_Petition_From_Chrai_Associates__Inc_.pdf,January 2015,Chrai Associates  Inc,2015
FDA-2015-P-0403-0001_Citizen_Petition_Request_from_LACHMAN_CONSULTANT_S.pdf,"February 4, 2015",LACHMAN CONSULTANT S,2015
FDA-2015-P-0464-0001_Citizen_Petition_from_Colgate_Palmolive_Company.pdf,"February 10, 2015",Colgate Palmolive Company,2015
FDA-2015-P-0543-0001_Citizen_Petition_From_Gland_Pharma_Ltd_.pdf,"February 19, 2015",Gland Pharma Ltd,2015
FDA-2015-P-0547-0001_Citizen_Petition_From_Gland_Pharma__Inc_.pdf,"February 19, 2015",Gland Pharma  Inc,2015
FDA-2015-P-0569-0001_Citizen_Petition_From_Koch_Parafinczuk_and_Wolf__P.pdf,"February 20, 2015",Koch Parafinczuk and Wolf  P,2015
FDA-2015-P-0578-0001_Citizen_Petition_From_Public_Citizen_s_Health_Rese.pdf,"February 24, 2015",Public Citizen s Health Rese,2015
FDA-2015-P-0596-0001_Citizen_Petition_Request_from_LACHMAN_CONSULTANT_S.pdf,"February 24, 2015",LACHMAN CONSULTANT S,2015
FDA-2015-P-0613-0001_Citizen_Petition_From_Qilu_Pharma__Inc_.pdf,"February 25, 2015",Qilu Pharma  Inc,2015
FDA-2015-P-0633-0001_Citizen_Petition_From_Jonathan_Smith.pdf,"February 24, 2015",Jonathan Smith,2015
FDA-2015-P-0703-0001_Citizen_Petition_Sarah_Salem_Robinson_1__Redacted.pdf,"March 4, 2015",,2015
FDA-2015-P-0711-0001_Citizen_Petition_From_L__Garner_Redacted.pdf,March 2015,L  Garner Redacted,2015
FDA-2015-P-0720-0001_Citizen_Petition_request_from_Zydus_Pharmaceutical.pdf,"March 03,2015",Zydus Pharmaceutical,2015
FDA-2015-P-0732-0001_Citizen_Petition_from_Arnold___Porter_LLP__Celgene.pdf,"March 6, 2015",Arnold   Porter LLP  Celgene,2015
FDA-2015-P-0762-0001_Citizen_Petition_From_Pharmacists_Planning_Service.pdf,"March 4, 2015",Pharmacists Planning Service,2015
FDA-2015-P-0840-0001_Citizen_Petition_From_Dr__Richard_Sherman.pdf,"March 17, 2015",Dr  Richard Sherman,2015
FDA-2015-P-0876-0001_Citizen_Petition_From_The_Escher_Fund_For_Autism.pdf,"March 16, 2015",The Escher Fund For Autism,2015
FDA-2015-P-0989-0001_Citizen_Petition_From_Organic_Pastures_Dairy_Compa.pdf,3/30/15,Organic Pastures Dairy Compa,2015
FDA-2015-P-1003-0001_Citizen_Petition_From_Lachman_Consultant_Services_.pdf,"March 26, 2015",Lachman Consultant Services,2015
FDA-2015-P-1004-0001_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,"March 26, 2015",Lachman Consultant Services,2015
FDA-2015-P-1050-0001_Citizen_Petition_From_Teva_Pharmaceuticals.pdf,"April 1, 2015",Teva Pharmaceuticals,2015
FDA-2015-P-1090-0001_Citizen_Petition_from_Baker_Hostetler_LLP.pdf,"April 1, 2015",Baker Hostetler LLP,2015
